id,value,lo,hi,file,what,closes,recomputed,recomputed_lo,recomputed_hi,agree_4dp,reference_value,reference_source,reference_agree
summary_v2:T4_edaic_o25_llm_mean5_jsononly,0.7001,0.6231,0.7727,<local data dir>/release_from_mac/summary/summary_all_v2.csv,"E-DAIC 300 s LLM probe, mean of five per-repeat AUCs; interval added",ledger 3 item 8 and 6 LEFT me 4 (T7b intervals on the 0.7001 / 0.5884 rows),0.7001,0.6231,0.7727,yes,0.7001 0.6231 0.7727,part17/T7b/T7b.tsv,yes
summary_v2:T7_published_llm_meanof5,0.7001,0.6231,0.7727,<local data dir>/release_from_mac/summary/summary_all_v2.csv,"E-DAIC 300 s LLM probe, mean of five per-repeat AUCs; interval added",ledger 3 item 8 and 6 LEFT me 4 (T7b intervals on the 0.7001 / 0.5884 rows),0.7001,0.6231,0.7727,yes,0.7001 0.6231 0.7727,part17/T7b/T7b.tsv,yes
summary_v2:T4_edaic_o25_enc_mean5_jsononly,0.5884,0.5268,0.6523,<local data dir>/release_from_mac/summary/summary_all_v2.csv,"E-DAIC 300 s ENC probe, mean of five per-repeat AUCs; interval added",ledger 3 item 8 and 6 LEFT me 4 (T7b intervals on the 0.7001 / 0.5884 rows),0.5884,0.5268,0.6523,yes,0.5884 0.5268 0.6523,part17/T7b/T7b.tsv,yes
summary_v2:T7_published_enc_meanof5,0.5884,0.5268,0.6523,<local data dir>/release_from_mac/summary/summary_all_v2.csv,"E-DAIC 300 s ENC probe, mean of five per-repeat AUCs; interval added",ledger 3 item 8 and 6 LEFT me 4 (T7b intervals on the 0.7001 / 0.5884 rows),0.5884,0.5268,0.6523,yes,0.5884 0.5268 0.6523,part17/T7b/T7b.tsv,yes
master_lookup:Qwen2.5-Omni|edaic_full_notrunc|zero shot answer (PART 23 rerun),0.8366,0.7786,0.8866,<local data dir>/release/master/master_lookup.csv,Qwen2.5-Omni edaic_full_notrunc zero shot answer (PART 23 rerun) (auc column; interval in the estimator note),audit_p2223 item 9 and audit_p17 item 4 left (PART 23 not in master_lookup),0.8366,0.7786,0.8866,yes,0.8366 0.7786 0.8866,part23/verify/PART23_VERIFIED.tsv 1_whole,yes
"master_lookup:Qwen2.5-Omni|edaic_full|zero shot answer (rebuild run, 300 s cut)",0.8278,0.7703,0.8822,<local data dir>/release/master/master_lookup.csv,"Qwen2.5-Omni edaic_full zero shot answer (rebuild run, 300 s cut) (auc column; interval in the estimator note)",audit_p2223 item 9 and audit_p17 item 4 left (PART 23 not in master_lookup),0.8278,0.7703,0.8822,yes,0.8278 0.7703 0.8822,part23/verify/PART23_VERIFIED.tsv 1_300s,yes
"master_lookup:Qwen2.5-Omni|edaic_full_notrunc|encoder probe (mean of 5 per-repeat AUCs, PART 23)",0.5981,0.5267,0.6672,<local data dir>/release/master/master_lookup.csv,"Qwen2.5-Omni edaic_full_notrunc encoder probe (mean of 5 per-repeat AUCs, PART 23) (auc column; interval in the estimator note)",audit_p2223 item 9 and audit_p17 item 4 left (PART 23 not in master_lookup),0.5981,0.5267,0.6672,yes,0.5981 0.5267 0.6672,part23/verify/PART23_VERIFIED.tsv 2_encoder_meanof5,yes
"master_lookup:Qwen2.5-Omni|edaic_full_notrunc|projector probe (mean of 5 per-repeat AUCs, PART 23)",0.5866,0.5166,0.6585,<local data dir>/release/master/master_lookup.csv,"Qwen2.5-Omni edaic_full_notrunc projector probe (mean of 5 per-repeat AUCs, PART 23) (auc column; interval in the estimator note)",audit_p2223 item 9 and audit_p17 item 4 left (PART 23 not in master_lookup),0.5866,0.5166,0.6585,yes,0.5866 0.5166 0.6585,part23/verify/PART23_VERIFIED.tsv 3_projector_meanof5,yes
"master_lookup:Qwen2.5-Omni|edaic_full_notrunc|LM probe (mean of 5 per-repeat AUCs, PART 23)",0.7437,0.6752,0.8097,<local data dir>/release/master/master_lookup.csv,"Qwen2.5-Omni edaic_full_notrunc LM probe (mean of 5 per-repeat AUCs, PART 23) (auc column; interval in the estimator note)",audit_p2223 item 9 and audit_p17 item 4 left (PART 23 not in master_lookup),0.7437,0.6752,0.8097,yes,0.7437 0.6752 0.8097,part23/verify/PART23_VERIFIED.tsv 4_LM_meanof5,yes
"master_lookup:Qwen2.5-Omni|edaic_full_notrunc|answer-state probe (mean of 5 per-repeat AUCs, PART 23)",0.8359,0.7819,0.8832,<local data dir>/release/master/master_lookup.csv,"Qwen2.5-Omni edaic_full_notrunc answer-state probe (mean of 5 per-repeat AUCs, PART 23) (auc column; interval in the estimator note)",audit_p2223 item 9 and audit_p17 item 4 left (PART 23 not in master_lookup),0.8359,0.7819,0.8832,yes,0.8359 0.7819 0.8832,part23/verify/PART23_VERIFIED.tsv 5_answer state_meanof5,yes
