part,task,id,value,lo,hi,role,value_verified,lo_verified,hi_verified,status,ci_status,twin_file,twin_where,twin_source,decision_note
16,EDAICFULL,edaic_full_zeroshot_answer,0.8278,0.7703,0.8822,PAPER VALUE,0.8278,0.7703,0.8822,yes,same,release/edaic_rerun/part17/verify/T7_verify.json,/cells/answer_p_yes,Mac verifier (verify folder),
16,EDAICFULL,edaic_full_probe_enc,0.5916,0.511,0.6706,SUPERSEDED / NOT USED,0.5916,0.5110,0.6706,yes,same,release/edaic_rerun/part17/verify/T7_verify.json,/cells/pub_enc_aucofmean,Mac verifier (verify folder),
16,EDAICFULL,edaic_full_probe_proj,0.5631,0.479,0.6478,SUPERSEDED / NOT USED,0.5631,0.4790,0.6478,yes,same,release/edaic_rerun/part17/verify/T7_verify.json,/cells/pub_proj_aucofmean,Mac verifier (verify folder),
16,EDAICFULL,edaic_full_probe_llm,0.7088,0.6232,0.7874,SUPERSEDED / NOT USED,0.7088,0.6232,0.7874,yes,same,release/edaic_rerun/part17/verify/T7_verify.json,/cells/pub_llm_aucofmean,Mac verifier (verify folder),
16,EDAICFULL,edaic_full_probe_ans,0.7748,0.7041,0.8387,SUPERSEDED / NOT USED,0.7748,0.7041,0.8387,yes,same,release/edaic_rerun/part17/verify/T7_verify.json,/cells/pub_ans_aucofmean,Mac verifier (verify folder),
16,EDAICFULL,edaic_full_gap_llm_minus_answer,-0.119,-0.1995,-0.0478,SUPERSEDED / NOT USED,-0.1190,-0.1995,-0.0478,yes,same,release/edaic_rerun/part17/verify/T4_verify.log,line 16,Mac verifier (verify folder),
16,EDAICFULL,edaic_full_gap_enc_minus_answer,-0.2361,-0.3272,-0.1394,SUPERSEDED / NOT USED,-0.2361,-0.3272,-0.1394,yes,same,release/edaic_rerun/part17/verify/T4_verify.log,line 17,Mac verifier (verify folder),
16,EDAICFULL,edaic_full_gap_ans_minus_answer,-0.053,-0.1046,-0.0049,SUPERSEDED / NOT USED,-0.0530,-0.1046,-0.0049,yes,same,release/edaic_rerun/part17/verify/T7b_verify_out/T7b_verify.json,/cells/task_ans_avgprob_vs_answer_NOTUSED,Mac verifier (verify folder),
16,EDAICFULL,edaic_full_gap_proj_minus_answer,-0.2646,-0.3575,-0.1667,SUPERSEDED / NOT USED,-0.2646,-0.3575,-0.1667,yes,same,release/edaic_rerun/part17/verify/T7b_verify_out/T7b_verify.json,/cells/task_proj_avgprob_vs_answer_NOTUSED,Mac verifier (verify folder),
16,EDAICFULL,edaic_first30_zeroshot_answer,0.662,0.5831,0.7315,RELEASED ONLY,0.6620,0.5831,0.7315,yes,same,release/edaic_rerun/part16/verify/MEDAIC_verify_results.json,/MEDAIC_w30_answer,Mac verifier (verify folder),
16,EDAICFULL,edaic_first30_probe_enc,0.6324,0.552,0.7104,RELEASED ONLY,0.6324,0.5520,0.7104,yes,same,release/edaic_rerun/part16/verify/MEDAIC_verify_results.json,/MEDAIC_w30_enc,Mac verifier (verify folder),
16,EDAICFULL,edaic_first30_gap_enc_minus_answer,-0.0297,-0.1291,0.0752,RELEASED ONLY,-0.0297,-0.1291,0.0752,yes,same,release/edaic_rerun/part16/verify/MEDAIC_verify_results.json,/MEDAIC_w30_enc_minus_answer,Mac verifier (verify folder),
16,M1,M1_text_all468,0.6975,0.6369,0.7549,SUPERSEDED / NOT USED,0.6975,0.6369,0.7549,yes,same,release/edaic_rerun/part16/verify/M1_verify.json,[0],Mac verifier (verify folder),
16,M1,M1_text_conflict,0.4550,0.3412,0.5718,SUPERSEDED / NOT USED,0.4550,0.3412,0.5718,yes,same,release/edaic_rerun/part16/verify/M1_verify.json,[1],Mac verifier (verify folder),
16,M1,M1_text_agreement,0.7987,0.7392,0.8535,SUPERSEDED / NOT USED,0.7987,0.7392,0.8535,yes,same,release/edaic_rerun/part16/verify/M1_verify.json,[2],Mac verifier (verify folder),
16,M1,M1_audio_all468,0.6578,0.6033,0.7125,PAPER VALUE,0.6578,0.6033,0.7125,yes,same,release/edaic_rerun/part16/verify/M1_verify.json,[3],Mac verifier (verify folder),
16,M1,M1_audio_conflict,0.5322,0.4216,0.6447,PAPER VALUE,0.5322,0.4216,0.6447,yes,same,release/edaic_rerun/part16/verify/M1_verify.json,[4],Mac verifier (verify folder),
16,M1,M1_audio_agreement,0.7054,0.6431,0.7658,PAPER VALUE,0.7054,0.6431,0.7658,yes,same,release/edaic_rerun/part16/verify/M1_verify.json,[5],Mac verifier (verify folder),
16,M1,M1_text_conflict_minus_agreement,-0.3437,-0.4556,-0.2209,SUPERSEDED / NOT USED,-0.3437,-0.4556,-0.2209,yes,same,release/edaic_rerun/part16/verify/M1_verify.json,[9],Mac verifier (verify folder),
16,M1,M1_audio_conflict_minus_agreement,-0.1731,-0.2958,-0.0392,PAPER VALUE,-0.1731,-0.2958,-0.0392,yes,same,release/edaic_rerun/part16/verify/M1_verify.json,[10],Mac verifier (verify folder),
16,M1,M1_text_minus_audio_all468,0.0397,-0.0302,0.1070,SUPERSEDED / NOT USED,0.0397,-0.0302,0.1070,yes,same,release/edaic_rerun/part16/verify/M1_verify.json,[11],Mac verifier (verify folder),
16,M1,M1_text_minus_audio_conflict,-0.0772,-0.2360,0.0680,SUPERSEDED / NOT USED,-0.0772,-0.2360,0.0680,yes,same,release/edaic_rerun/part16/verify/M1_verify.json,[12],Mac verifier (verify folder),
16,M1,M1_text_minus_audio_agreement,0.0933,0.0157,0.1637,SUPERSEDED / NOT USED,0.0933,0.0157,0.1637,yes,same,release/edaic_rerun/part16/verify/M1_verify.json,[13],Mac verifier (verify folder),
16,M1,M1_ALT_text_all468,0.6629,0.5983,0.7245,PAPER VALUE,0.6629,0.5983,0.7245,yes,same,release/edaic_rerun/part16/verify/M1_verify.json,[6],Mac verifier (verify folder),
16,M1,M1_ALT_text_conflict,0.5560,0.4516,0.6680,PAPER VALUE,0.5560,0.4516,0.6680,yes,same,release/edaic_rerun/part16/verify/M1_verify.json,[7],Mac verifier (verify folder),
16,M1,M1_ALT_text_agreement,0.7078,0.6381,0.7696,PAPER VALUE,0.7078,0.6381,0.7696,yes,same,release/edaic_rerun/part16/verify/M1_verify.json,[8],Mac verifier (verify folder),
16,M10,M10#01:MDVR_KCL_Qwen2.5_Omni_transcript_only_answer_AUC,0.7634,0.5936,0.9118,PAPER VALUE,0.7634,0.5936,0.9118,yes,same,release/edaic_rerun/part16/verify/M10_verify.json,/point (interval: same key transcript in /ci_integers),Mac verifier (verify folder),
16,M10,M10#02:MDVR_KCL_Qwen2.5_Omni_audio_zero_shot_answer_AUC,0.7143,0.5210,0.8810,PAPER VALUE,0.7143,0.5210,0.8810,yes,same,release/edaic_rerun/part16/verify/M10_verify.json,/point (interval: same key audio in /ci_integers),Mac verifier (verify folder),
16,M10,M10#03:MDVR_KCL_Qwen2.5_Omni_encoder_probe_AUC_single_saved_OOF_repeat,0.7768,0.5994,0.9265,PAPER VALUE,0.7768,0.5994,0.9265,yes,same,release/edaic_rerun/part16/verify/M10_verify.json,/point (interval: same key encoder in /ci_integers),Mac verifier (verify folder),
16,M10,M10#04:MDVR_KCL_paired_transcript_minus_audio_answer_AUC,0.0491,-0.1827,0.2818,PAPER VALUE,0.0491,-0.1827,0.2818,yes,same,release/edaic_rerun/part16/verify/M10_verify.json,/point (interval: same key t_minus_a in /ci_integers),Mac verifier (verify folder),
