file,row,field,old,new,why,closes
<local data dir>/release/master/master_lookup.csv,(whole file),backup,,<local data dir>/release/master/master_lookup.csv.bak_pre_part23 (md5 a0b55e8d333722fa0e93f10f22e94e6f),copy before the PART 23 append,task (b)
<local data dir>/release/master/master_lookup.csv,line 236 (appended),new row,,Qwen2.5-Omni | edaic_full_notrunc | zero shot answer (PART 23 rerun) | 0.8366 | n 275,PART 23 value added to master_lookup,audit_p17 item 4 left / audit_p2223 item 9 (PART 23 not in master_lookup); ledger 6 LEFT me 2
<local data dir>/release/master/master_lookup.csv,line 237 (appended),new row,,"Qwen2.5-Omni | edaic_full | zero shot answer (rebuild run, 300 s cut) | 0.8278 | n 275",PART 23 value added to master_lookup,audit_p17 item 4 left / audit_p2223 item 9 (PART 23 not in master_lookup); ledger 6 LEFT me 2
<local data dir>/release/master/master_lookup.csv,line 238 (appended),new row,,"Qwen2.5-Omni | edaic_full_notrunc | encoder probe (mean of 5 per-repeat AUCs, PART 23) | 0.5981 | n 275",PART 23 value added to master_lookup,audit_p17 item 4 left / audit_p2223 item 9 (PART 23 not in master_lookup); ledger 6 LEFT me 2
<local data dir>/release/master/master_lookup.csv,line 239 (appended),new row,,"Qwen2.5-Omni | edaic_full_notrunc | projector probe (mean of 5 per-repeat AUCs, PART 23) | 0.5866 | n 275",PART 23 value added to master_lookup,audit_p17 item 4 left / audit_p2223 item 9 (PART 23 not in master_lookup); ledger 6 LEFT me 2
<local data dir>/release/master/master_lookup.csv,line 240 (appended),new row,,"Qwen2.5-Omni | edaic_full_notrunc | LM probe (mean of 5 per-repeat AUCs, PART 23) | 0.7437 | n 275",PART 23 value added to master_lookup,audit_p17 item 4 left / audit_p2223 item 9 (PART 23 not in master_lookup); ledger 6 LEFT me 2
<local data dir>/release/master/master_lookup.csv,line 241 (appended),new row,,"Qwen2.5-Omni | edaic_full_notrunc | answer-state probe (mean of 5 per-repeat AUCs, PART 23) | 0.8359 | n 275",PART 23 value added to master_lookup,audit_p17 item 4 left / audit_p2223 item 9 (PART 23 not in master_lookup); ledger 6 LEFT me 2
<local data dir>/release/master/master_lookup.csv,line 242 (appended),new row,,Qwen2.5-Omni | edaic_full_notrunc | projector fine tune (PART 23) | 0.7931 | n 275,PART 23 value added to master_lookup,audit_p17 item 4 left / audit_p2223 item 9 (PART 23 not in master_lookup); ledger 6 LEFT me 2
<local data dir>/release/master/master_lookup.csv,line 243 (appended),new row,,Qwen2.5-Omni | edaic_full | projector fine tune (PART 23 same-pod 300 s control) | 0.815 | n 275,PART 23 value added to master_lookup,audit_p17 item 4 left / audit_p2223 item 9 (PART 23 not in master_lookup); ledger 6 LEFT me 2
<local data dir>/release/master/master_lookup.csv,(whole file),backup,,<local data dir>/release/master/master_lookup.csv.bak_pre_notefix_23sep (md5 3253cd53e91ac5ee9e431e557c42fc53),"copy after the PART 23 append, before the note fixes",task (c)
<local data dir>/release/master/master_lookup.csv,line 200,estimator (note),"zero shot, full stitched participant audio capped at 900 s, 89 of 275 capped, median window 591.8 s, E-DAIC 275 speakers","zero shot, original run (podA, transformers 5.17.0). Window heard: the first 300 s of each E-DAIC stitched participant window: Qwen2_5OmniProcessor cuts audio at 300 s by default (PART 22 proof, scores/part22/p22_step2_truncation_proof.json), so 217 of 275 windows were cut and the 900 s file cap (89 of 275 files capped, median window 591.8 s) never came into play. Same window, rebuild run: 0.8278 [0.7703, 0.8822] (row ""zero shot answer (rebuild run, 300 s cut)""); truncation lifted: 0.8379 (PART 22) and 0.8366 (PART 23). E-DAIC 275 speakers","stale ""capped at 900 s"" window note",ledger 6 LEFT me 12 (master_lookup row 200); audit_p2223 problem 2; DISCREPANCIES item 129
<local data dir>/release/master/master_lookup.csv,line 202,estimator (note),"single split nested, full window capped at 900 s, E-DAIC 275 speakers [original run, different fold seeds; the rebuild run that gives the paper LM/encoder values has 0.5610 (mean of 5), separate row]","single split nested, window heard: the first 300 s of each E-DAIC stitched participant window: Qwen2_5OmniProcessor cuts audio at 300 s by default (PART 22 proof, scores/part22/p22_step2_truncation_proof.json), so 217 of 275 windows were cut and the 900 s file cap (89 of 275 files capped, median window 591.8 s) never came into play, E-DAIC 275 speakers [original run, different fold seeds; the rebuild run that gives the paper LM/encoder values has 0.5610 (mean of 5), separate row]","stale ""capped at 900 s"" window note","ledger 6 LEFT me 12 (""capped at 900 s"" edaic_full rows); DISCREPANCIES item 129"
