M2.matched_threshold	no-CI value (ov 7)	<local data dir>/release/edaic_rerun/part16/verify/M2_verify_out.json	{"n_eligible": 5523, "n_eligible_speakers": 275, "manifest_rows_disk": 966, "manifest_pairs_disk": 483, "manifest_speakers_disk": 138, "manifest_keys_disk": 794, "my_roberta_rebuild_matches_disk_manif
M2.same_arm_seg_uid	no-CI value (ov 4)	<local data dir>/release/edaic_rerun/part16/verify/M2_verify_out.json	{"n_eligible": 5523, "n_eligible_speakers": 275, "manifest_rows_disk": 966, "manifest_pairs_disk": 483, "manifest_speakers_disk": 138, "manifest_keys_disk": 794, "my_roberta_rebuild_matches_disk_manif
M3_pitt_clip_minus_speaker	REJECTED match (ov 0, keyed False)	<local data dir>/release/edaic_rerun/part17/verify/T5_verify.log	layers at or below answer (layer, margin): [(2, -0.0072), (3, -0.0313), (4, -0.0249), (5, -0.0017), (6, -0.0193), (7, -0.0547), (8, -0.0372), (9, -0.0374), (10, -0.0229), (11, -0.0662), (12, -0.0587),
M3_pcgita_clip_minus_speaker	REJECTED match (ov 0, keyed False)	<local data dir>/release/edaic_rerun/part17/verify/T5_verify.log	layers at or below answer (layer, margin): [(2, -0.0072), (3, -0.0313), (4, -0.0249), (5, -0.0017), (6, -0.0193), (7, -0.0547), (8, -0.0372), (9, -0.0374), (10, -0.0229), (11, -0.0662), (12, -0.0587),
M4#02:median_answer_mass_Qwen2.5_Omni_conflict	no-CI value (ov 5)	<local data dir>/release/edaic_rerun/part16/verify/M4_verify_out.json	{"model": "Qwen2.5-Omni", "arm": "conflict", "rate": "0.2236", "lo": "0.1792", "hi": "0.2736", "med_mass": "0.9965", "sd_sample": "0.2223", "sd_pop": "0.2221", "yes": 108, "n": 483, "n_spk": 138, "the
M4#04:median_answer_mass_Qwen2.5_Omni_agreement	no-CI value (ov 5)	<local data dir>/release/edaic_rerun/part16/verify/M4_verify_out.json	{"model": "Qwen2.5-Omni", "arm": "agreement", "rate": "0.2919", "lo": "0.2073", "hi": "0.3771", "med_mass": "0.9969", "sd_sample": "0.2957", "sd_pop": "0.2954", "yes": 141, "n": 483, "n_spk": 138, "th
M4#07:median_answer_mass_Qwen2_Audio_conflict	no-CI value (ov 5)	<local data dir>/release/edaic_rerun/part16/verify/M4_verify_out.json	{"model": "Qwen2-Audio", "arm": "conflict", "rate": "0.9400", "lo": "0.9199", "hi": "0.9612", "med_mass": "0.9990", "sd_sample": "0.1972", "sd_pop": "0.1969", "yes": 454, "n": 483, "n_spk": 138, "thei
M4#09:median_answer_mass_Qwen2_Audio_agreement	no-CI value (ov 5)	<local data dir>/release/edaic_rerun/part16/verify/M4_verify_out.json	{"model": "Qwen2-Audio", "arm": "agreement", "rate": "0.8675", "lo": "0.8159", "hi": "0.9102", "med_mass": "0.9988", "sd_sample": "0.2558", "sd_pop": "0.2556", "yes": 419, "n": 483, "n_spk": 138, "the
M4#12:median_answer_mass_Qwen3_Omni_30B_A3B_conflict	no-CI value (ov 7)	<local data dir>/release/edaic_rerun/part16/verify/M4_verify_out.json	{"model": "Qwen3-Omni-30B-A3B", "arm": "conflict", "rate": "0.3892", "lo": "0.3347", "hi": "0.4500", "med_mass": "0.9996", "sd_sample": "0.3498", "sd_pop": "0.3494", "yes": 188, "n": 483, "n_spk": 138
M4#14:median_answer_mass_Qwen3_Omni_30B_A3B_agreement	no-CI value (ov 7)	<local data dir>/release/edaic_rerun/part16/verify/M4_verify_out.json	{"model": "Qwen3-Omni-30B-A3B", "arm": "agreement", "rate": "0.4182", "lo": "0.3188", "hi": "0.5097", "med_mass": "0.9998", "sd_sample": "0.4181", "sd_pop": "0.4176", "yes": 202, "n": 483, "n_spk": 13
M4#17:median_answer_mass_AudioFlamingo2_conflict	no-CI value (ov 4)	<local data dir>/release/edaic_rerun/part16/verify/M4_verify_out.json	{"model": "AudioFlamingo2", "arm": "conflict", "rate": "0.9710", "lo": "0.9502", "hi": "0.9887", "med_mass": "0.9424", "sd_sample": "0.0532", "sd_pop": "0.0532", "yes": 469, "n": 483, "n_spk": 138, "t
