saved_path	source_path	sha256	bytes	why	copy_sha_check
saved_scripts/scratch_root/m9_verify.py	<local data dir>/scratch/m9_verify.py	189ca319c3486efb759999cb4a951fbca29545fb1cd6385580f117c0c75aa70d	1672	cited by release/edaic_rerun/part16/sidecars/M9.json (M9 verifier)	ok
saved_scripts/scratch_root/m5_diag.py	<local data dir>/scratch/m5_diag.py	2dfd7673c705077b68990d534f06866c1bb7aa598727b7c2a976381a990eeaec	4758	M5 verifier diagnostics (not cited by a sidecar; saved because it lives only in <local data dir>/scratch)	ok
saved_scripts/scratch_root/m5_diag2.py	<local data dir>/scratch/m5_diag2.py	9dfc1b0dbfe373f3e6c8dbf5915b0e5df831b691e3417a1c37066f65cb29ca0f	3869	M5 verifier diagnostics (not cited by a sidecar)	ok
saved_scripts/scratch_root/m5_diag3.py	<local data dir>/scratch/m5_diag3.py	1b7c0b81d5babd203c702fbbef99a53f56ba460fbd43611c048ec672ac20ccff	1561	M5 verifier diagnostics (not cited by a sidecar)	ok
saved_scripts/run_63e432df/p16m/MEDAIC_run.py	<local data dir>/scratch/p16m/MEDAIC_run.py	82df954c27b16cb423315a05964d20241a5292cb3f9d31bf1528a6852dcb4aa1	11223	cited by release/edaic_rerun/part16/MEDAIC_full_window.sidecar.json (MEDAIC run command)	ok
saved_scripts/run_63e432df/p15/direction_q3o.py	<local data dir>/scratch/p15/direction_q3o.py	b6e9070c57c8e1ca7381aae1d638499a099197565d198b9196949bbaff1a7b33	3767	cited by release/edaic_rerun/part16/M5_readout_direction_q2a.json	ok
saved_scripts/run_63e432df/verify1.py	<local data dir>/scratch/verify1.py	68137dfa7a043a766d7a0d69544334335b5394d675159f4cdf35853000b4c3c3	11130	verifier script in a scratch folder, no on-disk copy	ok
saved_scripts/run_63e432df/verify2_perlayer.py	<local data dir>/scratch/verify2_perlayer.py	e6ce7e31d01d0b57e2c3c879d2c43ef567e48f9766d733ae1790738713b823d8	3285	verifier script in a scratch folder, no on-disk copy	ok
saved_scripts/run_63e432df/verify_curves.py	<local data dir>/scratch/verify_curves.py	fb41594deec491760ace0b70ff02296c747a4eb97f19465e8b31654541b4be30	1332	verifier script in a scratch folder, no on-disk copy	ok
saved_scripts/run_40730cb7/part14_select.py	<local data dir>/scratch/part14_select.py	19cb3ce7108895532d8d0a65548d61a06db25f2badab910aa6ff7d49bd0bd2d9	4283	cited by release/edaic_rerun/part16/M2_distilbert_sentiment.json (M2 pair builder)	ok
saved_scripts/run_40730cb7/part14_sentiment.py	<local data dir>/scratch/part14_sentiment.py	da815c679b3606f099df301d9b1ca72abfaac555036094fa4a8392597bfef036	2173	cited by release/edaic_rerun/part16/M2_distilbert_sentiment.json (M2 sentiment scorer)	ok
saved_scripts/run_40730cb7/build_master.py	<local data dir>/scratch/build_master.py	e2374cebf372e414127a2280a43418731472dcfc0189077c28489062eea1080b	7640	cited by release/edaic_rerun/part17/T4_lookup.json (master_lookup builder)	ok
saved_scripts/run_40730cb7/verify.py	<local data dir>/scratch/verify.py	82a8945bbc07f58aed6e0283ca2689e1b96ddc7fb37563665363ce9c627389a6	1999	verifier script in an older scratch folder, no on-disk copy	ok
saved_scripts/run_40730cb7/verify_indep.py	<local data dir>/scratch/verify_indep.py	7b96279cf970e1d6cf45bc6745fd9e4948414f25eb5c2f60a8bc538d96ec78d4	760	verifier script in an older scratch folder, no on-disk copy	ok
