stage,auc_mean,per_repeat
0,0.785616,0.782013|0.785490|0.780734|0.804562|0.775281
1,0.797627,0.799923|0.788997|0.783485|0.824787|0.790943
2,0.822654,0.822627|0.809880|0.808059|0.843258|0.829446
3,0.836257,0.827354|0.829892|0.827063|0.856277|0.840701
4,0.841263,0.827741|0.839481|0.835064|0.861081|0.842948
5,0.846129,0.835781|0.844944|0.839403|0.866486|0.844033
6,0.850860,0.836749|0.846920|0.846377|0.873441|0.850814
7,0.851867,0.832371|0.851559|0.851046|0.871900|0.852460
8,0.853685,0.839500|0.850349|0.857923|0.870070|0.850581
9,0.843022,0.830182|0.837176|0.844150|0.861643|0.841960
10,0.848472,0.837602|0.847307|0.849719|0.863929|0.843801
11,0.855246,0.843084|0.853681|0.854262|0.874777|0.850426
12,0.860550,0.849322|0.857439|0.861740|0.875281|0.858969
13,0.863363,0.857168|0.855521|0.861914|0.879427|0.862786
14,0.858127,0.849283|0.852751|0.856509|0.875107|0.856984
15,0.854752,0.844595|0.850988|0.856180|0.870612|0.851385
16,0.858464,0.848411|0.859105|0.858359|0.871426|0.855017
17,0.854700,0.847540|0.856809|0.855695|0.866060|0.847394
18,0.852269,0.848102|0.855386|0.853138|0.861197|0.843520
19,0.841999,0.834037|0.843181|0.847385|0.850097|0.835296
20,0.839936,0.828264|0.840062|0.844702|0.851162|0.835490
21,0.846914,0.834347|0.847404|0.853545|0.856451|0.842823
22,0.848572,0.837292|0.848034|0.855056|0.856693|0.845787
23,0.847334,0.837970|0.843568|0.854746|0.855386|0.845002
24,0.854709,0.846707|0.852460|0.861410|0.860325|0.852644
25,0.858935,0.848092|0.860790|0.863929|0.867571|0.854291
26,0.850852,0.839752|0.853545|0.856238|0.857013|0.847714
27,0.852524,0.843317|0.852751|0.856238|0.858756|0.851559
28,0.853644,0.847714|0.850058|0.855705|0.862495|0.852247
29,0.855701,0.853894|0.851453|0.856761|0.863096|0.853303
30,0.857478,0.851085|0.857458|0.858659|0.865653|0.854533
31,0.857733,0.850077|0.856819|0.858175|0.867823|0.855773
32,0.855738,0.847637|0.855289|0.855560|0.867842|0.852363
33,0.855612,0.846775|0.855366|0.853700|0.864742|0.857478
34,0.848551,0.842987|0.847985|0.845118|0.859551|0.847114
35,0.843855,0.839461|0.841496|0.841592|0.855269|0.841457
36,0.852462,0.851705|0.850978|0.851705|0.860248|0.847675
37,0.854461,0.850697|0.853439|0.856296|0.863348|0.848528
38,0.857904,0.853836|0.863754|0.858969|0.864355|0.848605
39,0.857272,0.850852|0.858214|0.861778|0.865091|0.850426
40,0.855130,0.848411|0.853874|0.862108|0.862495|0.848760
41,0.842778,0.840333|0.841108|0.847075|0.851201|0.834173
42,0.839305,0.830899|0.841379|0.841563|0.855386|0.827296
43,0.842084,0.831829|0.842096|0.845060|0.856993|0.834444
44,0.844217,0.840285|0.843956|0.846222|0.854921|0.835703
45,0.838696,0.834928|0.841253|0.840759|0.848198|0.828342
46,0.842313,0.840953|0.841844|0.848005|0.850833|0.829930
47,0.842898,0.840120|0.847792|0.845602|0.851879|0.829097
48,0.847768,0.845176|0.851569|0.854901|0.857671|0.829523
