id	value_run1_rank_formula	value_run2_pairwise_MW	agree_4dp	lo	hi	usable_draws
POD4_4a_nv_5f_after	0.6025	0.6025	YES	0.5479	0.6580	2000
POD4_4a_nv_5f_before	0.7977	0.7977	YES	0.7248	0.8611	2000
POD4_4a_nv_enc_after	0.8924	0.8924	YES	0.8481	0.9323	2000
POD4_4a_nv_enc_before	0.9233	0.9233	YES	0.8800	0.9573	2000
POD4_4a_nv_pd_enc	-0.0308	-0.0308	YES	-0.0608	-0.0012	2000
POD4_4a_nv_pd_zs	-0.0117	-0.0117	YES	-0.0332	0.0098	2000
POD4_4a_nv_zs_after	0.6991	0.6991	YES	0.6348	0.7598	2000
POD4_4a_nv_zs_before	0.7108	0.7108	YES	0.6523	0.7671	2000
POD4_4a_pg_5f_after	0.5590	0.5590	YES	0.4922	0.6213	2000
POD4_4a_pg_5f_before	0.6657	0.6657	YES	0.5851	0.7452	2000
POD4_4a_pg_enc_after	0.8298	0.8298	YES	0.7546	0.8968	2000
POD4_4a_pg_enc_before	0.8959	0.8959	YES	0.8339	0.9448	2000
POD4_4a_pg_pd_enc	-0.0661	-0.0661	YES	-0.1181	-0.0180	2000
POD4_4a_pg_pd_zs	-0.0054	-0.0054	YES	-0.0437	0.0357	2000
POD4_4a_pg_zs_after	0.5674	0.5674	YES	0.5054	0.6304	2000
POD4_4a_pg_zs_before	0.5728	0.5728	YES	0.5002	0.6440	2000
POD4_4b_A_enc	0.7949	0.7949	YES	0.7431	0.8446	2000
POD4_4b_A_enc_agr	0.8674	0.8674	YES	0.8201	0.9096	2000
POD4_4b_A_enc_conf	0.6161	0.6161	YES	0.5060	0.7281	2000
POD4_4b_A_zs	0.6497	0.6497	YES	0.5959	0.7056	2000
POD4_4b_A_zs_agr	0.6952	0.6952	YES	0.6327	0.7560	2000
POD4_4b_A_zs_conf	0.5298	0.5298	YES	0.4189	0.6386	2000
POD4_4b_B_enc	0.7497	0.7497	YES	0.6940	0.8035	2000
POD4_4b_B_enc_agr	0.8037	0.8037	YES	0.7452	0.8539	2000
POD4_4b_B_enc_conf	0.6295	0.6295	YES	0.5111	0.7345	2000
POD4_4b_B_zs	0.7230	0.7230	YES	0.6664	0.7753	2000
POD4_4b_B_zs_agr	0.8007	0.8007	YES	0.7500	0.8501	2000
POD4_4b_B_zs_conf	0.5408	0.5408	YES	0.4245	0.6622	2000
POD4_4b_C_enc	0.7980	0.7980	YES	0.7448	0.8489	2000
POD4_4b_C_zs	0.6145	0.6145	YES	0.5582	0.6683	2000
POD4_4b_pd_enc_AB	-0.0452	-0.0452	YES	-0.0857	-0.0083	2000
POD4_4b_pd_enc_AC	0.0032	0.0032	YES	-0.0367	0.0394	2000
POD4_4b_pd_enc_CB	-0.0483	-0.0483	YES	-0.0907	-0.0062	2000
POD4_4b_pd_zs_AB	0.0732	0.0732	YES	0.0312	0.1165	2000
POD4_4b_pd_zs_AC	-0.0352	-0.0352	YES	-0.0729	-0.0001	2000
POD4_4b_pd_zs_CB	0.1084	0.1084	YES	0.0638	0.1550	2000
POD4_4b_pub_enc	0.7969	0.7969	YES	0.7412	0.8512	2000
POD4_4b_pub_zs	0.6578	0.6578	YES	0.6033	0.7125	2000
