id	what	value	lo	hi	n	n_spk	file
T6_s20_text_all468	Pitt Qwen2.5-Omni transcript-only answer AUC, all 468 (Sep 20 run)	0.6629	0.5983	0.7245	468	228	<local data dir>/release/overnight2/text_new/o25_pitt_text.csv
T6_s20_text_conflict	Pitt Qwen2.5-Omni transcript-only answer AUC, conflict arm (Sep 20 run)	0.5560	0.4516	0.6680	146	100	<local data dir>/release/overnight2/text_new/o25_pitt_text.csv
T6_s20_text_agreement	Pitt Qwen2.5-Omni transcript-only answer AUC, agreement arm (Sep 20 run)	0.7078	0.6381	0.7696	322	175	<local data dir>/release/overnight2/text_new/o25_pitt_text.csv
T6_s20_text_conflict_minus_agreement	Pitt Qwen2.5-Omni transcript-only PAIRED conflict minus agreement AUC (Sep 20 run)	-0.1518	-0.2665	-0.0271	468	228	<local data dir>/release/overnight2/text_new/o25_pitt_text.csv
T6_s15_text_all468	Pitt Qwen2.5-Omni transcript-only answer AUC, all 468 (Sep 15 run)	0.6975	0.6369	0.7549	468	228	<local data dir>/paper work/paper1_local_runs/omni_pitt_text.csv
T6_s15_text_conflict	Pitt Qwen2.5-Omni transcript-only answer AUC, conflict arm (Sep 15 run)	0.4550	0.3412	0.5718	146	100	<local data dir>/paper work/paper1_local_runs/omni_pitt_text.csv
T6_s15_text_agreement	Pitt Qwen2.5-Omni transcript-only answer AUC, agreement arm (Sep 15 run)	0.7987	0.7392	0.8535	322	175	<local data dir>/paper work/paper1_local_runs/omni_pitt_text.csv
T6_s15_text_conflict_minus_agreement	Pitt Qwen2.5-Omni transcript-only PAIRED conflict minus agreement AUC (Sep 15 run)	-0.3437	-0.4556	-0.2209	468	228	<local data dir>/paper work/paper1_local_runs/omni_pitt_text.csv
T6_audio_all468	Pitt Qwen2.5-Omni audio zero-shot answer AUC, all 468	0.6578	0.6033	0.7125	468	228	<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv
T6_audio_conflict	Pitt Qwen2.5-Omni audio zero-shot answer AUC, conflict arm	0.5322	0.4216	0.6447	146	100	<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv
T6_audio_agreement	Pitt Qwen2.5-Omni audio zero-shot answer AUC, agreement arm	0.7054	0.6431	0.7658	322	175	<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv
T6_audio_conflict_minus_agreement	Pitt Qwen2.5-Omni audio zero-shot PAIRED conflict minus agreement AUC	-0.1731	-0.2958	-0.0392	468	228	<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv
T6_s20_text_minus_audio_all468	PAIRED transcript (Sep 20 run) minus audio AUC, all 468	0.0051	-0.0657	0.0694	468	228	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv
T6_s20_text_minus_audio_conflict	PAIRED transcript (Sep 20 run) minus audio AUC, conflict arm	0.0238	-0.1147	0.1577	146	100	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv
T6_s20_text_minus_audio_agreement	PAIRED transcript (Sep 20 run) minus audio AUC, agreement arm	0.0024	-0.0824	0.0779	322	175	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv
T6_s20_gap_text_minus_gap_audio	PAIRED (transcript Sep 20 run arm gap) minus (audio arm gap), gap = conflict minus agreement	0.0214	-0.1413	0.1806	468	228	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv
T6_s15_text_minus_audio_all468	PAIRED transcript (Sep 15 run) minus audio AUC, all 468	0.0397	-0.0302	0.1070	468	228	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv
T6_s15_text_minus_audio_conflict	PAIRED transcript (Sep 15 run) minus audio AUC, conflict arm	-0.0772	-0.2360	0.0680	146	100	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv
T6_s15_text_minus_audio_agreement	PAIRED transcript (Sep 15 run) minus audio AUC, agreement arm	0.0933	0.0157	0.1637	322	175	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv
T6_s15_gap_text_minus_gap_audio	PAIRED (transcript Sep 15 run arm gap) minus (audio arm gap), gap = conflict minus agreement	-0.1705	-0.3440	-0.0049	468	228	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv
T6_s20_minus_s15_all468	PAIRED Sep 20 minus Sep 15 transcript AUC, all 468	-0.0346	-0.0757	0.0003	468	228	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv
T6_s20_minus_s15_conflict	PAIRED Sep 20 minus Sep 15 transcript AUC, conflict arm	0.1010	0.0270	0.1766	146	100	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv
T6_s20_minus_s15_agreement	PAIRED Sep 20 minus Sep 15 transcript AUC, agreement arm	-0.0909	-0.1345	-0.0518	322	175	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv
T6_s20_minus_s15_armgap	PAIRED Sep 20 arm gap minus Sep 15 arm gap (transcript)	0.1919	0.1104	0.2800	468	228	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv
T6_perclip_pearson_s20_s15	Per-clip p_yes Pearson r, Sep 20 vs Sep 15 transcript run	0.7640			468	228	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv
T6_perclip_spearman_s20_s15	Per-clip p_yes Spearman rho, Sep 20 vs Sep 15 transcript run	0.7876			468	228	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv
T6_perclip_maxabsdiff_s20_s15	Per-clip p_yes max abs diff, Sep 20 vs Sep 15 transcript run	0.6147			468	228	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv
T6_perclip_meanabsdiff_s20_s15	Per-clip p_yes mean abs diff, Sep 20 vs Sep 15 transcript run	0.3019			468	228	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv
T6_armgap_ratio_s20	Point ratio transcript arm gap / audio arm gap, Sep 20 run	0.8765			468	228	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv
T6_armgap_ratio_s15	Point ratio transcript arm gap / audio arm gap, Sep 15 run	1.9848			468	228	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv
