275 pids, 275 to fetch, workers 6
10/275 36s 3.43 GB 94.6 MB/s fails 0
20/275 59s 7.39 GB 124.6 MB/s fails 0
30/275 78s 11.10 GB 142.5 MB/s fails 0
40/275 103s 14.75 GB 143.5 MB/s fails 0
50/275 124s 18.97 GB 152.5 MB/s fails 0
60/275 141s 22.04 GB 156.4 MB/s fails 0
70/275 176s 27.11 GB 154.1 MB/s fails 0
80/275 198s 32.01 GB 161.5 MB/s fails 0
90/275 224s 36.08 GB 161.4 MB/s fails 0
100/275 245s 39.97 GB 163.1 MB/s fails 0
110/275 272s 44.59 GB 164.1 MB/s fails 0
120/275 294s 48.68 GB 165.8 MB/s fails 0
130/275 322s 52.74 GB 163.6 MB/s fails 0
140/275 347s 57.41 GB 165.4 MB/s fails 0
150/275 373s 61.83 GB 165.7 MB/s fails 0
160/275 393s 65.80 GB 167.3 MB/s fails 0
170/275 419s 70.01 GB 167.0 MB/s fails 0
180/275 436s 74.03 GB 169.7 MB/s fails 0
190/275 457s 77.87 GB 170.2 MB/s fails 0
200/275 481s 81.89 GB 170.1 MB/s fails 0
210/275 500s 86.36 GB 172.8 MB/s fails 0
220/275 523s 90.97 GB 173.9 MB/s fails 0
230/275 541s 94.94 GB 175.6 MB/s fails 0
240/275 562s 98.75 GB 175.6 MB/s fails 0
250/275 582s 103.14 GB 177.4 MB/s fails 0
260/275 603s 107.25 GB 177.9 MB/s fails 0
270/275 617s 111.14 GB 180.2 MB/s fails 0
FETCH_DONE ok 275 fails 0 wav_on_disk 275 629s 113.48 GB
