speaker_id,id,p_yes,answer_mass,prompt
301,conflict_301_c000010,0.2451135600961688,0.9986630082130432,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
301,conflict_301_c000015,0.5312295420677513,0.9984277486801147,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
302,conflict_302_c000036,0.11282018058409189,0.9987993165850639,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
302,conflict_302_c000040,0.484434611061824,0.9971504509449005,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
303,conflict_303_c000064,0.6654552730556557,0.9979262948036194,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
306,conflict_306_c000146,0.5775598887904018,0.9980931580066681,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
306,conflict_306_c000148,0.4225347259500517,0.9980951547622681,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
306,conflict_306_c000149,0.6077167300299177,0.9977086782455444,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
307,conflict_307_c000157,0.7773229486603649,0.9982978701591492,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
307,conflict_307_c000159,0.43788879031594646,0.9974167048931122,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
307,conflict_307_c000162,0.21211235681941917,0.9976092576980591,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
307,conflict_307_c000176,0.46887178888196146,0.9987472891807556,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
308,conflict_308_c000181,0.006694529484574741,0.9994381344877183,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
308,conflict_308_c000182,0.02298203359748488,0.9990483894944191,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
308,conflict_308_c000185,0.15613492454654196,0.9979174137115479,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
308,conflict_308_c000186,0.2942493433762239,0.9977248311042786,"Based only on this transcript of what the person said, does this speaker show signs of depression? Answer with one word, Yes or No."
