order_group,line,context,paper_value,file_value,file_path,estimator,status,red_span,reason,value_status,method_constant,kind,section,item_id,added_basis,tex_file
red,26,"On Parkinson's and Alzheimer's, probes detect the disorder with an AUC of 0.75 to 0.92 while zero-shot answers sit at 0.56 to 0.71, a representation utility gap.",0.75 to 0.92,0.7506 to 0.9213,omni_adress2020_nested_repeats.json ; omni_adresso_nested_repeats.json ; omni_kcl_nested_repeats.json ; omni_neurovoz_nested_repeats.json ; omni_pcgita_nested_repeats.json ; pitt_enc_nested5_oof.npz,"Qwen2.5-Omni encoder_probe, PD+AD",MATCH,R4,"range matches SET 'Qwen2.5-Omni encoder_probe, PD+AD': min 0.7506 (kcl) max 0.9213 (neurovoz); members: pcgita 0.8941; neurovoz 0.9213; kcl 0.7506; pitt 0.7706; adresso 0.8752; adress2020 0.8043; compatible sets that do NOT match: Qwen2.5-Omni encoder_probe, PD+AD without MDVR-KCL gives 0.77 to 0.92 | Qwen2.5-Omni lm_probe, PD+AD gives 0.62 to 0.93 | Qwen2.5-Omni lm_probe, PD+AD without MDVR-KCL gives 0.80 to 0.93 | Qwen2.5-Omni answer_state_probe, PD+AD gives 0.58 to 0.89",,no,range,Abstract,L26_497,,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
red,128,Pitt | Zero-shot Text :: Pitt & 468 (227) & 0.66 & 0.66 & 0.77,0.66,0.6629,<local data dir>/release/overnight2/text_new/o25_pitt_text.csv,"text only, Run B (pod /workspace/text_score.py, file mtime Sep 20), rank AUC recomputed here; arms joined from Run A 'set' by id",MATCH,R1,"context [model=Qwen2.5-Omni; data=pitt; stream=transcript; arm=all]; tier CONTESTED; same-tier values that round differently: 0.6975 (pitt Pitt Qwen2.5-Omni transcript-only answer, CONTESTED), 0.6975 (pitt text only, Run A (local MPS, file mtime , CONTESTED); NOTE S5: two Omni Pitt transcript runs disagree: Run A Sep 15 local 0.6975 (bootstrap tables, M1 headline) vs Run B Sep 20 pod 0.6629 (master_lookup, table1_omni25); cause not established",CONTESTED,no,point,Experimental Results,L128_34,,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
red,130,ADReSS-2020 | Zero-shot Text :: ADReSS-2020 & 156 (156) & 0.62 & 0.75 & 0.77,0.75,0.7538,<local data dir>/release/overnight2/text_new/o25_adress2020_text.csv,"text only, pod run Sep 20 (o25_adress2020_text.csv), rank AUC recomputed here",MATCH,R2,"context [model=Qwen2.5-Omni; data=adress2020; stream=transcript; arm=all]; tier current; same-tier values that round differently: 0.7909 (adress2020 text only, local run Sep 15 (omni_adress, current)",current,no,point,Experimental Results,L130_34,,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
red,149,"Size of the gap. The encoder probe, with its layer chosen inside the training folds, reaches 0.75 to 0.92 on the Parkinson's sets and 0.77 to 0.88 on the Alzheimer's sets (Fig. \reffig:gap).",0.75 to 0.92,0.7506 to 0.9213,omni_kcl_nested_repeats.json ; omni_neurovoz_nested_repeats.json ; omni_pcgita_nested_repeats.json,"Qwen2.5-Omni encoder_probe, PD",MATCH,R4,"range matches SET 'Qwen2.5-Omni encoder_probe, PD': min 0.7506 (kcl) max 0.9213 (neurovoz); members: pcgita 0.8941; neurovoz 0.9213; kcl 0.7506; compatible sets that do NOT match: Qwen2.5-Omni best probe (max over encoder/LM/answer-state/projector), PD gives 0.75 to 0.93 | Qwen2.5-Omni encoder probe SINGLE-SPLIT OOF (M7), PD gives 0.78 to 0.92",,no,range,Probing Results,L149_111,,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,26,"On Parkinson's and Alzheimer's, probes detect the disorder with an AUC of 0.75 to 0.92 while zero-shot answers sit at 0.56 to 0.71, a representation utility gap.",0.56 to 0.71,0.5635 to 0.7143,omni_adress2020_zeroshot.json ; omni_adresso_zeroshot.json ; omni_kcl_zeroshot.json ; omni_neurovoz_zeroshot.json ; omni_pcgita_zeroshot.json ; omni_pitt_zeroshot.json,"Qwen2.5-Omni zero_shot, PD+AD",MATCH,,"range matches SET 'Qwen2.5-Omni zero_shot, PD+AD': min 0.5635 (pcgita) max 0.7143 (kcl); members: pcgita 0.5635; neurovoz 0.6951; kcl 0.7143; pitt 0.6578; adresso 0.6150; adress2020 0.6241; compatible sets that do NOT match: Qwen2.5-Omni zero_shot, PD+AD without MDVR-KCL gives 0.56 to 0.70",,no,range,Abstract,L26_541,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,26,"Where the words contradict a depression diagnosis, four of six models fall below chance.",four,,,,MATCH,,"count of models with conflict-arm AUC < 0.5 (M8/T1 primary files); the sentence names no dataset: holds on edaic_conflict_v2 only: edaic_conflict_v2: 4 of 6 (Qwen2-Audio 0.2280, Qwen2.5-Omni 0.2218, Qwen3-Omni 0.3008, Audio Flamingo 3 0.4235); pitt: 1 of 6 (Qwen2-Audio 0.4132)",,no,word,Abstract,L26_680,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,26,Retraining only the audio projector narrows the gap on five of the six Parkinson's and Alzheimer's sets.,five,,,,UNMATCHED,,word number without a checkable pattern,,no,word,Abstract,L26_773,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,53,"\item We show that the signal survives to the answer position, in directions the Yes/No readout does not use, and that retraining only the projector recovers the overall AUC on five of seven datasets but leaves the conflict segments at chance.",five,,,,UNMATCHED,,word number without a checkable pattern,,no,word,Introduction,L53_177,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,67,"We then ask the model the same prompt (clinical question) and read its answer from the logits at the first answer position, in one forward pass and with no generation, \beginequation AUC^answer = AUC(p(Y), y), \quad p(Y) = \frac\sum_t\in\mathcalY\pi_t\sum_t\in\mathcalY\cup\mathcalN\pi_t, \labeleq:answer \endequation where \pi is the softmax over the vocabulary at the first answer position and \mat",0.89,0.5635,<local data dir>/release/omni_final/omni_pcgita_zeroshot_scores.csv,"zero shot answer, rank AUC recomputed here from per-clip p_yes",MISMATCH,,"bound claim (above 0.89): min over 96 compatible values is 0.5635 (Qwen2.5-Omni|pcgita|zero_shot|all, zero shot answer, rank AUC recomputed here from per-clip p_y)",current,no,point,Method,L67_321,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
added_23sep,74,"On the Pitt dataset the arms are not paired (47 speakers appear in both), and fluency markers such as pauses are heard as well as read, so the Pitt test is the weaker one.",47,,,,UNMATCHED,,count 47 not found as n or n_spk in index rows for pitt,,no,integer,Method,L74_739,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper work/paper1_submission_23sep/final_overleaf_2325Z/AudioLLMHealthUtilityGap.tex
