stream_key,model,stream,seg_uid,clip_id,speaker_id,n_repeats_in_agreement_arm,p_yes
q2a,Qwen2-Audio,audio,a000030,agreement_301_a000030,301,1,0.9399119520086737
q2a,Qwen2-Audio,audio,a000018,agreement_301_a000018,301,1,0.9539638941145675
q2a,Qwen2-Audio,audio,a000045,agreement_302_a000045,302,1,0.9504074868497042
q2a,Qwen2-Audio,audio,a000033,agreement_302_a000033,302,1,0.9184787232827337
q2a,Qwen2-Audio,audio,a000049,agreement_303_a000049,303,1,0.4882750412954775
q2a,Qwen2-Audio,audio,a000143,agreement_306_a000143,306,1,0.1755384704442499
q2a,Qwen2-Audio,audio,a000141,agreement_306_a000141,306,1,0.9954965086459936
q2a,Qwen2-Audio,audio,a000152,agreement_306_a000152,306,1,0.9086139644727639
q2a,Qwen2-Audio,audio,a000160,agreement_307_a000160,307,3,0.9473787392556029
q2a,Qwen2-Audio,audio,a000167,agreement_307_a000167,307,1,0.18952446985475338
q2a,Qwen2-Audio,audio,a000193,agreement_308_a000193,308,4,0.9998803899996397
q2a,Qwen2-Audio,audio,a000189,agreement_308_a000189,308,1,0.9995043900292387
q2a,Qwen2-Audio,audio,a000243,agreement_311_a000243,311,1,0.9988394669394745
q2a,Qwen2-Audio,audio,a000262,agreement_312_a000262,312,1,0.9886676136046181
q2a,Qwen2-Audio,audio,a000301,agreement_314_a000301,314,1,0.7931019148933134
q2a,Qwen2-Audio,audio,a000310,agreement_314_a000310,314,1,0.8289346344111014
q2a,Qwen2-Audio,audio,a000319,agreement_314_a000319,314,1,0.9678978851402386
q2a,Qwen2-Audio,audio,a000305,agreement_314_a000305,314,2,0.9962924309044007
q2a,Qwen2-Audio,audio,a000349,agreement_315_a000349,315,1,0.9895104981240762
q2a,Qwen2-Audio,audio,a000351,agreement_315_a000351,315,2,0.30074686783023846
q2a,Qwen2-Audio,audio,a000342,agreement_315_a000342,315,2,0.8740757122713297
q2a,Qwen2-Audio,audio,a000394,agreement_318_a000394,318,1,0.550612585024685
q2a,Qwen2-Audio,audio,a000435,agreement_321_a000435,321,1,0.9999570103896949
q2a,Qwen2-Audio,audio,a000439,agreement_321_a000439,321,1,0.9974087442046923
q2a,Qwen2-Audio,audio,a000436,agreement_321_a000436,321,1,0.9998910897738671
q2a,Qwen2-Audio,audio,a000472,agreement_323_a000472,323,1,0.5926601172630735
q2a,Qwen2-Audio,audio,a000484,agreement_323_a000484,323,1,0.6076559029151749
q2a,Qwen2-Audio,audio,a000550,agreement_327_a000550,327,1,0.9461976062362808
q2a,Qwen2-Audio,audio,a000566,agreement_328_a000566,328,1,0.015189990072407145
q2a,Qwen2-Audio,audio,a000576,agreement_328_a000576,328,1,0.2628403232577803
q2a,Qwen2-Audio,audio,a000572,agreement_328_a000572,328,1,0.3960713522639236
q2a,Qwen2-Audio,audio,a000594,agreement_329_a000594,329,1,0.23934837719363375
q2a,Qwen2-Audio,audio,a000647,agreement_332_a000647,332,1,0.999971805104764
q2a,Qwen2-Audio,audio,a000650,agreement_332_a000650,332,4,0.9986113548983547
