id,value,lo,hi,n,n_speakers,nan_draws,file
s20_all468,0.6629,0.5983,0.7245,468,228,0,<local data dir>/release/overnight2/text_new/o25_pitt_text.csv
s20_conflict,0.556,0.4516,0.668,146,100,0,<local data dir>/release/overnight2/text_new/o25_pitt_text.csv
s20_agreement,0.7078,0.6381,0.7696,322,175,0,<local data dir>/release/overnight2/text_new/o25_pitt_text.csv
s20_conflict_minus_agreement,-0.1518,-0.2665,-0.0271,468,228,0,<local data dir>/release/overnight2/text_new/o25_pitt_text.csv
aud_all468,0.6578,0.6033,0.7125,468,228,0,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv
aud_conflict,0.5322,0.4216,0.6447,146,100,0,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv
aud_agreement,0.7054,0.6431,0.7658,322,175,0,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv
aud_conflict_minus_agreement,-0.1731,-0.2958,-0.0392,468,228,0,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv
s20_text_minus_audio_all468,0.0051,-0.0657,0.0694,468,228,0,
s20_text_minus_audio_conflict,0.0238,-0.1147,0.1577,146,100,0,
s20_text_minus_audio_agreement,0.0024,-0.0824,0.0779,322,175,0,
s20_gap_text_minus_gap_audio,0.0214,-0.1413,0.1806,468,228,0,
s15_all468,0.6975,0.6369,0.7549,468,228,0,<local data dir>/paper work/paper1_local_runs/omni_pitt_text.csv
s15_conflict,0.455,0.3412,0.5718,146,100,0,<local data dir>/paper work/paper1_local_runs/omni_pitt_text.csv
s15_agreement,0.7987,0.7392,0.8535,322,175,0,<local data dir>/paper work/paper1_local_runs/omni_pitt_text.csv
s15_conflict_minus_agreement,-0.3437,-0.4556,-0.2209,468,228,0,<local data dir>/paper work/paper1_local_runs/omni_pitt_text.csv
s15_text_minus_audio_all468,0.0397,-0.0302,0.107,468,228,0,
s15_text_minus_audio_conflict,-0.0772,-0.236,0.068,146,100,0,
s15_text_minus_audio_agreement,0.0933,0.0157,0.1637,322,175,0,
s20_minus_s15_all468,-0.0346,-0.0757,0.0003,468,228,0,
s20_minus_s15_conflict,0.101,0.027,0.1766,146,100,0,
s20_minus_s15_agreement,-0.0909,-0.1345,-0.0518,322,175,0,
s20_minus_s15_armgap,0.1919,0.1104,0.28,468,228,0,
SENS227_s20_conflict,0.556,0.4485,0.6723,146,100,0,
SENS227_s20_agreement,0.7078,0.6373,0.7673,322,175,0,
SENS227_s20_conflict_minus_agreement,-0.1518,-0.2697,-0.0275,468,227,0,
s15_gap_text_minus_gap_audio,-0.1705,-0.344,-0.0049,468,228,0,
