layer,auc_mean,auc_std
0,0.629,0.064
1,0.669,0.050
2,0.713,0.068
3,0.741,0.052
4,0.771,0.071
5,0.810,0.047
6,0.800,0.055
7,0.807,0.035
8,0.814,0.051
9,0.833,0.039
10,0.842,0.038
11,0.848,0.036
12,0.842,0.046
13,0.843,0.043
14,0.863,0.037
15,0.864,0.026
16,0.857,0.030
17,0.851,0.067
18,0.868,0.060
19,0.864,0.072
20,0.882,0.060
21,0.892,0.058
22,0.892,0.046
23,0.896,0.047
24,0.889,0.059
25,0.892,0.048
26,0.897,0.038
27,0.887,0.034
28,0.894,0.036
29,0.904,0.036
30,0.895,0.035
31,0.875,0.057
32,0.855,0.058
