layer,auc_mean,auc_std
0,0.585,0.026
1,0.710,0.057
2,0.686,0.061
3,0.726,0.055
4,0.745,0.059
5,0.809,0.037
6,0.824,0.047
7,0.801,0.040
8,0.813,0.046
9,0.812,0.036
10,0.818,0.039
11,0.799,0.048
12,0.801,0.045
13,0.811,0.045
14,0.840,0.046
15,0.840,0.024
16,0.832,0.019
17,0.831,0.049
18,0.850,0.043
19,0.846,0.058
20,0.861,0.045
21,0.871,0.056
22,0.848,0.054
23,0.853,0.054
24,0.860,0.080
25,0.875,0.046
26,0.880,0.038
27,0.894,0.027
28,0.862,0.031
29,0.870,0.043
30,0.851,0.040
31,0.820,0.046
32,0.823,0.048
