layer,within_agreement_auc,conflict_auc
0,0.811,0.389
1,0.856,0.356
2,0.862,0.311
3,0.899,0.278
4,0.884,0.322
5,0.905,0.378
6,0.930,0.356
7,0.930,0.400
8,0.940,0.411
9,0.932,0.489
10,0.936,0.500
11,0.956,0.389
12,0.930,0.500
13,0.925,0.533
14,0.942,0.611
15,0.935,0.533
16,0.948,0.511
17,0.966,0.400
18,0.976,0.456
19,0.969,0.444
20,0.986,0.444
21,0.988,0.389
22,0.986,0.333
23,0.986,0.378
24,0.983,0.422
25,0.987,0.467
26,0.983,0.444
27,0.981,0.344
28,0.987,0.400
29,0.967,0.456
30,0.984,0.333
31,0.983,0.367
32,0.981,0.378
