path,speaker,set,seg_uid,pair_id,fold
/workspace/p20/part14_clips/conflict_301_c000010.wav,301,conflict,c000010,0,4
/workspace/p20/part14_clips/conflict_301_c000015.wav,301,conflict,c000015,1,4
/workspace/p20/part14_clips/conflict_302_c000036.wav,302,conflict,c000036,2,3
/workspace/p20/part14_clips/conflict_302_c000040.wav,302,conflict,c000040,3,3
/workspace/p20/part14_clips/conflict_303_c000064.wav,303,conflict,c000064,4,2
/workspace/p20/part14_clips/conflict_306_c000146.wav,306,conflict,c000146,5,0
/workspace/p20/part14_clips/conflict_306_c000148.wav,306,conflict,c000148,6,0
/workspace/p20/part14_clips/conflict_306_c000149.wav,306,conflict,c000149,7,0
/workspace/p20/part14_clips/conflict_307_c000157.wav,307,conflict,c000157,8,3
/workspace/p20/part14_clips/conflict_307_c000159.wav,307,conflict,c000159,9,3
/workspace/p20/part14_clips/conflict_307_c000162.wav,307,conflict,c000162,10,3
/workspace/p20/part14_clips/conflict_307_c000176.wav,307,conflict,c000176,11,3
/workspace/p20/part14_clips/conflict_308_c000181.wav,308,conflict,c000181,12,2
/workspace/p20/part14_clips/conflict_308_c000182.wav,308,conflict,c000182,13,2
/workspace/p20/part14_clips/conflict_308_c000185.wav,308,conflict,c000185,14,2
/workspace/p20/part14_clips/conflict_308_c000186.wav,308,conflict,c000186,15,2
/workspace/p20/part14_clips/conflict_308_c000187.wav,308,conflict,c000187,16,2
/workspace/p20/part14_clips/conflict_311_c000251.wav,311,conflict,c000251,17,1
/workspace/p20/part14_clips/conflict_312_c000260.wav,312,conflict,c000260,18,0
/workspace/p20/part14_clips/conflict_314_c000291.wav,314,conflict,c000291,19,1
/workspace/p20/part14_clips/conflict_314_c000293.wav,314,conflict,c000293,20,1
/workspace/p20/part14_clips/conflict_314_c000296.wav,314,conflict,c000296,21,1
/workspace/p20/part14_clips/conflict_314_c000312.wav,314,conflict,c000312,22,1
/workspace/p20/part14_clips/conflict_314_c000325.wav,314,conflict,c000325,23,1
/workspace/p20/part14_clips/conflict_315_c000333.wav,315,conflict,c000333,24,0
/workspace/p20/part14_clips/conflict_315_c000335.wav,315,conflict,c000335,25,0
/workspace/p20/part14_clips/conflict_315_c000337.wav,315,conflict,c000337,26,0
/workspace/p20/part14_clips/conflict_315_c000344.wav,315,conflict,c000344,27,0
/workspace/p20/part14_clips/conflict_315_c000345.wav,315,conflict,c000345,28,0
/workspace/p20/part14_clips/conflict_318_c000389.wav,318,conflict,c000389,29,4
/workspace/p20/part14_clips/conflict_321_c000428.wav,321,conflict,c000428,30,4
/workspace/p20/part14_clips/conflict_321_c000434.wav,321,conflict,c000434,31,4
/workspace/p20/part14_clips/conflict_321_c000441.wav,321,conflict,c000441,32,4
/workspace/p20/part14_clips/conflict_323_c000475.wav,323,conflict,c000475,33,2
/workspace/p20/part14_clips/conflict_323_c000480.wav,323,conflict,c000480,34,2
/workspace/p20/part14_clips/conflict_327_c000548.wav,327,conflict,c000548,35,3
/workspace/p20/part14_clips/conflict_328_c000562.wav,328,conflict,c000562,36,3
/workspace/p20/part14_clips/conflict_328_c000563.wav,328,conflict,c000563,37,3
/workspace/p20/part14_clips/conflict_328_c000564.wav,328,conflict,c000564,38,3
/workspace/p20/part14_clips/conflict_329_c000589.wav,329,conflict,c000589,39,2
/workspace/p20/part14_clips/conflict_332_c000642.wav,332,conflict,c000642,40,4
/workspace/p20/part14_clips/conflict_332_c000644.wav,332,conflict,c000644,41,4
/workspace/p20/part14_clips/conflict_332_c000649.wav,332,conflict,c000649,42,4
/workspace/p20/part14_clips/conflict_332_c000654.wav,332,conflict,c000654,43,4
/workspace/p20/part14_clips/conflict_332_c000656.wav,332,conflict,c000656,44,4
/workspace/p20/part14_clips/conflict_338_c000810.wav,338,conflict,c000810,45,4
/workspace/p20/part14_clips/conflict_338_c000820.wav,338,conflict,c000820,46,4
/workspace/p20/part14_clips/conflict_338_c000821.wav,338,conflict,c000821,47,4
/workspace/p20/part14_clips/conflict_338_c000822.wav,338,conflict,c000822,48,4
/workspace/p20/part14_clips/conflict_338_c000824.wav,338,conflict,c000824,49,4
/workspace/p20/part14_clips/conflict_338_c000825.wav,338,conflict,c000825,50,4
/workspace/p20/part14_clips/conflict_340_c000847.wav,340,conflict,c000847,51,1
/workspace/p20/part14_clips/conflict_345_c000931.wav,345,conflict,c000931,52,1
/workspace/p20/part14_clips/conflict_345_c000932.wav,345,conflict,c000932,53,1
/workspace/p20/part14_clips/conflict_345_c000935.wav,345,conflict,c000935,54,1
/workspace/p20/part14_clips/conflict_345_c000939.wav,345,conflict,c000939,55,1
/workspace/p20/part14_clips/conflict_345_c000940.wav,345,conflict,c000940,56,1
/workspace/p20/part14_clips/conflict_345_c000941.wav,345,conflict,c000941,57,1
/workspace/p20/part14_clips/conflict_345_c000942.wav,345,conflict,c000942,58,1
/workspace/p20/part14_clips/conflict_345_c000947.wav,345,conflict,c000947,59,1
/workspace/p20/part14_clips/conflict_345_c000948.wav,345,conflict,c000948,60,1
/workspace/p20/part14_clips/conflict_345_c000949.wav,345,conflict,c000949,61,1
/workspace/p20/part14_clips/conflict_345_c000952.wav,345,conflict,c000952,62,1
/workspace/p20/part14_clips/conflict_345_c000953.wav,345,conflict,c000953,63,1
/workspace/p20/part14_clips/conflict_346_c000954.wav,346,conflict,c000954,64,4
/workspace/p20/part14_clips/conflict_346_c000956.wav,346,conflict,c000956,65,4
/workspace/p20/part14_clips/conflict_346_c000957.wav,346,conflict,c000957,66,4
/workspace/p20/part14_clips/conflict_346_c000971.wav,346,conflict,c000971,67,4
/workspace/p20/part14_clips/conflict_346_c000972.wav,346,conflict,c000972,68,4
/workspace/p20/part14_clips/conflict_346_c000974.wav,346,conflict,c000974,69,4
/workspace/p20/part14_clips/conflict_346_c000982.wav,346,conflict,c000982,70,4
/workspace/p20/part14_clips/conflict_346_c000983.wav,346,conflict,c000983,71,4
/workspace/p20/part14_clips/conflict_346_c000984.wav,346,conflict,c000984,72,4
/workspace/p20/part14_clips/conflict_346_c000985.wav,346,conflict,c000985,73,4
/workspace/p20/part14_clips/conflict_346_c000986.wav,346,conflict,c000986,74,4
/workspace/p20/part14_clips/conflict_347_c000988.wav,347,conflict,c000988,75,2
/workspace/p20/part14_clips/conflict_347_c000990.wav,347,conflict,c000990,76,2
/workspace/p20/part14_clips/conflict_347_c000993.wav,347,conflict,c000993,77,2
/workspace/p20/part14_clips/conflict_347_c000995.wav,347,conflict,c000995,78,2
/workspace/p20/part14_clips/conflict_348_c001000.wav,348,conflict,c001000,79,0
/workspace/p20/part14_clips/conflict_348_c001001.wav,348,conflict,c001001,80,0
/workspace/p20/part14_clips/conflict_348_c001005.wav,348,conflict,c001005,81,0
/workspace/p20/part14_clips/conflict_348_c001006.wav,348,conflict,c001006,82,0
/workspace/p20/part14_clips/conflict_348_c001007.wav,348,conflict,c001007,83,0
/workspace/p20/part14_clips/conflict_348_c001013.wav,348,conflict,c001013,84,0
/workspace/p20/part14_clips/conflict_348_c001014.wav,348,conflict,c001014,85,0
/workspace/p20/part14_clips/conflict_354_c001129.wav,354,conflict,c001129,86,2
/workspace/p20/part14_clips/conflict_354_c001131.wav,354,conflict,c001131,87,2
/workspace/p20/part14_clips/conflict_354_c001137.wav,354,conflict,c001137,88,2
/workspace/p20/part14_clips/conflict_362_c001260.wav,362,conflict,c001260,89,0
/workspace/p20/part14_clips/conflict_362_c001263.wav,362,conflict,c001263,90,0
/workspace/p20/part14_clips/conflict_362_c001265.wav,362,conflict,c001265,91,0
/workspace/p20/part14_clips/conflict_362_c001266.wav,362,conflict,c001266,92,0
/workspace/p20/part14_clips/conflict_362_c001268.wav,362,conflict,c001268,93,0
/workspace/p20/part14_clips/conflict_362_c001271.wav,362,conflict,c001271,94,0
/workspace/p20/part14_clips/conflict_363_c001278.wav,363,conflict,c001278,95,3
/workspace/p20/part14_clips/conflict_363_c001284.wav,363,conflict,c001284,96,3
/workspace/p20/part14_clips/conflict_363_c001285.wav,363,conflict,c001285,97,3
/workspace/p20/part14_clips/conflict_363_c001288.wav,363,conflict,c001288,98,3
/workspace/p20/part14_clips/conflict_363_c001290.wav,363,conflict,c001290,99,3
/workspace/p20/part14_clips/conflict_363_c001295.wav,363,conflict,c001295,100,3
/workspace/p20/part14_clips/conflict_363_c001296.wav,363,conflict,c001296,101,3
/workspace/p20/part14_clips/conflict_364_c001302.wav,364,conflict,c001302,102,1
/workspace/p20/part14_clips/conflict_364_c001308.wav,364,conflict,c001308,103,1
/workspace/p20/part14_clips/conflict_364_c001309.wav,364,conflict,c001309,104,1
/workspace/p20/part14_clips/conflict_364_c001310.wav,364,conflict,c001310,105,1
/workspace/p20/part14_clips/conflict_366_c001416.wav,366,conflict,c001416,106,3
/workspace/p20/part14_clips/conflict_366_c001417.wav,366,conflict,c001417,107,3
/workspace/p20/part14_clips/conflict_366_c001423.wav,366,conflict,c001423,108,3
/workspace/p20/part14_clips/conflict_366_c001429.wav,366,conflict,c001429,109,3
/workspace/p20/part14_clips/conflict_366_c001430.wav,366,conflict,c001430,110,3
/workspace/p20/part14_clips/conflict_367_c001447.wav,367,conflict,c001447,111,3
/workspace/p20/part14_clips/conflict_367_c001473.wav,367,conflict,c001473,112,3
/workspace/p20/part14_clips/conflict_367_c001474.wav,367,conflict,c001474,113,3
/workspace/p20/part14_clips/conflict_367_c001475.wav,367,conflict,c001475,114,3
/workspace/p20/part14_clips/conflict_367_c001477.wav,367,conflict,c001477,115,3
/workspace/p20/part14_clips/conflict_367_c001478.wav,367,conflict,c001478,116,3
/workspace/p20/part14_clips/conflict_369_c001515.wav,369,conflict,c001515,117,1
