dataset,path,md5,dur_s,db_p5,db_med,db_max,frac_below_floor6,frac_below_m50,n_frames,mfcc,err
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_092-0_7255.wav,e58edc0e50e56d1d8d62ac199cab4877,33.7,-75.1578,-72.4116,-30.1307,0.611,0.8833,3368,-116.051498;-5.807781;1.527000;-2.836263;0.234486;-0.241233;-1.092079;0.544474;-1.093796;-0.427916;-0.714161;0.053071;-0.283044,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_093-0_6739.wav,9d471221a4bdc6105eeb9b749dc0356d,30.45,-87.4254,-82.1433,-27.6395,0.5202,0.7808,3043,-111.788841;-4.930356;-0.424303;0.286590;-3.141632;-1.811407;-0.934627;0.362333;-0.543495;-0.279337;-0.610955;-1.206589;-0.394155,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_096-2_510.wav,8bcb1c9f8ab3565f692ffc1fd5519840,30.73,-90.0662,-46.6574,-22.2722,0.2699,0.4513,3071,-102.357224;-0.861775;1.735293;-1.311456;-2.354436;-1.584371;-3.687400;-1.052868;-1.166115;-0.423712;-0.540878;0.062140;0.252427,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_105-0_2779.wav,a12f7fcb24833e81cf51f4930254ee21,30.48,-90.4078,-85.5997,-42.4035,0.5975,0.9852,3046,-129.994186;-7.155026;0.312937;-1.878798;-0.089716;-1.714450;-0.574921;0.299224;-0.339443;0.016862;-0.461379;-0.221974;0.419804,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_105-1_12019.wav,7689b026e55659a53648930934bd37f5,34.36,-79.5545,-42.6371,-15.9556,0.1642,0.3832,3434,-94.354805;3.067095;-2.066470;-3.018279;-3.429459;-1.489469;-1.920896;-1.612772;-1.752391;-1.894193;-1.951468;-1.140966;-1.185248,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_105-2_3372.wav,28da671e068f21b3cee740c40da65453,34.68,-86.4798,-55.8424,-28.3146,0.2871,0.5756,3466,-107.861252;-3.646768;-2.648104;-2.083042;-2.684327;-2.210647;-1.897405;-0.200635;-0.817988;-0.829218;-1.021673;-1.324830;-0.028290,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_109-1_4336.wav,2a8ff276d36b919f9120b76a0eafe0ad,30.36,-48.3658,-38.0778,-19.6421,0.3642,0.0115,3034,-80.203209;-1.101385;-1.421696;-1.151657;-1.050182;-0.132895;-1.211356;-0.811940;-1.088966;-0.395421;-1.371493;-0.132981;-0.523892,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_109-3_4932.wav,d67a72008f732156d27603284d26dfd0,32.33,-76.9839,-30.0695,-12.8878,0.0687,0.2197,3231,-79.563560;1.816048;-1.408035;-2.973506;-3.855143;-2.805903;-2.064404;-2.067427;-1.555027;-2.130806;-1.973898;-0.611406;-0.687633,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_113-0_7053.wav,c22b8a1040988305729c99a57383ae2f,34.22,-89.2799,-86.9469,-35.2411,0.6564,0.9278,3420,-125.665070;-5.663084;-0.458510;-2.255161;-0.658989;-0.754745;-0.424302;-0.830168;-1.342661;-0.291190;-0.021602;0.297727;0.229790,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_113-2_6076.wav,f56d44fa17ac202df25d49ea1a1d9df7,30.4,-84.6879,-42.6159,-15.7789,0.2785,0.4233,3038,-97.153854;0.623062;-1.011643;-2.290594;-3.342292;-2.878615;-2.016105;-0.806116;-1.114453;-0.739033;-1.045888;-1.187185;-1.055078,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_113-3_8288.wav,2b7a3e7439c12783d52c93a109c0a493,35.62,-85.1902,-58.5084,-26.7215,0.3573,0.6171,3560,-105.920860;-1.641254;0.347684;-0.266975;-1.881341;-2.509109;-2.467250;-0.893918;-1.191993;-1.366569;-0.493398;-0.446313;-0.869256,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_114-1_5893.wav,01786827d905e503f06ea336659c5cfc,31.66,-86.3902,-79.9793,-31.4701,0.4934,0.7216,3164,-108.402534;-3.811258;-0.543338;-2.119189;-3.943514;-1.558299;-1.181132;0.114007;-0.485859;0.006842;-0.260480;-0.665705;-0.656104,
pitt_segments,/Volumes/G-Drive Pro/paper work/Hard drive data for paper/DementiaBank/segments/agreement_Con_118-0_4796.wav,766dafef961aefe3a62f98f287aa0b6b,32.04,-88.6207,-82.9054,-31.8123,0.5053,0.9232,3202,-125.798950;-4.516055;0.298831;-2.361325;-1.035219;-0.116021;-1.541667;-0.355169;-0.762807;-0.773681;0.011616;0.370506;0.199175,
