status,order_group,line,paper_value,file_value,file_path,triage,triage_reason,triage_recomputed,method_constant,kind,section,item_id,reason,context,tex_line_text
UNMATCHED,red,149,0.06 on PC-GITA to 0.18,,,,,,no,range,Probing Results,L149_642,"no named set compatible with context [model=Qwen3-Omni; data=adresso; stream=enc_minus_egemaps; arm=all; delta] (streams ['enc_minus_egemaps'], group ALL7)","The encoder probe beats the eGeMAPS baseline on all seven datasets, by 0.06 on PC-GITA to 0.18 on ADReSSo.","The encoder probe, with its layer chosen inside the training folds, achieves an AUC of 0.75 to 0.92 on the Parkinson's sets and 0.77 on the Pitt dataset (Fig.~\ref{fig:gap}). The paired difference $\Delta$ of Section~\ref{sec:setup} excludes zero on every Parkinson's and Alzheimer's set except MDVR-KCL, at 0.35 on PC-GITA and 0.11 on Pitt.  On all 708 Pitt segments, middle third included, the encoder probe reaches 0.80 and the zero-shot answer 0.67. On Qwen3-Omni the encoder probe reaches 0.90 on PC-GITA and 0.81 on Pitt against zero-shot answers of 0.60 and 0.77. The encoder probe beats the eGeMAPS baseline on all seven datasets, by 0.06 on PC-GITA to 0.18 on ADReSSo.  Recording features from the quietest frames separate the NeuroVoz groups at 0.87 by spectral centroid alone and PC-GITA at 0.69, so part of the Parkinson's probe may come from the recording channel. Normalising loudness and noise floor lowers those features to 0.60 on NeuroVoz and leaves the encoder probe at 0.89. On 38 age and sex matched NeuroVoz pairs the encoder probe stays at 0.90 and the zero-shot answer at 0.63. Age alone separates the Pitt groups at 0.71. On the age-matched clips, the age alone falls to 0.39, while the encoder probe reaches 0.80 and the zero-shot answer 0.65. The information also survives past the audio encoder. On Alzheimer's the probe on the language model's states at the audio-token positions reaches 0.80, and the answer state itself achieves 0.77. The probe and the answer use different directions of that vector. The cosine between the probe direction and the readout direction, the Yes output embedding minus the No output embedding, is 0.01 in magnitude, no larger than between two random directions. Removing the readout direction from the state leaves the probe at 0.77. On Qwen2-Audio and Qwen3-Omni the cosine is 0.01 and 0.005, at the random floor, and removing the readout direction leaves their probes at 0.81 and 0.83. The gap is widest on Parkinson's read-speech, narrower on Alzheimer's picture descriptions and reversed on depression. On E-DAIC the language model probe reaches 0.70 and the encoder probe 0.59, both below the answer of 0.83 with paired intervals excluding zero."
MISMATCH,red,244,"(claim, no number)","pcgita +0.3227 [0.2391, 0.404]; neurovoz +0.2078 [0.1588, 0.2578]; kcl -0.0149 [-0.2709, 0.2364]; edaic -0.0537 [-0.1221, 0.0152]; pitt +0.1095 [0.0454, 0.1728]; adresso +0.2096 [0.1294, 0.2867]; adress2020 +0.1443 [0.049, 0.237]; E-DAIC full window: zero-shot minus fine-tune +0.1863 [0.1098, 0.2696]",edaic_rerun/part15/C_intervals.csv,REAL,"The AD half holds (all three gains positive, intervals above zero). The MDD half is wrong: on E-DAIC 30 s the gain is negative with an interval spanning zero, and on the full window fine tuning lowers the AUC with an interval entirely below zero. The paper's own Section 3 sentence (line 226) says E-DAIC drops. Fix: say AD only.","AD: Pitt 0.1095 [0.0454, 0.1728] n=468 spk=228; ADReSSo 0.2096 [0.1294, 0.2867] n=237 spk=237; ADReSS 0.1443 [0.0490, 0.2370] n=156 spk=156. MDD: E-DAIC 30 s -0.0537 [-0.1221, 0.0152] n=275 spk=275; E-DAIC full window -0.1863 [-0.2696, -0.1098] n=275 spk=275",no,claim,,claim_L244,"E-DAIC first-30 s projector gain -0.0537 [-0.1221, 0.0152] does not exclude zero; E-DAIC full window: fine-tuning LOWERS the AUC by 0.1863 [0.1098, 0.2696] (zero-shot 0.8285 vs fine-tuned 0.6421)",\colorred resulting in a significant performance gain in AD and MDD detection.,"In this paper, we showed how Audio LLM models could under-perform in diagnosing three different clinical conditions. We then inspected the audio representations through probing to learn whether the information necessary for correct diagnosis is present. The probing results demonstrated a wide utility gap, \textit{i.e.}, the LLM does not effectively use the information available from the audio encoder, hence, resulting in lower performance. Similar to previous work \cite{voxparadox}, we found a strong language bias in Audio LLMs as they are more likely to follow the spoken words rather than paralinguistic speech. To alleviate this problem and narrow the utility gap, we performed a supervised fine-tuning limited to the projector layer keeping the rest of the model's weights frozen {\color{red} resulting in a significant performance gain in AD and MDD detection.} This work demonstrated that the hidden state representations carry necessary paralinguistic information in their representation and future work should focus on further narrowing the utility gap."
MISMATCH,added_23sep,77,0.43 to 0.62,0.5246 to 0.7634,o25_kcl_text.csv ; o25_neurovoz_text.json ; o25_pcgita_text.json,MISPAIRING,"Matcher paired the range with the Qwen2.5-Omni transcript ANSWER set. The sentence is about the word regression: range 0.43 to 0.62. Wording note: the model is TF-IDF weighted words, not raw word counts.","MDVR-KCL 0.4315 [0.2560, 0.6287] n=37 spk=37; NeuroVoz 0.5814 [0.5422, 0.6206] n=1270 spk=107; PC-GITA 0.6196 [0.5700, 0.6681] n=1100 spk=100",no,range,Implementation Details,L77_312,"no compatible named set matches both ends; closest SET 'Qwen2.5-Omni transcript, PD' gives 0.5246 (pcgita) to 0.7634 (kcl); members: pcgita 0.5246; neurovoz 0.5371; kcl 0.7634","A logistic regression on transcript word counts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on E-DAIC and 0.84 to 0.93 on the Alzheimer's sets.","\noindent\textbf{Datasets.} We use seven datasets across Parkinson's disease (PD), Alzheimer's disease (AD) and major depressive disorder (MDD), chosen so that the spoken words carry a different share of the diagnosis in each condition. A logistic regression on transcript word counts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on E-DAIC and 0.84 to 0.93 on the Alzheimer's sets. "
MISMATCH,added_23sep,77,0.68,0.823,<local data dir>/release/overnight2/text_new/o25_edaicfull_text.json,MISPAIRING,Matcher paired it with the Qwen2.5-Omni transcript answer (0.823). The word regression on the full interview gives 0.68.,"E-DAIC full 0.6778 [0.5973, 0.7549] n=275 spk=275 (first 30 s would be 0.4844 [0.4028, 0.5624] n=275 spk=275)",no,point,Implementation Details,L77_350,"context [model=Qwen2.5-Omni (default); data=pcgita/neurovoz/kcl/edaic_full/edaic/edaic_mid300/edaic_mid3; stream=transcript; arm=all; dataset group + named set]; best current candidate Qwen2.5-Omni|edaic_full|transcript|all = 0.823 (text only, one documented prompt) rounds to 0.82; same-tier values: 0.6613 (edaic text only, one documented prompt (30 s t, current), 0.6613 (edaic text only, one documented prompt, current), 0.7634 (kcl MDVR-KCL Qwen2.5-Omni transcript-only an, current), 0.823 (edaic_full text only, one documented prompt, current)","A logistic regression on transcript word counts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on E-DAIC and 0.84 to 0.93 on the Alzheimer's sets.","\noindent\textbf{Datasets.} We use seven datasets across Parkinson's disease (PD), Alzheimer's disease (AD) and major depressive disorder (MDD), chosen so that the spoken words carry a different share of the diagnosis in each condition. A logistic regression on transcript word counts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on E-DAIC and 0.84 to 0.93 on the Alzheimer's sets. "
MISMATCH,added_23sep,77,0.84 to 0.93,0.5246 to 0.7634,o25_kcl_text.csv ; o25_neurovoz_text.json ; o25_pcgita_text.json,MISPAIRING,Matcher reused the Parkinson's answer set. Word regression range 0.84 to 0.93.,"Pitt 0.8353 [0.7865, 0.8862] n=468 spk=228; ADReSSo 0.8471 [0.7961, 0.8922] n=237 spk=237; ADReSS 0.9254 [0.8866, 0.9587] n=156 spk=156",no,range,Implementation Details,L77_369,"no compatible named set matches both ends; closest SET 'Qwen2.5-Omni transcript, PD' gives 0.5246 (pcgita) to 0.7634 (kcl); members: pcgita 0.5246; neurovoz 0.5371; kcl 0.7634","A logistic regression on transcript word counts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on E-DAIC and 0.84 to 0.93 on the Alzheimer's sets.","\noindent\textbf{Datasets.} We use seven datasets across Parkinson's disease (PD), Alzheimer's disease (AD) and major depressive disorder (MDD), chosen so that the spoken words carry a different share of the diagnosis in each condition. A logistic regression on transcript word counts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on E-DAIC and 0.84 to 0.93 on the Alzheimer's sets. "
UNMATCHED,added_23sep,87,5,,,,,,yes,integer,Implementation Details,L87_249,"method/design constant, not a result; no file value indexed","Folds are speaker-disjoint (GroupKFold, 5 folds), and the layer is chosen inside the training folds, with the AUC reported as the mean over five repeats of the fold assignment. %Where a layer is chosen, it is chosen inside the training folds; selecting the layer after seeing the test fold inflates AUC by +0.03 on average across 18 cells and by up to +0.14, so we quote the nested value wherever bot","\noindent\textbf{Probing.} The probe in Eq.~\ref{eq:probe} is logistic regression with $\ell_2$ penalty at $C=1$, balanced class weights and 2000 iterations, on features standardized inside the training fold. Folds are speaker-disjoint (GroupKFold, 5 folds), and the layer is chosen inside the training folds, with the AUC reported as the mean over five repeats of the fold assignment. %Where a layer is chosen, it is chosen inside the training folds; selecting the layer after seeing the test fold inflates AUC by $+0.03$ on average across 18 cells and by up to $+0.14$, so we quote the nested value wherever both exist."
UNMATCHED,added_23sep,88,32,,,,,,yes,integer,Implementation Details,L88_81,"method/design constant, not a result; no file value indexed","Layer-wise probing is performed on Qwen2.5-Omni , end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers.","Layer-wise probing is performed on Qwen2.5-Omni \cite{qwen25omni}, end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers. We chose this model because it is dense and the smaller of the two Omni models, so every clip passes through the same weights, and we report Qwen3-Omni \cite{qwen3omni}, a Mixture-of-Experts model, as a check in Section~\ref{sec:results}."
UNMATCHED,added_23sep,88,29,,,,,,yes,integer,Implementation Details,L88_123,"method/design constant, not a result; no file value indexed","Layer-wise probing is performed on Qwen2.5-Omni , end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers.","Layer-wise probing is performed on Qwen2.5-Omni \cite{qwen25omni}, end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers. We chose this model because it is dense and the smaller of the two Omni models, so every clip passes through the same weights, and we report Qwen3-Omni \cite{qwen3omni}, a Mixture-of-Experts model, as a check in Section~\ref{sec:results}."
UNMATCHED,added_23sep,88,28,,,,,,no,integer,Implementation Details,L88_228,count 28 not found as n or n_spk in index rows for (no dataset),"Layer-wise probing is performed on Qwen2.5-Omni , end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers.","Layer-wise probing is performed on Qwen2.5-Omni \cite{qwen25omni}, end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers. We chose this model because it is dense and the smaller of the two Omni models, so every clip passes through the same weights, and we report Qwen3-Omni \cite{qwen3omni}, a Mixture-of-Experts model, as a check in Section~\ref{sec:results}."
UNMATCHED,added_23sep,92,99,,,,,,no,percent,Implementation Details,L92_602,percentage with no indexed file value for context [model=Qwen2.5-Omni (default); data=pitt; stream=zero_shot; arm=conflict],Under greedy decoding the first word is Yes or No on every conflict clip and matches the answer read from the logits on 99 percent of them. %The two score within 0.01 of each other on Pitt.,"\noindent\textbf{Prompts.} \emph{``Based only on this recording, does this speaker show signs of X? Answer with one word, Yes or No''}; on the Parkinson's and depression datasets, the phrase ``this recording'' is replaced with ``how this person's voice sounds''.  For the transcript only baseline, ``this recording'' is replaced with ``this transcript of what the person said''. Two other wordings, listed with the release, move the Table~\ref{tab:main} answers by 0.02 on average. Under greedy decoding the first word is Yes or No on every conflict clip and matches the answer read from the logits on 99 percent of them. %The two score within 0.01 of each other on Pitt."
