clip,speaker,fold_single,oof_single
HC_ABLANDADA_0034.wav,34,4,0.9999558925628662
HC_PIDIO_0034.wav,34,4,0.7063947319984436
HC_BURRO_0034.wav,34,4,0.9999966621398926
HC_GANGA_0034.wav,34,4,1.0
HC_MANGA_0034.wav,34,4,0.9992915391921997
HC_PERRO_0034.wav,34,4,1.0
HC_SOMBRA_0034.wav,34,4,0.9999829530715942
HC_BARBAS_0034.wav,34,4,0.9997918009757996
HC_DIABLO_0034.wav,34,4,0.992063581943512
HC_TOMAS_0034.wav,34,4,0.9913075566291809
HC_CARMEN_0034.wav,34,4,0.9999938011169434
HC_CALLE_0034.wav,34,4,0.9333822727203369
HC_PIDIO_0036.wav,36,2,0.9189229607582092
HC_DIABLO_0036.wav,36,2,0.00039256762829609215
HC_ABLANDADA_0036.wav,36,2,0.303633451461792
HC_MANGA_0036.wav,36,2,0.05917123332619667
HC_TOMAS_0036.wav,36,2,0.5876376032829285
HC_CARMEN_0036.wav,36,2,0.15779560804367065
HC_BARBAS_0036.wav,36,2,0.6054651141166687
HC_CALLE_0036.wav,36,2,0.0001649982441449538
HC_BURRO_0036.wav,36,2,0.3779839277267456
HC_SOMBRA_0036.wav,36,2,0.8539257645606995
HC_PERRO_0036.wav,36,2,0.9801557660102844
HC_GANGA_0036.wav,36,2,0.6073740124702454
HC_SOMBRA_0045.wav,45,2,0.1333688646554947
HC_DIABLO_0045.wav,45,2,0.0002677558222785592
HC_CARMEN_0045.wav,45,2,0.6710282564163208
HC_GANGA_0045.wav,45,2,0.08699411898851395
HC_BURRO_0045.wav,45,2,0.2029816061258316
HC_BARBAS_0045.wav,45,2,0.004280043300241232
HC_CALLE_0045.wav,45,2,0.005993508268147707
HC_ABLANDADA_0045.wav,45,2,0.9269779324531555
HC_TOMAS_0045.wav,45,2,0.001628624857403338
HC_MANGA_0045.wav,45,2,0.008074440062046051
HC_PERRO_0045.wav,45,2,0.913411557674408
HC_PIDIO_0045.wav,45,2,0.013126224279403687
HC_PIDIO_0048.wav,48,4,0.00039687188109382987
HC_ABLANDADA_0048.wav,48,4,0.134004607796669
HC_CALLE_0048.wav,48,4,0.0001380878093186766
HC_MANGA_0048.wav,48,4,1.0819196631928207e-06
HC_CARMEN_0048.wav,48,4,0.12895365059375763
HC_BARBAS_0048.wav,48,4,0.14500610530376434
HC_GANGA_0048.wav,48,4,0.006920275744050741
HC_TOMAS_0048.wav,48,4,0.10114540159702301
HC_DIABLO_0048.wav,48,4,0.03217961639165878
HC_PERRO_0048.wav,48,4,0.0035705105401575565
HC_BURRO_0048.wav,48,4,0.0019077355973422527
HC_SOMBRA_0048.wav,48,4,0.0012280810624361038
HC_PERRO_0049.wav,49,3,0.13459230959415436
HC_BARBAS_0049.wav,49,3,0.5639539361000061
HC_TOMAS_0049.wav,49,3,0.7898688912391663
HC_CALLE_0049.wav,49,3,0.1649155467748642
HC_DIABLO_0049.wav,49,3,0.03723389282822609
HC_BURRO_0049.wav,49,3,0.15707799792289734
HC_CARMEN_0049.wav,49,3,0.18415501713752747
HC_MANGA_0049.wav,49,3,0.035332582890987396
HC_ABLANDADA_0049.wav,49,3,0.0003312650660518557
HC_SOMBRA_0049.wav,49,3,0.2407151460647583
HC_GANGA_0049.wav,49,3,0.006641414947807789
HC_PIDIO_0049.wav,49,3,0.044162582606077194
HC_CARMEN_0051.wav,51,2,0.024779435247182846
HC_TOMAS_0051.wav,51,2,0.9868077635765076
HC_SOMBRA_0051.wav,51,2,0.9869095683097839
HC_BURRO_0051.wav,51,2,0.8984879851341248
HC_CALLE_0051.wav,51,2,0.8979275226593018
HC_ABLANDADA_0051.wav,51,2,0.026195978745818138
HC_PERRO_0051.wav,51,2,0.7604942917823792
HC_GANGA_0051.wav,51,2,0.6511823534965515
HC_PIDIO_0051.wav,51,2,0.9999223947525024
HC_BARBAS_0051.wav,51,2,0.8550114631652832
HC_DIABLO_0051.wav,51,2,0.939521849155426
HC_MANGA_0051.wav,51,2,0.02192164957523346
HC_PIDIO_0052.wav,52,1,0.0025127825792878866
HC_MANGA_0052.wav,52,1,0.038195788860321045
HC_PERRO_0052.wav,52,1,0.0012752072652801871
HC_BURRO_0052.wav,52,1,0.047217898070812225
HC_BARBAS_0052.wav,52,1,0.17451652884483337
HC_TOMAS_0052.wav,52,1,0.010326261632144451
HC_GANGA_0052.wav,52,1,0.4869946837425232
HC_CARMEN_0052.wav,52,1,0.9859088063240051
HC_ABLANDADA_0052.wav,52,1,0.8132460117340088
HC_CALLE_0052.wav,52,1,0.01642751507461071
HC_DIABLO_0052.wav,52,1,0.0011147047625854611
HC_SOMBRA_0052.wav,52,1,0.00758772250264883
HC_PERRO_0053.wav,53,0,2.3045837224344723e-05
HC_MANGA_0053.wav,53,0,2.2222562620299868e-05
HC_TOMAS_0053.wav,53,0,1.769384471117519e-05
HC_CALLE_0053.wav,53,0,3.2730004022596404e-05
HC_DIABLO_0053.wav,53,0,2.3347531907802477e-07
HC_ABLANDADA_0053.wav,53,0,8.469103818242729e-08
HC_BARBAS_0053.wav,53,0,1.4523993741022423e-06
HC_BURRO_0053.wav,53,0,2.0215290987835033e-06
HC_SOMBRA_0053.wav,53,0,7.498697868868476e-06
HC_GANGA_0053.wav,53,0,4.4695235601466266e-07
HC_PIDIO_0053.wav,53,0,1.9382918253540993e-05
HC_CARMEN_0053.wav,53,0,2.6247473527973852e-08
HC_SOMBRA_0054.wav,54,4,0.017918435856699944
HC_PERRO_0054.wav,54,4,0.5100520849227905
HC_MANGA_0054.wav,54,4,0.01272301934659481
HC_PIDIO_0054.wav,54,4,0.9862549304962158
HC_BARBAS_0054.wav,54,4,0.6172356009483337
HC_DIABLO_0054.wav,54,4,0.07456808537244797
HC_TOMAS_0054.wav,54,4,0.02106902003288269
HC_GANGA_0054.wav,54,4,0.03865336254239082
HC_CARMEN_0054.wav,54,4,0.6226332187652588
HC_CALLE_0054.wav,54,4,0.20914679765701294
HC_ABLANDADA_0054.wav,54,4,0.5896362066268921
HC_BURRO_0054.wav,54,4,0.4409859776496887
HC_CALLE_0055.wav,55,3,0.00011294537398498505
HC_DIABLO_0055.wav,55,3,0.0003559657488949597
HC_CARMEN_0055.wav,55,3,6.60064906696789e-05
HC_BURRO_0055.wav,55,3,5.235800927039236e-06
HC_MANGA_0055.wav,55,3,0.011993443593382835
HC_GANGA_0055.wav,55,3,0.0013278067344799638
HC_PERRO_0055.wav,55,3,0.00010535951878409833
HC_PIDIO_0055.wav,55,3,0.0007337136776186526
HC_ABLANDADA_0055.wav,55,3,0.0029698123689740896
HC_BARBAS_0055.wav,55,3,3.208095677109668e-06
HC_SOMBRA_0055.wav,55,3,3.6624066979129566e-06
HC_TOMAS_0055.wav,55,3,0.00029100803658366203
HC_BURRO_0056.wav,56,2,0.0035036965273320675
HC_MANGA_0056.wav,56,2,0.11213192343711853
HC_CALLE_0056.wav,56,2,0.24416597187519073
HC_PERRO_0056.wav,56,2,0.32744166254997253
HC_TOMAS_0056.wav,56,2,0.9343513250350952
HC_DIABLO_0056.wav,56,2,0.7386625409126282
HC_BARBAS_0056.wav,56,2,0.6766989231109619
HC_SOMBRA_0056.wav,56,2,0.9111636281013489
HC_GANGA_0056.wav,56,2,0.506637454032898
HC_ABLANDADA_0056.wav,56,2,0.1298142671585083
HC_PIDIO_0056.wav,56,2,0.9915850162506104
HC_CARMEN_0056.wav,56,2,0.8450772166252136
HC_PERRO_0060.wav,60,4,0.00045385578414425254
HC_MANGA_0060.wav,60,4,3.310255181077082e-07
HC_DIABLO_0060.wav,60,4,0.0002657144796103239
