stage,auc_mean,auc_std,auc_oof
0,0.5216356589147286,0.05627049713682972,0.5181963172393795
1,0.5221317829457364,0.055842068715469095,0.5255908365956213
2,0.5384418604651163,0.05586081366194538,0.539654922430042
3,0.538263565891473,0.07871607472077068,0.5389299695519791
4,0.5422480620155039,0.07929099997176124,0.5476294040887342
5,0.5447441860465116,0.06742374166306231,0.5429172103813253
6,0.5305891472868216,0.08162872192000271,0.5332028418152821
7,0.5239689922480621,0.059525059751479155,0.5247208931419458
8,0.5672170542635658,0.06575926727921298,0.5564013339132957
9,0.5266666666666667,0.056989457000766686,0.5260983036102653
10,0.5630387596899225,0.10013940646478671,0.5521966072205307
11,0.5415426356589148,0.08618472871393042,0.5299405538639989
12,0.5563100775193799,0.07036086300355911,0.5476294040887343
13,0.5558992248062016,0.04746636647308371,0.55103668261563
14,0.5618294573643412,0.0585494356597975,0.5541539799913007
15,0.5479767441860465,0.0617207549812622,0.5453095548789328
16,0.5152480620155038,0.04867947703998806,0.5166739161954472
17,0.5161395348837209,0.09790987247677202,0.50645208061476
18,0.5145503875968991,0.08981275583072403,0.5047846889952153
19,0.5122945736434108,0.08879390491823166,0.5058721183123096
20,0.48976744186046506,0.09392326566374663,0.4882557633753806
21,0.48130232558139535,0.08914890662498749,0.479193852399594
22,0.4887751937984496,0.0942400444949974,0.48296360736552124
23,0.4831085271317829,0.07696440254858003,0.47730897491663044
24,0.46835658914728684,0.08535038476654272,0.4698419602725823
25,0.4584496124031007,0.07268186628504723,0.45418297810642305
26,0.4557131782945737,0.09585612704215073,0.4526605770624909
27,0.47544961240310074,0.09435079730636417,0.4746266492677976
28,0.5028139534883721,0.07989934025411276,0.4957952733072351
