id	check	twin_value	verifier_value	agree_4dp
3b_all_cos	original == summary_all value_computed	0.0051	0.0051	yes
3b_conflict_cos	original == summary_all value_computed	-0.0067	-0.0067	yes
3b_agreement_cos	original == summary_all value_computed	0.0086	0.0086	yes
SEED14_3b	original == summary_all value_computed	0.0051	0.0051	yes
3b_conflict_auc_probe	original == summary_all value_computed	0.6145	0.6145	yes
3b_agreement_auc_probe	original == summary_all value_computed	0.9349	0.9349	yes
3b_conflict_auc_wo_d	original == summary_all value_computed	0.6196	0.6196	yes
3b_agreement_auc_wo_d	original == summary_all value_computed	0.9341	0.9341	yes
3a_pitt_enc_best_stage	original == summary_all value_computed	0.8276	0.8276	yes
3a_pitt_llm_best_stage	original == summary_all value_computed	0.8634	0.8634	yes
3a_pitt_ans_best_stage	original == summary_all value_computed	0.8485	0.8485	yes
3a_pcgita_enc_best_stage	original == summary_all value_computed	0.9133	0.9133	yes
3a_pcgita_llm_best_stage	original == summary_all value_computed	0.8960	0.8960	yes
3a_pcgita_ans_best_stage	original == summary_all value_computed	0.8962	0.8962	yes
M3_pitt_speaker	original == summary_all value_computed	0.6771	0.6771	yes
M3_pitt_clip_minus_speaker	original == summary_all value_computed	-0.0193	-0.0193	yes
M3_pcgita_speaker	original == summary_all value_computed	0.5948	0.5948	yes
M3_pcgita_clip_minus_speaker	original == summary_all value_computed	-0.0313	-0.0313	yes
M3_neurovoz_speaker	original == summary_all value_computed	0.7948	0.7948	yes
M3_neurovoz_clip_minus_speaker	original == summary_all value_computed	-0.0997	-0.0997	yes
M7fix#01 Pitt encoder probe mean of 5	original == summary_all value_computed	0.7706	0.7706	yes
M7fix#02 Pitt paired probe minus zero-shot	original == summary_all value_computed	+0.1128	+0.1128	yes
M7_pitt_probe_rep5	original == summary_all value_computed	0.7917	0.7917	yes
M7_pitt_gap_rep5	original == summary_all value_computed	0.1339	0.1339	yes
POD4_4b_resolved	original == summary_all value_computed	468	468	yes
POD4_4b_invwin	original == summary_all value_computed	158	158	yes
POD4_4b_invshare	original == summary_all value_computed	0.0200	0.0200	yes
POD4_4b_parshare	original == summary_all value_computed	0.5871	0.5871	yes
POD4_4b_pardur	original == summary_all value_computed	17.61	17.61	yes
POD4_4b_under10s	original == summary_all value_computed	68	68	yes
M9.FILES	original == summary_all value_computed	307	307	yes
M9.SWEEPMIN	original == summary_all value_computed	0.8662	0.8662	yes
M5_all_auc_without_d	original == summary_all value_computed	0.8327	0.8327	yes
M5_all_auc_without_d_Xproj	original == summary_all value_computed	0.8223	0.8223	yes
M5_conflict_refit_auc_without_d	original == summary_all value_computed	0.6869	0.6869	yes
M5_agreement_refit_auc_without_d	original == summary_all value_computed	0.9346	0.9346	yes
M5_conflict_restricted_auc_without_d	original == summary_all value_computed	0.6326	0.6326	yes
M5_conflict_restricted_auc_without_d_Xproj	original == summary_all value_computed	0.6180	0.6180	yes
M5_agreement_restricted_auc_without_d	original == summary_all value_computed	0.9070	0.9070	yes
M5_agreement_restricted_auc_without_d_Xproj	original == summary_all value_computed	0.8988	0.8988	yes
M5_paired_auc_without_d_conflict_minus_agreement	original == summary_all value_computed	-0.2745	-0.2745	yes
M5_all_randfloor	original == summary_all value_computed	0.0124	0.0124	yes
M5_conflict_refit_randfloor	original == summary_all value_computed	0.0123	0.0123	yes
M5_agreement_refit_randfloor	original == summary_all value_computed	0.0126	0.0126	yes
MEDAIC_full_llm_nested_NOCI	original == summary_all value_computed	0.6853	0.6853	yes
MEDAIC_full_llm_minus_answer_POINT	original == summary_all value_computed	-0.1432	-0.1432	yes
MEDAIC_full_enc_nested_NOCI	original == summary_all value_computed	0.5930	0.5930	yes
MEDAIC_full_enc_minus_answer_POINT	original == summary_all value_computed	-0.2355	-0.2355	yes
MEDAIC_full_ans_nested_NOCI	original == summary_all value_computed	0.7542	0.7542	yes
MEDAIC_full_ans_minus_answer_POINT	original == summary_all value_computed	-0.0743	-0.0743	yes
MEDAIC_full_proj_nested_NOCI	original == summary_all value_computed	0.5293	0.5293	yes
MEDAIC_full_proj_minus_answer_POINT	original == summary_all value_computed	-0.2992	-0.2992	yes
P16.POD2.L5	original == summary_all value_computed	4.13;4.07;4.05;4.03;4.00	4.13;4.07;4.05;4.03;4.00	yes
