id	original	recomputed	match_4dp	file	original_ci	recomputed_ci	ci_match_4dp	kind	audit_item	how	recomputed_full
3b_all_cos	0.0051	0.0051	yes	scores/leftovers_23sep/p16twins/lo-p16twins-1/twin_direction.json				recompute	audit_p16 item 6: POD3 cosines, no twin (ledger LEFT me 5: twin the cosine 0.0051)	Linux pod refit, lm_head rows fetched from the HF hub; cos(probe dir, mass-weighted Yes-No readout dir)	0.0051087573905064685
3b_conflict_cos	-0.0067	-0.0067	yes	scores/leftovers_23sep/p16twins/lo-p16twins-1/twin_direction.json				recompute	audit_p16 item 6: POD3 cosines, no twin	Linux pod refit, lm_head rows fetched from the HF hub; cos(probe dir, mass-weighted Yes-No readout dir)	-0.006677144409980054
3b_agreement_cos	0.0086	0.0086	yes	scores/leftovers_23sep/p16twins/lo-p16twins-1/twin_direction.json				recompute	audit_p16 item 6: POD3 cosines, no twin	Linux pod refit, lm_head rows fetched from the HF hub; cos(probe dir, mass-weighted Yes-No readout dir)	0.008638132128692208
SEED14_3b	0.0051	0.0051	yes	scores/leftovers_23sep/p16twins/lo-p16twins-1/twin_direction.json				recompute	audit_p16 item 6: seed 3b cosine, no twin	same computation as 3b_all_cos	0.0051087573905064685
3b_conflict_auc_probe	0.6145	0.6145	yes	scores/leftovers_23sep/p16twins/lo-p16twins-1/twin_direction.json	[0.5021, 0.7246]	[0.5021, 0.7246]	yes	recompute	audit_p16 item 6: POD3 by arm probe flagged verified though the verifier disagrees (0.6145 vs 0.5520)	Linux pod refit inside the arm (GroupKFold(5) by speaker, sklearn 1.9.1); the Mac verifier split folds with sklearn 1.7.2	0.6145214521452145
3b_agreement_auc_probe	0.9349	0.9349	yes	scores/leftovers_23sep/p16twins/lo-p16twins-1/twin_direction.json	[0.9034, 0.9614]	[0.9034, 0.9614]	yes	recompute	audit_p16 item 6: POD3 by arm probe flagged verified though the verifier disagrees (0.9349 vs 0.9314)	Linux pod refit inside the arm (GroupKFold(5) by speaker, sklearn 1.9.1); the Mac verifier split folds with sklearn 1.7.2	0.9348768747264988
3b_conflict_auc_wo_d	0.6196	0.6196	yes	scores/leftovers_23sep/p16twins/lo-p16twins-1/twin_direction.json	[0.5094, 0.7283]	[0.5094, 0.7283]	yes	recompute	audit_p16 item 6: POD3 by arm without-d, no twin	Linux pod refit, estimator as shipped (held-out projection standardised with the TRAINING fold)	0.6195819581958196
3b_agreement_auc_wo_d	0.9341	0.9341	yes	scores/leftovers_23sep/p16twins/lo-p16twins-1/twin_direction.json	[0.9021, 0.9604]	[0.9021, 0.9604]	yes	recompute	audit_p16 item 6: POD3 by arm without-d, no twin	Linux pod refit, estimator as shipped (held-out projection standardised with the TRAINING fold)	0.9340812348331146
3a_pitt_enc_best_stage	0.8276	0.8276	yes	scores/leftovers_23sep/p16twins/lo-p16twins-2/twin_pitt_enc.json	[0.7765, 0.8760]	[0.7765, 0.8760]	yes	recompute	audit_p16 item 6: POD3 best stage, no twin	Linux pod refit, all 32 stages x 5 repeats; best stage 30 (same as POD3); per repeat [0.8311, 0.8126, 0.8259, 0.8477, 0.8206]	0.8275765207283998
3a_pitt_llm_best_stage	0.8634	0.8634	yes	scores/leftovers_23sep/p16twins/lo-p16twins-3/twin_pitt_llm.json	[0.8179, 0.9062]	[0.8179, 0.9062]	yes	recompute	audit_p16 item 6: POD3 best stage, no twin	Linux pod refit, all 49 stages x 5 repeats; best stage 13 (same as POD3); per repeat [0.8572, 0.8555, 0.8619, 0.8794, 0.8628]	0.8633630375823325
