family	claim	tex_line	value_ci	p	holm_p	survives	m_family	role	id	value	lo	hi	holm_p_full	survives_full	m_family_full	usable_draws	degenerate_draws	n_le0	n_ge0	n_clips	n_spk	term_points	excludes_zero	draws	per_clip	draws_source
GAPS	encoder probe (mean of five) minus zero-shot answer, PC-GITA	149	+0.3306 [+0.2498, +0.4088]	0.0010	0.0070	yes	7	claimed	G_pcgita	+0.3306	+0.2498	+0.4088	0.0090	yes	9	2000	0	0	2000	1100	100	0.8941 0.5635 0.8882 0.8900 0.8926 0.8954 0.9044	True	scores/part25/B/draws/B_G_pcgita_draws.npz	scores/part25/B/per_clip/B_G_pcgita_perclip.csv	Track A saved draws (regenerated here and equal to 1e-9)
GAPS	encoder probe (mean of five) minus zero-shot answer, NeuroVoz	149	+0.2262 [+0.1735, +0.2851]	0.0010	0.0070	yes	7	claimed	G_neurovoz	+0.2262	+0.1735	+0.2851	0.0090	yes	9	2000	0	0	2000	1270	107	0.9213 0.6951 0.9275 0.9154 0.9280 0.9124 0.9232	True	scores/part25/B/draws/B_G_neurovoz_draws.npz	scores/part25/B/per_clip/B_G_neurovoz_perclip.csv	Track A saved draws (regenerated here and equal to 1e-9)
GAPS	encoder probe (mean of five) minus zero-shot answer, ADReSSo	149	+0.2602 [+0.1755, +0.3396]	0.0010	0.0070	yes	7	claimed	G_adresso	+0.2602	+0.1755	+0.3396	0.0090	yes	9	2000	0	0	2000	237	237	0.8752 0.6150 0.8722 0.8665 0.8825 0.8740 0.8810	True	scores/part25/B/draws/B_G_adresso_draws.npz	scores/part25/B/per_clip/B_G_adresso_perclip.csv	Track A saved draws (regenerated here and equal to 1e-9)
GAPS	encoder probe (mean of five) minus zero-shot answer, ADReSS-2020	149	+0.1802 [+0.0766, +0.2805]	0.0010	0.0070	yes	7	claimed	G_adress2020	+0.1802	+0.0766	+0.2805	0.0090	yes	9	2000	0	0	2000	156	156	0.8043 0.6241 0.8161 0.7936 0.8051 0.8062 0.8005	True	scores/part25/B/draws/B_G_adress2020_draws.npz	scores/part25/B/per_clip/B_G_adress2020_perclip.csv	Track A saved draws (regenerated here and equal to 1e-9)
GAPS	encoder probe (mean of five) minus zero-shot answer, Pitt	149	+0.1128 [+0.0455, +0.1768]	0.0030	0.0070	yes	7	claimed	G_pitt	+0.1128	+0.0455	+0.1768	0.0120	yes	9	2000	0	2	1998	468	228	0.7706 0.6578 0.7598 0.7725 0.7459 0.7903 0.7843	True	scores/part25/B/draws/B_G_pitt_draws.npz	scores/part25/B/per_clip/B_G_pitt_perclip.csv	Track A saved draws (regenerated here and equal to 1e-9)
GAPS	language model probe (mean of five) minus zero-shot answer, E-DAIC whole interview	149	-0.0929 [-0.1609, -0.0257]	0.0080	0.0080	yes	7	claimed	G_edaic_llm	-0.0929	-0.1609	-0.0257	0.0240	yes	9	2000	0	1993	7	275	275	0.7437 0.8366 0.7456 0.7438 0.7481 0.7375 0.7436	True	scores/part25/B/draws/B_G_edaic_llm_draws.npz	scores/part25/B/per_clip/B_G_edaic_llm_perclip.csv	regenerated here from the per-clip file
GAPS	encoder probe (mean of five) minus zero-shot answer, E-DAIC whole interview	149	-0.2385 [-0.3244, -0.1505]	0.0010	0.0070	yes	7	claimed	G_edaic_enc	-0.2385	-0.3244	-0.1505	0.0090	yes	9	2000	0	2000	0	275	275	0.5981 0.8366 0.5723 0.6088 0.6083 0.5802 0.6210	True	scores/part25/B/draws/B_G_edaic_enc_draws.npz	scores/part25/B/per_clip/B_G_edaic_enc_perclip.csv	regenerated here from the per-clip file
GAPS	answer-state probe (mean of five) minus zero-shot answer, E-DAIC whole interview	149	-0.0007 [-0.0455, +0.0436]	0.9855			0	sensitivity only	Gs_edaic_ansstate	-0.0007	-0.0455	+0.0436	1.0000	no	9	2000	0	1017	985	275	275	0.8359 0.8366 0.8330 0.8557 0.8235 0.8320 0.8352	False	scores/part25/B/draws/B_Gs_edaic_ansstate_draws.npz	scores/part25/B/per_clip/B_Gs_edaic_ansstate_perclip.csv	regenerated here from the per-clip file
GAPS	encoder probe (single nested split, stand-in) minus zero-shot answer, MDVR-KCL	149	+0.0625 [-0.1813, +0.2900]	0.6087			0	sensitivity only	Gs_kcl_single	+0.0625	-0.1813	+0.2900	1.0000	no	9	2000	0	608	1412	37	37	0.7768 0.7143	False	scores/part25/B/draws/B_Gs_kcl_single_draws.npz	scores/part25/B/per_clip/B_Gs_kcl_single_perclip.csv	regenerated here from the per-clip file
ARMS	conflict minus agreement arm AUC, E-DAIC, Qwen2-Audio	180	-0.7328 [-0.7780, -0.6837]	0.0010	0.0090	yes	9	claimed	R_edaic_q2a	-0.7328	-0.7780	-0.6837	0.0120	yes	12	2000	0	2000	0	794	138	0.2280 0.9608	True	scores/part25/B/draws/B_R_edaic_q2a_draws.npz	scores/part25/B/per_clip/B_R_edaic_q2a_perclip.csv	regenerated here from the per-clip file
ARMS	conflict minus agreement arm AUC, E-DAIC, Qwen2.5-Omni	180	-0.7429 [-0.7869, -0.6944]	0.0010	0.0090	yes	9	claimed	R_edaic_o25	-0.7429	-0.7869	-0.6944	0.0120	yes	12	2000	0	2000	0	794	138	0.2218 0.9647	True	scores/part25/B/draws/B_R_edaic_o25_draws.npz	scores/part25/B/per_clip/B_R_edaic_o25_perclip.csv	regenerated here from the per-clip file
ARMS	conflict minus agreement arm AUC, E-DAIC, Qwen3-Omni	180	-0.6719 [-0.7266, -0.6105]	0.0010	0.0090	yes	9	claimed	R_edaic_q3o	-0.6719	-0.7266	-0.6105	0.0120	yes	12	2000	0	2000	0	794	138	0.3008 0.9727	True	scores/part25/B/draws/B_R_edaic_q3o_draws.npz	scores/part25/B/per_clip/B_R_edaic_q3o_perclip.csv	regenerated here from the per-clip file
ARMS	conflict minus agreement arm AUC, E-DAIC, Audio Flamingo 2	180	-0.1011 [-0.1647, -0.0384]	0.0040	0.0090	yes	9	claimed	R_edaic_af2	-0.1011	-0.1647	-0.0384	0.0200	yes	12	2000	0	1997	3	794	138	0.5286 0.6297	True	scores/part25/B/draws/B_R_edaic_af2_draws.npz	scores/part25/B/per_clip/B_R_edaic_af2_perclip.csv	regenerated here from the per-clip file
ARMS	conflict minus agreement arm AUC, E-DAIC, Audio Flamingo 3	180	-0.4190 [-0.4878, -0.3461]	0.0010	0.0090	yes	9	claimed	R_edaic_af3	-0.4190	-0.4878	-0.3461	0.0120	yes	12	2000	0	2000	0	794	138	0.4235 0.8425	True	scores/part25/B/draws/B_R_edaic_af3_draws.npz	scores/part25/B/per_clip/B_R_edaic_af3_perclip.csv	regenerated here from the per-clip file
