275 pids, 275 to fetch, workers 6
10/275 20s 3.82 GB 193.6 MB/s fails 0
20/275 33s 7.73 GB 233.8 MB/s fails 0
30/275 48s 11.17 GB 233.8 MB/s fails 0
40/275 59s 14.75 GB 249.9 MB/s fails 0
50/275 74s 18.97 GB 255.1 MB/s fails 0
60/275 85s 22.04 GB 260.8 MB/s fails 0
70/275 105s 27.11 GB 257.6 MB/s fails 0
80/275 121s 32.01 GB 265.0 MB/s fails 0
90/275 136s 36.20 GB 266.1 MB/s fails 0
100/275 149s 39.97 GB 267.6 MB/s fails 0
110/275 167s 44.59 GB 266.8 MB/s fails 0
120/275 180s 48.68 GB 270.2 MB/s fails 0
130/275 196s 52.74 GB 269.0 MB/s fails 0
140/275 213s 57.09 GB 268.2 MB/s fails 0
150/275 231s 61.83 GB 268.0 MB/s fails 0
160/275 242s 65.80 GB 272.3 MB/s fails 0
170/275 257s 70.19 GB 273.4 MB/s fails 0
180/275 271s 74.03 GB 273.4 MB/s fails 0
190/275 284s 77.87 GB 274.5 MB/s fails 0
200/275 299s 81.89 GB 274.2 MB/s fails 0
210/275 315s 86.36 GB 274.4 MB/s fails 0
220/275 337s 90.97 GB 270.1 MB/s fails 0
230/275 347s 94.79 GB 272.8 MB/s fails 0
240/275 366s 98.89 GB 269.9 MB/s fails 0
250/275 386s 103.14 GB 267.3 MB/s fails 0
260/275 398s 107.25 GB 269.3 MB/s fails 0
270/275 411s 111.14 GB 270.4 MB/s fails 0
FETCH_DONE ok 275 fails 0 wav_on_disk 275 419s 113.48 GB
