clip,speaker,probe_r0,probe_r1,probe_r2,probe_r3,probe_r4,zeroshot
adrso002.wav,adrso002,3.3253018045797944e-05,0.0004465132369659,1.550841989228502e-05,4.724955579149537e-05,4.5876244257669896e-05,0.43820352045959
adrso003.wav,adrso003,0.0001621390110813,0.0204108897596597,1.807331864256412e-05,0.0009214705205522,0.0001703557791188,0.4536446494312959
adrso004.wav,adrso004,0.1598889529705047,0.044195644557476,0.0999107658863067,0.2718079686164856,0.0119256759062409,0.6795159159221241
adrso005.wav,adrso005,0.5025107264518738,0.8033085465431213,0.7784107327461243,0.9935957789421082,0.4337263703346252,0.6080074010363428
adrso006.wav,adrso006,0.6843648552894592,0.3074978291988373,0.7365981340408325,0.2378595173358917,0.3012290298938751,0.7555872407465714
adrso007.wav,adrso007,0.0003664435062091,0.0007652054773643,0.0118742724880576,0.0005168466595932,0.0001834529684856,0.222968313897929
adrso008.wav,adrso008,0.0014271450927481,0.0007111459271982,0.0308435037732124,0.002003479283303,0.0002330198476556,0.5471450550863853
adrso009.wav,adrso009,0.0003905571356881,7.649972758372314e-06,2.8584594474523328e-05,0.0001261759607587,7.128148808988044e-06,0.4077586874296637
adrso010.wav,adrso010,0.0509403124451637,0.019764270633459,0.4962889850139618,0.0166901797056198,0.0029395809397101,0.2339431155294666
adrso011.wav,adrso011,1.4417881175177172e-05,2.317119424333214e-06,0.0007179257227107,9.118279558606446e-05,1.3189574929128868e-05,0.5159575627016644
adrso012.wav,adrso012,9.922187018673868e-05,6.0970819504291285e-06,0.0048052719794213,0.000824608199764,3.783422289416194e-05,0.3632558896863459
adrso013.wav,adrso013,4.057691967318533e-06,0.0008723002392798,0.0003823103033937,4.5735894673271105e-05,5.449881882668706e-06,0.3212236654162407
adrso014.wav,adrso014,0.0367791689932346,0.0123049933463335,0.0001698353153187,0.0661414340138435,0.00441007129848,0.438227172803701
adrso015.wav,adrso015,0.0625985562801361,0.2754055559635162,0.2654861807823181,0.1349872499704361,0.2751994132995605,0.2572044818331823
adrso016.wav,adrso016,0.356676697731018,0.0044572935439646,0.1304561644792556,0.0200102888047695,0.0142721822485327,0.4692432032176046
