id	claimed	recomputed	verified
B_paper_line	All 24 differences survive Holm correction within their family (23 of 23 if six gaps).	24 of 24 survive, from my redrawn draws and from B's saved draws alike; families GAPS m=[7], ARMS m=[9], FINE TUNE m=[6], CONTROLS m=[2]; dropping any one of the 7 gaps (m=6) leaves 6 of 6 gap survivors, so 23 of 23; smallest p 0.001000 = 2/2001	yes
B_claim_list_vs_tex	24 claimed differences in the tex, not 23 (7 gaps incl. 2 E-DAIC reversals; 9 arms; 5 fine-tune + LoRA; 2 channel drops); 0 mismatches; tex sha 6c886f35	my own line-by-line read of the non-comment tex gives 24 (5 positive gaps l.149/l.52, 2 E-DAIC reversals l.149, 6 E-DAIC arms + 3 Qwen Pitt arms l.180, 5 fine-tune gains l.226 (l.26/l.53/l.244 restate), LoRA minus projector l.226, 2 channel drops l.149); all quoted phrases present: True; Table 1 (7 rows x zero-shot audio, fine-tuned), all 24 Table 2 cells, 7 printed intervals and the single values behind them: 0 mismatches; tex sha256 now 6c886f35...; other differences in the tex (l.149 eGeMAPS margins, l.180 '0.39 below the agreement arm', l.226 E-DAIC pair retrain 0.22 to 0.59) carry no interval and no significance word, so not counted	yes
G_pcgita	+0.3306 [0.2498, 0.4088]; n 1100 clips, 100 speakers; p 0.0010, Holm 0.0070 (m=7), survives	+0.3306 [0.2498, 0.4088]; 1100 clips, 100 speakers, 2000 of 2000 draws; p 0.0010 (le0 0, ge0 2000), Holm 0.0070 (m=7), survives; my draws equal B's saved draws exactly (max diff 0e+00); per-clip rebuild vs B csv max diff 1e-16; B draws byte-equal to Track A A_pcgita_draws.npz: True	yes
G_neurovoz	+0.2262 [0.1735, 0.2851]; n 1270 clips, 107 speakers; p 0.0010, Holm 0.0070 (m=7), survives	+0.2262 [0.1735, 0.2851]; 1270 clips, 107 speakers, 2000 of 2000 draws; p 0.0010 (le0 0, ge0 2000), Holm 0.0070 (m=7), survives; my draws equal B's saved draws exactly (max diff 0e+00); per-clip rebuild vs B csv max diff 1e-16; B draws byte-equal to Track A A_neurovoz_draws.npz: True	yes
G_adresso	+0.2602 [0.1755, 0.3396]; n 237 clips, 237 speakers; p 0.0010, Holm 0.0070 (m=7), survives	+0.2602 [0.1755, 0.3396]; 237 clips, 237 speakers, 2000 of 2000 draws; p 0.0010 (le0 0, ge0 2000), Holm 0.0070 (m=7), survives; my draws equal B's saved draws exactly (max diff 0e+00); per-clip rebuild vs B csv max diff 1e-16; B draws byte-equal to Track A A_adresso_draws.npz: True	yes
G_adress2020	+0.1802 [0.0766, 0.2805]; n 156 clips, 156 speakers; p 0.0010, Holm 0.0070 (m=7), survives	+0.1802 [0.0766, 0.2805]; 156 clips, 156 speakers, 2000 of 2000 draws; p 0.0010 (le0 0, ge0 2000), Holm 0.0070 (m=7), survives; my draws equal B's saved draws exactly (max diff 0e+00); per-clip rebuild vs B csv max diff 1e-16; B draws byte-equal to Track A A_adress2020_draws.npz: True	yes
G_pitt	+0.1128 [0.0455, 0.1768]; n 468 clips, 228 speakers; p 0.0030, Holm 0.0070 (m=7), survives	+0.1128 [0.0455, 0.1768]; 468 clips, 228 speakers, 2000 of 2000 draws; p 0.0030 (le0 2, ge0 1998), Holm 0.0070 (m=7), survives; my draws equal B's saved draws exactly (max diff 0e+00); per-clip rebuild vs B csv max diff 1e-16; B draws byte-equal to Track A A_pitt_draws.npz: True	yes
G_edaic_llm	-0.0929 [-0.1609, -0.0257]; n 275 clips, 275 speakers; p 0.0080, Holm 0.0080 (m=7), survives	-0.0929 [-0.1609, -0.0257]; 275 clips, 275 speakers, 2000 of 2000 draws; p 0.0080 (le0 1993, ge0 7), Holm 0.0080 (m=7), survives; my draws equal B's saved draws exactly (max diff 0e+00); per-clip rebuild vs B csv max diff 1e-16; no Track A E-DAIC npz exists, draws redrawn here from the part23 A3/A2 per-clip files and equal to B's saved npz	yes
G_edaic_enc	-0.2385 [-0.3244, -0.1505]; n 275 clips, 275 speakers; p 0.0010, Holm 0.0070 (m=7), survives	-0.2385 [-0.3244, -0.1505]; 275 clips, 275 speakers, 2000 of 2000 draws; p 0.0010 (le0 2000, ge0 0), Holm 0.0070 (m=7), survives; my draws equal B's saved draws exactly (max diff 0e+00); per-clip rebuild vs B csv max diff 1e-16; no Track A E-DAIC npz exists, draws redrawn here from the part23 A3/A2 per-clip files and equal to B's saved npz	yes
R_edaic_q2a	-0.7328 [-0.7780, -0.6837]; n 794 clips, 138 speakers; p 0.0010, Holm 0.0090 (m=9), survives	-0.7328 [-0.7780, -0.6837]; 794 clips, 138 speakers, 2000 of 2000 draws; p 0.0010 (le0 2000, ge0 0), Holm 0.0090 (m=9), survives; my draws equal B's saved draws exactly (max diff 0e+00); per-clip rebuild vs B csv max diff 1e-16; 483 conflict + 311 distinct agreement rebuilt from the part14 per-model files (T1 file matches to 1e-16); equals part17 T1 supplementary -0.7328 [-0.7780, -0.6837]: True; arms 0.2280/0.9608	yes
R_edaic_o25	-0.7429 [-0.7869, -0.6944]; n 794 clips, 138 speakers; p 0.0010, Holm 0.0090 (m=9), survives	-0.7429 [-0.7869, -0.6944]; 794 clips, 138 speakers, 2000 of 2000 draws; p 0.0010 (le0 2000, ge0 0), Holm 0.0090 (m=9), survives; my draws equal B's saved draws exactly (max diff 0e+00); per-clip rebuild vs B csv max diff 1e-16; 483 conflict + 311 distinct agreement rebuilt from the part14 per-model files (T1 file matches to 1e-16); arms 0.2218/0.9647	yes
R_edaic_q3o	-0.6719 [-0.7266, -0.6105]; n 794 clips, 138 speakers; p 0.0010, Holm 0.0090 (m=9), survives	-0.6719 [-0.7266, -0.6105]; 794 clips, 138 speakers, 2000 of 2000 draws; p 0.0010 (le0 2000, ge0 0), Holm 0.0090 (m=9), survives; my draws equal B's saved draws exactly (max diff 0e+00); per-clip rebuild vs B csv max diff 1e-16; 483 conflict + 311 distinct agreement rebuilt from the part14 per-model files (T1 file matches to 1e-16); arms 0.3008/0.9727	yes
R_edaic_af2	-0.1011 [-0.1647, -0.0384]; n 794 clips, 138 speakers; p 0.0040, Holm 0.0090 (m=9), survives	-0.1011 [-0.1647, -0.0384]; 794 clips, 138 speakers, 2000 of 2000 draws; p 0.0040 (le0 1997, ge0 3), Holm 0.0090 (m=9), survives; my draws equal B's saved draws exactly (max diff 0e+00); per-clip rebuild vs B csv max diff 6e-17; 483 conflict + 311 distinct agreement rebuilt from the part14 per-model files (T1 file matches to 6e-17); arms 0.5286/0.6297	yes
