id	claimed	recomputed	verified
C_q2a_pcgita	probe 0.9097 vs answer 0.5369, diff +0.3728 [+0.3104, +0.4271], n 1100 clips, 100 speakers, rows 72/73	probe 0.9097 vs answer 0.5369, diff +0.3728 [+0.3104, +0.4271]; n 1100 clips, 100 speakers; per-repeat [0.9242, 0.9, 0.9011, 0.9041, 0.9191] (orig [0.9242, 0.9, 0.9011, 0.9041, 0.9191]); draws vs track maxabs 0.0; track perclip maxabs 4.9993675865778187e-11; master rows 72/73	yes
C_q2a_neurovoz	probe 0.9324 vs answer 0.5519, diff +0.3805 [+0.3278, +0.4325], n 1270 clips, 107 speakers, rows 68/69	probe 0.9324 vs answer 0.5519, diff +0.3805 [+0.3278, +0.4325]; n 1270 clips, 107 speakers; per-repeat [0.931, 0.9296, 0.9283, 0.9386, 0.9346] (orig [0.931, 0.9296, 0.9283, 0.9386, 0.9346]); draws vs track maxabs 0.0; track perclip maxabs 4.9920179101548e-11; master rows 68/69	yes
C_q2a_kcl	probe 0.7714 vs answer 0.5923, diff +0.1791 [-0.0503, +0.4305], n 37, rows 64/65	probe 0.7714 vs answer 0.5923, diff +0.1792 [-0.0503, +0.4305]; n 37 clips, 37 speakers; per-repeat [0.8065, 0.8095, 0.6786, 0.7679, 0.7946] (orig [0.8065, 0.8095, 0.6786, 0.7679, 0.7946]); draws vs track maxabs 0.0; track perclip maxabs 4.961342447984407e-11; master rows 64/65; note: claimed diff +0.1791 is master 4dp probe minus master 4dp answer; unrounded diff 0.179167 rounds to +0.1792	yes
C_q2a_edaic	probe 0.5673 vs answer 0.6464, diff -0.0791 [-0.1664, +0.0120], n 275, rows 52/54	probe 0.5673 vs answer 0.6464, diff -0.0791 [-0.1664, +0.0120]; n 275 clips, 275 speakers; per-repeat [0.513, 0.6021, 0.5555, 0.5558, 0.6098] (orig [0.513, 0.6021, 0.5555, 0.5558, 0.6098]); draws vs track maxabs 0.0; track perclip maxabs 4.990641233604265e-11; master rows 52/54	yes
C_q2a_pitt	probe 0.7846 vs answer 0.6173, diff +0.1673 [+0.0944, +0.2432], n 468 clips, 228 speakers, rows 76/78	probe 0.7846 vs answer 0.6173, diff +0.1673 [+0.0944, +0.2432]; n 468 clips, 228 speakers; per-repeat [0.7689, 0.7881, 0.7695, 0.8084, 0.7883] (orig [0.7689, 0.7881, 0.7695, 0.8084, 0.7883]); draws vs track maxabs 0.0; track perclip maxabs 4.988387480864276e-11; master rows 76/78	yes
C_q2a_adresso	probe 0.8537 vs answer 0.6649, diff +0.1888 [+0.1154, +0.2682], n 237, rows 46/48	probe 0.8537 vs answer 0.6649, diff +0.1888 [+0.1154, +0.2682]; n 237 clips, 237 speakers; per-repeat [0.8629, 0.8388, 0.8548, 0.8546, 0.8572] (orig [0.8629, 0.8388, 0.8548, 0.8546, 0.8572]); draws vs track maxabs 0.0; track perclip maxabs 4.989664237342595e-11; master rows 46/48	yes
C_q2a_adress2020	probe 0.8315 vs answer 0.6824, diff +0.1491 [+0.0640, +0.2368], n 156, rows 41/43	probe 0.8315 vs answer 0.6824, diff +0.1491 [+0.0640, +0.2368]; n 156 clips, 156 speakers; per-repeat [0.8149, 0.82, 0.8284, 0.8659, 0.8284] (orig [0.8149, 0.82, 0.8284, 0.8659, 0.8284]); draws vs track maxabs 0.0; track perclip maxabs 4.9928283729627765e-11; master rows 41/43	yes
C_q3o_pcgita	probe 0.8969 vs answer 0.5967, diff +0.3002 [+0.2298, +0.3695], n 1100 clips, 100 speakers, rows 169/172	probe 0.8969 vs answer 0.5967, diff +0.3002 [+0.2298, +0.3695]; n 1100 clips, 100 speakers; per-repeat [0.9223, 0.8697, 0.8742, 0.8988, 0.9196] (orig [0.9223, 0.8697, 0.8742, 0.8988, 0.9196]); draws vs track maxabs 0.0; track perclip maxabs 4.997713354271127e-11; master rows 169/172	yes
C_q3o_neurovoz	probe 0.9372 vs answer 0.6393, diff +0.2979 [+0.2360, +0.3578], n 1270 clips, 107 speakers, rows 163/166	probe 0.9372 vs answer 0.6393, diff +0.2980 [+0.2360, +0.3578]; n 1270 clips, 107 speakers; per-repeat [0.9329, 0.937, 0.9414, 0.9372, 0.9377] (orig [0.9329, 0.937, 0.9414, 0.9372, 0.9377]); draws vs track maxabs 0.0; track perclip maxabs 4.9999782092413625e-11; master rows 163/166; note: claimed diff +0.2979 is master 4dp probe minus master 4dp answer; unrounded diff 0.297974 rounds to +0.2980	yes
C_q3o_kcl	probe 0.7661 vs answer 0.7738, diff -0.0077 [-0.1618, +0.1385], n 37, rows 157/160	probe 0.7661 vs answer 0.7738, diff -0.0077 [-0.1618, +0.1385]; n 37 clips, 37 speakers; per-repeat [0.7946, 0.8512, 0.6815, 0.7351, 0.7679] (orig [0.7946, 0.8512, 0.6815, 0.7351, 0.7679]); draws vs track maxabs 0.0; track perclip maxabs 4.9020010273181924e-11; master rows 157/160	yes
C_q3o_edaic	probe 0.5828 vs answer 0.6290, diff -0.0462 [-0.1412, +0.0527], n 275, rows 144/147	probe 0.5828 vs answer 0.6290, diff -0.0462 [-0.1412, +0.0527]; n 275 clips, 275 speakers; per-repeat [0.538, 0.6103, 0.5941, 0.6149, 0.5567] (orig [0.538, 0.6103, 0.5941, 0.6149, 0.5567]); draws vs track maxabs 0.0; track perclip maxabs 4.9835247040164177e-11; master rows 144/147	yes
C_q3o_pitt	probe 0.8122 vs answer 0.7619, diff +0.0503 [-0.0087, +0.1095], n 468 clips, 228 speakers, rows 175/178	probe 0.8122 vs answer 0.7619, diff +0.0503 [-0.0087, +0.1095]; n 468 clips, 228 speakers; per-repeat [0.8199, 0.8016, 0.8142, 0.8342, 0.7914] (orig [0.8199, 0.8016, 0.8142, 0.8342, 0.7914]); draws vs track maxabs 0.0; track perclip maxabs 4.99237318152268e-11; master rows 175/178; padded answer-file ids [-0.0058, +0.1108]	yes
C_q3o_adresso	probe 0.8750 vs answer 0.7774, diff +0.0976 [+0.0362, +0.1616], n 237, rows 137/140	probe 0.8750 vs answer 0.7774, diff +0.0976 [+0.0362, +0.1616]; n 237 clips, 237 speakers; per-repeat [0.8758, 0.8657, 0.8778, 0.8721, 0.8835] (orig [0.8758, 0.8657, 0.8778, 0.8721, 0.8835]); draws vs track maxabs 0.0; track perclip maxabs 4.9923010170260795e-11; master rows 137/140	yes
C_q3o_adress2020	probe 0.8445 vs answer 0.7097, diff +0.1348 [+0.0417, +0.2335], n 156, rows 131/134	probe 0.8445 vs answer 0.7097, diff +0.1348 [+0.0417, +0.2335]; n 156 clips, 156 speakers; per-repeat [0.8337, 0.8555, 0.8458, 0.8401, 0.8475] (orig [0.8337, 0.8555, 0.8458, 0.8401, 0.8475]); draws vs track maxabs 0.0; track perclip maxabs 4.9454468298293364e-11; master rows 131/134	yes
C_kimi_pcgita	probe 0.8715 vs answer 0.6147, diff +0.2568 [+0.1839, +0.3284], n 1100 clips, 100 speakers, rows 33/35	probe 0.8715 vs answer 0.6147, diff +0.2568 [+0.1839, +0.3284]; n 1100 clips, 100 speakers; per-repeat [0.8664, 0.8698, 0.8752, 0.8702, 0.8762] (orig [0.8664, 0.8698, 0.8752, 0.8702, 0.8762]); draws vs track maxabs 0.0; track perclip maxabs 4.991429491951749e-11; master rows 33/35	yes
C_kimi_neurovoz	probe 0.9334 vs answer 0.6204, diff +0.3130 [+0.2556, +0.3681], n 1270 clips, 107 speakers, rows 30/32	probe 0.9334 vs answer 0.6204, diff +0.3129 [+0.2556, +0.3681]; n 1270 clips, 107 speakers; per-repeat [0.9354, 0.9192, 0.9397, 0.9334, 0.9391] (orig [0.9354, 0.9192, 0.9397, 0.9334, 0.9391]); draws vs track maxabs 0.0; track perclip maxabs 4.999961555895993e-11; master rows 30/32; note: claimed diff +0.3130 is master 4dp probe minus master 4dp answer; unrounded diff 0.312943 rounds to +0.3129	yes
C_kimi_kcl	probe 0.7310 vs answer 0.7113, diff +0.0197 [-0.1643, +0.2141], n 37, rows 27/29	probe 0.7310 vs answer 0.7113, diff +0.0196 [-0.1643, +0.2141]; n 37 clips, 37 speakers; per-repeat [0.75, 0.6339, 0.756, 0.6815, 0.8333] (orig [0.75, 0.6339, 0.756, 0.6815, 0.8333]); draws vs track maxabs 0.0; track perclip maxabs 4.5419723537776235e-11; master rows 27/29; note: claimed diff +0.0197 is master 4dp probe minus master 4dp answer; unrounded diff 0.019643 rounds to +0.0196	yes
C_kimi_edaic	probe 0.4840 vs answer 0.6293, diff -0.1453 [-0.2334, -0.0454], n 275, rows 23/25	probe 0.4840 vs answer 0.6293, diff -0.1453 [-0.2334, -0.0454]; n 275 clips, 275 speakers; per-repeat [0.4632, 0.4954, 0.4891, 0.4987, 0.4735] (orig [0.4632, 0.4954, 0.4891, 0.4987, 0.4735]); draws vs track maxabs 0.0; track perclip maxabs 4.973932377083656e-11; master rows 23/25	yes
C_kimi_pitt	probe 0.8374 vs answer 0.7180, diff +0.1194 [+0.0587, +0.1788], n 468 clips, 228 speakers, rows 36/38	probe 0.8374 vs answer 0.7180, diff +0.1194 [+0.0587, +0.1788]; n 468 clips, 228 speakers; per-repeat [0.8498, 0.8383, 0.8412, 0.8268, 0.831] (orig [0.8498, 0.8383, 0.8412, 0.8268, 0.831]); draws vs track maxabs 0.0; track perclip maxabs 4.998190750171716e-11; master rows 36/38	yes
C_kimi_adresso	probe 0.8993 vs answer 0.7531, diff +0.1462 [+0.0821, +0.2096], n 237, rows 20/22	probe 0.8993 vs answer 0.7531, diff +0.1462 [+0.0821, +0.2096]; n 237 clips, 237 speakers; per-repeat [0.8897, 0.9029, 0.8932, 0.9145, 0.8964] (orig [0.8897, 0.9029, 0.8932, 0.9145, 0.8964]); draws vs track maxabs 0.0; track perclip maxabs 4.973621514636761e-11; master rows 20/22	yes
C_kimi_adress2020	probe 0.9200 vs answer 0.7053, diff +0.2147 [+0.1331, +0.3032], n 156, rows 17/19	probe 0.9200 vs answer 0.7053, diff +0.2147 [+0.1331, +0.3032]; n 156 clips, 156 speakers; per-repeat [0.9181, 0.9135, 0.9221, 0.9247, 0.9214] (orig [0.9181, 0.9135, 0.9221, 0.9247, 0.9214]); draws vs track maxabs 0.0; track perclip maxabs 4.948219611833338e-11; master rows 17/19	yes
C_count_18_PDAD	Qwen 12: 11 above, 9 of 11 exclude 0; Kimi LM 6: 6 above, 5 exclude 0; all 18: 17 above, 14 of 17 exclude 0; only q3o KCL below; above-but-includes-0: q2a KCL, q3o Pitt, Kimi KCL	Qwen 12: 11 above, 9 exclude 0; Kimi LM 6: 6 above, 5 exclude 0; all 18: 17 above, 14 exclude 0; below: ['C_q3o_kcl']; above but include 0: ['C_q2a_kcl', 'C_q3o_pitt', 'C_kimi_kcl']	yes
C_edaic_summary	answer beats probe for all three; q2a -0.0791 [-0.1664, +0.0120]; q3o -0.0462 [-0.1412, +0.0527]; Kimi LM -0.1453 [-0.2334, -0.0454] only one excluding 0; Kimi PART 26 enc -0.0469 [-0.1393, +0.0533]	q2a -0.0791 [-0.1664, +0.0120]; q3o -0.0462 [-0.1412, +0.0527]; Kimi LM -0.1453 [-0.2334, -0.0454]; Kimi PART 26 enc -0.0469 [-0.1393, +0.0533]	yes
C_kimi_encoder_part26_supplement	PC-GITA 0.8768 +0.2621 [+0.1810, +0.3364]; NeuroVoz 0.9319 +0.3115 [+0.2515, +0.3674]; KCL 0.7631 +0.0518 [-0.1637, +0.2901]; E-DAIC 0.5823 -0.0469 [-0.1393, +0.0533]; Pitt 0.8112 +0.0932 [+0.0331, +0.1547]; ADReSSo 0.8682 +0.1151 [+0.0481, +0.1831]; ADReSS-2020 NOT LANDED; 5 of 5 above, 4 exclude 0	pcgita 0.8768, +0.2621 [+0.1810, +0.3364]; neurovoz 0.9319, +0.3115 [+0.2515, +0.3674]; kcl 0.7631, +0.0518 [-0.1637, +0.2901]; edaic 0.5823, -0.0469 [-0.1393, +0.0533]; pitt 0.8112, +0.0932 [+0.0331, +0.1547]; adresso 0.8682, +0.1151 [+0.0481, +0.1831]; adress2020 NOT LANDED (perclip found 0, sidecar found 0 at 2026-09-24T03:42:26Z); PD/AD landed: 5 of 5 above, 4 exclude 0	yes
C_kimi_enc_adress2020_part26_addendum	not claimed (track C: NOT LANDED as of 03:17Z)	LANDED 03:42Z (after the track C note): Kimi PART 26 encoder 0.8881 vs answer 0.7053 (row 19), diff +0.1829 [+0.0879, +0.2738], n 156 clips, 156 speakers; per-repeat [0.8887, 0.8902, 0.8771, 0.8974, 0.8874] equal the PART 26 sidecar; my interval equals the PART 26 interval exactly; with it the Kimi PART 26 encoder is above the answer in 6 of 6 PD/AD cells and 5 of 6 exclude 0. Caveat from the PART 26 sidecar: its fold files are UNVERIFIED against release/folds.	yes
