stage,auc_mean,per_repeat
0,0.881510,0.887162|0.879248|0.878468|0.864430|0.898243
1,0.883154,0.884461|0.874243|0.880936|0.872983|0.903149
2,0.883071,0.882127|0.873476|0.883782|0.873182|0.902788
3,0.878955,0.880306|0.866458|0.881502|0.868203|0.898304
4,0.867481,0.870187|0.854147|0.871603|0.854792|0.886678
5,0.870922,0.872825|0.858281|0.872904|0.861663|0.888937
6,0.873300,0.875407|0.862564|0.873871|0.861757|0.892901
7,0.878282,0.884540|0.869393|0.877094|0.863499|0.896881
8,0.886139,0.889084|0.879021|0.885560|0.871722|0.905307
9,0.884491,0.887251|0.877874|0.883982|0.869091|0.904255
10,0.885459,0.886969|0.879483|0.887932|0.868798|0.904114
11,0.884664,0.885939|0.878851|0.885198|0.868975|0.904359
12,0.886995,0.886613|0.875621|0.890281|0.873788|0.908671
13,0.891272,0.890797|0.881068|0.896013|0.877716|0.910767
14,0.896082,0.894965|0.888830|0.900098|0.880112|0.916405
15,0.889778,0.886979|0.882977|0.895607|0.872957|0.910372
16,0.888915,0.886552|0.881772|0.894154|0.873785|0.908312
17,0.887899,0.887555|0.879655|0.893767|0.870785|0.907732
18,0.888981,0.888630|0.882906|0.894263|0.873098|0.906010
19,0.892450,0.891610|0.887147|0.897255|0.878435|0.907803
20,0.888895,0.887299|0.885192|0.893883|0.873334|0.904769
21,0.885640,0.884668|0.882519|0.890797|0.868876|0.901339
22,0.883769,0.883331|0.878617|0.888539|0.867633|0.900726
23,0.880596,0.878269|0.877408|0.886466|0.863031|0.897803
24,0.882867,0.880979|0.879230|0.890172|0.865132|0.898821
25,0.879910,0.878534|0.877064|0.885779|0.862460|0.895712
26,0.883722,0.881871|0.883170|0.889012|0.867660|0.896896
27,0.880760,0.880952|0.880193|0.885988|0.863537|0.893131
28,0.876130,0.876957|0.873626|0.881602|0.858587|0.889878
29,0.872439,0.871841|0.867655|0.879944|0.856975|0.885779
30,0.877866,0.878119|0.871635|0.885312|0.862256|0.892008
31,0.880606,0.882298|0.876071|0.889021|0.862679|0.892959
32,0.877158,0.877476|0.876221|0.887658|0.856079|0.888357
33,0.873928,0.871603|0.870279|0.887564|0.853782|0.886412
34,0.871830,0.871068|0.867590|0.885383|0.851136|0.883975
35,0.875816,0.873980|0.871980|0.888812|0.857588|0.886719
36,0.870145,0.866552|0.868410|0.881615|0.854104|0.880045
37,0.869521,0.862038|0.868388|0.881874|0.854701|0.880605
38,0.869337,0.861762|0.865205|0.882860|0.856893|0.879965
39,0.872606,0.866218|0.869316|0.882418|0.859613|0.885464
40,0.869207,0.861203|0.866050|0.878980|0.857646|0.882157
41,0.871364,0.868861|0.868448|0.878557|0.858210|0.882744
42,0.865324,0.862451|0.861815|0.869147|0.853610|0.879598
43,0.860387,0.857545|0.853218|0.870425|0.846339|0.874410
44,0.853959,0.852387|0.850992|0.865830|0.835544|0.865043
45,0.856756,0.855089|0.852068|0.863367|0.844555|0.868701
46,0.852256,0.849152|0.848314|0.859278|0.840833|0.863701
47,0.848722,0.841803|0.845519|0.851783|0.840322|0.864180
48,0.850575,0.846410|0.846560|0.855815|0.836421|0.867668
