pid,win_dur_s,capped,audio_tok_expected_from_formula,audio_tok_observed,seq_len,fit_in_32k,wave_samples,audio_tok_formula_on_nsamples_floor160,mel_frames_cover_whole_wave,src_dur_s,stitched_s_rebuilt,d_stitch_s,win_s_rebuilt,d_win_s,feat_frames_formula,feat_frames_observed,proj_positions,enc_positions,audio_tok_part22_lifted,seq_len_part22_lifted,agree_part22,cut_wav_sha256_first1MB
300,759.8001,0,18995,18995,19043,1,12156801,18995,1,759.8001,759.8001,0.0,759.8001,-0.0,75980,75980,18995,37990,18995,19043,1,4e04c3a0c95a6834eb5f04626e37b3a3470a280e724415d3a2156d0f9674bb66
301,900.0,1,22500,22500,22548,1,14400000,22500,1,1321.6999,1321.6999,0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,e6920f010ab2228d8d0cc161125ac4654ad918c2b1d5691d308ad6b0e2ee3e30
302,900.0001,1,22500,22500,22548,1,14400000,22500,1,974.3,974.3,0.0,900.0,-0.0001,90000,90000,22500,45000,22500,22548,1,b852c42c32768bb54751adaab210cee447a1a20d21bffd9a8e06f00e1f3a87e7
303,900.0,1,22500,22500,22548,1,14400000,22500,1,1601.7,1601.7,0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,7472fa3af1d9aca30b42a8ebb2b0e150fd92804a92a02a59cd15038a711db2e1
304,900.0,1,22500,22500,22548,1,14400000,22500,1,1142.6999,1142.6999,0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,860e632acaf8b9d3459d9c5823e8f1118b8ff721b88054f56a52d6ce6b8d489e
305,900.0,1,22500,22500,22548,1,14400000,22500,1,2847.4001,2847.4001,-0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,96e003ca4073bddae6bfa064b757f8e4f670a60903fa563d8e54faf3a3f705e5
306,619.1,0,15477,15477,15525,1,9905600,15477,1,619.1,619.1,0.0,619.1,0.0,61910,61910,15477,30955,15477,15525,1,13349fda5198c66b92da423aa2f60f4e3f6a316a9d815f1bef01236f274b6ab9
307,900.0,1,22500,22500,22548,1,14400000,22500,1,2207.0999,2207.0999,0.0,900.0,0.0,90000,90000,22500,45000,22500,22548,1,c9f35b3dd7226564e82942bdfc096132364a287f70b8c2967d25841b763010f7
308,369.4999,0,9237,9237,9285,1,5911998,9237,1,369.4999,369.4999,0.0,369.4999,-0.0,36949,36949,9237,18475,9237,9285,1,8de6788d1f253ee25d5d996659567a8dc5de9838fdfaa9eee58c754f1cffbf4b
309,192.7,0,4817,4817,4865,1,3083200,4817,1,192.7,192.7,0.0,192.7,0.0,19270,19270,4817,9635,4817,4865,1,07bbf52f7dd2c714e95f549e1ab2e97fb8efca2bede769a14239f896507cb49a
