stream,stage,auc_r0,auc_r1,auc_r2,auc_r3,auc_r4,meanof5,is_best
enc,0,0.5811947223430477,0.5691605045672031,0.5747426417282877,0.6096853704509206,0.5793823401478904,0.5828331158474699,0
enc,1,0.5378425402348848,0.5548064375815572,0.5311729737567058,0.5471944323618965,0.5371175873568218,0.5416267942583732,0
enc,2,0.5859069160504567,0.5964912280701754,0.5850369725967812,0.5892416992895462,0.5762650427722198,0.5865883717558359,0
enc,3,0.5803972741771785,0.5832245904016239,0.5964912280701754,0.5774974626649267,0.5540814847034943,0.5783384080034798,0
enc,4,0.5650282731622445,0.5858344207626505,0.6033057851239669,0.5651007684500507,0.5624184428012179,0.5763375380600262,0
enc,5,0.562925909815862,0.5927214731042483,0.6101928374655647,0.5626359286646369,0.5714803537770045,0.5799913005654632,0
enc,6,0.5910540814847035,0.6113527620704654,0.6017108887922286,0.5957662751921126,0.6087429317094389,0.6017253878497898,0
enc,7,0.5788023778454401,0.5995360301580397,0.5856169348992315,0.5690880092793968,0.5917790343627665,0.584964477308975,0
enc,8,0.5809047411918226,0.6135276207046542,0.5832970856894302,0.5739451935624185,0.6070755400898942,0.591750036247644,0
enc,9,0.5820646657967232,0.5943163694359866,0.5981586196897202,0.5785123966942148,0.596128751631144,0.5898361606495577,0
enc,10,0.5935189212701174,0.6143250688705234,0.5996810207336523,0.5719153255038423,0.599608525445846,0.5958097723647963,0
enc,11,0.5617659852109613,0.6211396259243149,0.5940988835725678,0.5952588081774685,0.6012034217775845,0.5946933449325794,0
enc,12,0.5617659852109613,0.6073655212411193,0.5731477453965492,0.5653907496012759,0.5861244019138756,0.5787588806727563,0
enc,13,0.562200956937799,0.6244744091634044,0.6045382050166739,0.568145570537915,0.6017108887922286,0.5922140060896042,0
enc,14,0.5539364941278817,0.6087429317094389,0.5958387704799188,0.5685805422647527,0.5814122082064666,0.5817021893576918,0
enc,15,0.5662606930549514,0.6370885892416993,0.6092503987240829,0.5969261997970132,0.5914890532115412,0.6002029868058576,0
enc,16,0.5927214731042483,0.6485428447150935,0.6216470929389589,0.6199797013194143,0.6082354646947948,0.618225315354502,0
enc,17,0.6062780919240249,0.6639118457300276,0.6215745976511526,0.6286791358561693,0.6235319704219225,0.6287951283166594,0
enc,18,0.5999710018848775,0.6608670436421633,0.6339712918660287,0.6328838625489344,0.6291866028708134,0.6313759605625635,0
enc,19,0.6122227055241409,0.6713788603740757,0.6502102363346383,0.6279541829781065,0.6420907641003335,0.6407713498622589,0
enc,20,0.6138900971436857,0.6717413368131071,0.6447730897491663,0.6215745976511526,0.6402058866173699,0.6384370015948961,0
enc,21,0.6118602290851095,0.643468174568653,0.6356386834855734,0.6083079599826011,0.6238219515731478,0.6246193997390169,0
enc,22,0.6035232709873858,0.6586196897201682,0.6403508771929824,0.6207771494852835,0.6378860374075686,0.6322314049586777,0
enc,23,0.6083079599826011,0.6616644918080324,0.641728287661302,0.634551254168479,0.6334638248513846,0.6359431636943598,0
enc,24,0.6123676960997535,0.6696389734667246,0.6368711033782805,0.6420182688125272,0.6453530520516166,0.6412498187617806,0
enc,25,0.6279541829781065,0.676888502247354,0.6521676091054082,0.6452080614760041,0.643468174568653,0.6491373060751051,1
enc,26,0.6051906626069306,0.6384659997100188,0.6227345222560533,0.622879512831666,0.60207336523126,0.6182688125271858,0
enc,27,0.5941713788603741,0.6398434101783385,0.6219370740901842,0.6211396259243149,0.6106278091924024,0.6175438596491228,0
enc,28,0.6021458605190663,0.6472379295345803,0.6229520081194723,0.616717413368131,0.6006234594751341,0.6179353342032767,0
enc,29,0.5985210961287516,0.6428157169783965,0.6114252573582717,0.6096128751631144,0.5948238364506307,0.611439756415833,0
enc,30,0.5611135276207047,0.6117152385094968,0.5890967087139336,0.5945338552994055,0.5683630564013339,0.5849644773089749,0
enc,31,0.6015658982166159,0.6453530520516166,0.6238219515731478,0.6274467159634624,0.5918515296505727,0.6180078294910831,0
llm,0,0.5703204291721038,0.6076555023923444,0.5990285631433957,0.5967812092214007,0.5598086124401914,0.5867188632738871,0
llm,1,0.5913440626359286,0.6254893431926924,0.6096128751631144,0.6143975641583297,0.5749601275917066,0.6031607945483544,0
llm,2,0.5956212846164999,0.6370885892416993,0.6071480353777005,0.6133101348412353,0.5873568218065826,0.6081049731767435,0
llm,3,0.6199797013194143,0.6605770624909381,0.6283891547049442,0.619689720168189,0.6049731767435117,0.6267217630853994,0
llm,4,0.6254893431926924,0.6678990865593737,0.6415108017978831,0.6264317819341743,0.6123676960997535,0.6347397419167754,0
llm,5,0.6325213861099028,0.6823256488328259,0.6466579672321299,0.632303900246484,0.6251993620414673,0.6438016528925619,0
llm,6,0.6273017253878498,0.6537625054371465,0.6186022908510946,0.6028708133971292,0.6104828186167899,0.622604030738002,0
llm,7,0.6351312164709294,0.6697114687545309,0.6559373640713354,0.641728287661302,0.6522401043932144,0.6509496882702624,0
llm,8,0.7002319849209802,0.7245179063360881,0.7099463534870234,0.6989270697404669,0.7113962592431492,0.7090039147455416,0
llm,9,0.7132086414383065,0.7269827461215022,0.7252428592141511,0.705669131506452,0.7364796288241264,0.7215166014209077,0
llm,10,0.7311149775264608,0.742061765985211,0.732419892706974,0.7151660142090764,0.7517036392634479,0.7344932579382341,0
llm,11,0.7535160214586052,0.7583732057416268,0.7540959837610556,0.731404958677686,0.765115267507612,0.7525010874293171,0
llm,12,0.7346672466289691,0.7417717848339858,0.7434391764535305,0.715818471799333,0.744309119907206,0.7360011599246048,0
llm,13,0.7444541104828186,0.742569232999855,0.7321299115557489,0.7105263157894737,0.7498912570682905,0.7359141655792374,0
llm,14,0.7561258518196318,0.7587356821806582,0.7400318979266348,0.7136436131651442,0.7595331303465275,0.7456140350877194,0
llm,15,0.7614905031172974,0.7598956067855589,0.7498912570682905,0.7384370015948963,0.7625779324343918,0.754458460200087,0
llm,16,0.751486153400029,0.7571407858489199,0.7340147890387125,0.7335798173118747,0.7490938089024214,0.7450630709003915,0
llm,17,0.7443816151950123,0.7521386109902857,0.7293025953313035,0.7321299115557489,0.7478613890097143,0.7411628244164129,0
llm,18,0.7547484413513121,0.7665651732637379,0.7398144120632159,0.7494562853414528,0.7652602580832246,0.7551689140205887,0
llm,19,0.7374220675656082,0.7503987240829346,0.7103813252138611,0.7372045817021894,0.7405393649412788,0.7351892127011744,0
llm,20,0.7317674351167174,0.7509061910975786,0.7146585471944323,0.7350297230680006,0.7377845440046397,0.7340292880962738,0
llm,21,0.7271277366971147,0.7468464549804262,0.7121937074090184,0.7310424822386545,0.7344497607655502,0.7303320284181528,0
llm,22,0.7417717848339858,0.746266492677976,0.7139335943163695,0.7188270262432942,0.7236479628824126,0.7288893721908076,0
llm,23,0.767072640278382,0.7651877627954183,0.7518486298390604,0.7435841670291431,0.7548209366391184,0.7565028273162244,0
llm,24,0.7489488183268087,0.7553284036537625,0.7499637523560968,0.7300275482093664,0.7445991010584312,0.7457735247208932,0
llm,25,0.750761200521966,0.7570682905611136,0.7553284036537625,0.7355371900826446,0.7491663041902277,0.7495722778019429,0
llm,26,0.7587356821806582,0.7714223575467595,0.7555458895171814,0.7461215021023634,0.75322604030738,0.7570102943308685,0
llm,27,0.7569957952733072,0.7759170653907496,0.7550384225025374,0.7432216905901117,0.7539872408293461,0.7570320429172105,0
llm,28,0.7702624329418588,0.7853414528055677,0.7662751921125127,0.7683050601710889,0.7588081774684645,0.7697984630998985,1
ans,0,0.5,0.5,0.5,0.5,0.5,0.5,0
ans,1,0.5424097433666811,0.6118602290851095,0.610990285631434,0.5495867768595041,0.5695954762940408,0.5768885022473539,0
