pid,ok,native_sr,ch,raw_s,stitched_s,src_dur_s,d_stitch,win_s,win_dur_s,d_win,capped,sr_expected
300,1,16000,1,648.5,759.8001,759.8001,0.0,759.8001,759.8001,-0.0,0,16000
301,1,16000,1,823.9,1321.6999,1321.6999,0.0,900.0,900.0,0.0,1,16000
302,1,16000,1,758.8,974.3,974.3,0.0,900.0,900.0001,-0.0001,1,16000
303,1,16000,1,985.3,1601.7,1601.7,0.0,900.0,900.0,0.0,1,16000
304,1,16000,1,792.6,1142.6999,1142.6999,0.0,900.0,900.0,0.0,1,16000
305,1,16000,1,1704.0,2847.4001,2847.4001,-0.0,900.0,900.0,0.0,1,16000
306,1,16000,1,858.1,619.1,619.1,0.0,619.1,619.1,0.0,0,16000
307,1,16000,1,1238.8,2207.0999,2207.0999,0.0,900.0,900.0,0.0,1,16000
308,1,16000,1,867.6,369.4999,369.4999,0.0,369.4999,369.4999,-0.0,0,16000
309,1,16000,1,705.8,192.7,192.7,0.0,192.7,192.7,0.0,0,16000
310,1,16000,1,844.9,297.8,297.8,0.0,297.8,297.8,0.0,0,16000
311,1,16000,1,785.6,217.7999,217.7999,0.0,217.7999,217.7999,-0.0,0,16000
312,1,16000,1,790.0,340.3999,340.3999,0.0,340.3999,340.3999,-0.0,0,16000
313,1,16000,1,753.8,1021.1001,1021.1001,0.0,900.0,900.0,0.0,1,16000
314,1,16000,1,1546.7,1098.4999,1098.4999,0.0,900.0,900.0,0.0,1,16000
315,1,16000,1,975.4,1492.4999,1492.4999,-0.0,900.0,900.0,0.0,1,16000
316,1,16000,1,869.0,226.3,226.3,0.0,226.3,226.3,0.0,0,16000
317,1,16000,1,804.9,233.9999,233.9999,0.0,233.9999,233.9999,-0.0,0,16000
318,1,16000,1,588.4,249.5999,249.5999,0.0,249.5999,249.5999,-0.0,0,16000
319,1,16000,1,679.7,910.9,910.9,0.0,900.0,900.0001,-0.0001,1,16000
320,1,16000,1,840.7,249.1,249.1,0.0,249.1,249.1,0.0,0,16000
321,1,16000,1,821.9,311.5999,311.5999,0.0,311.5999,311.5999,-0.0,0,16000
322,1,16000,1,1047.1,537.0999,537.0999,0.0,537.0999,537.0999,-0.0,0,16000
323,1,16000,1,837.0,417.3001,417.3001,-0.0,417.3001,417.3001,-0.0,0,16000
324,1,16000,1,721.3,275.7001,275.7001,-0.0,275.7001,275.7001,-0.0,0,16000
325,1,16000,1,875.0,528.2,528.2,0.0,528.2,528.2,0.0,0,16000
326,1,16000,1,699.2,196.3,196.3,0.0,196.3,196.3,0.0,0,16000
327,1,16000,1,680.8,951.4001,951.4001,-0.0,900.0,900.0,0.0,1,16000
328,1,16000,1,1065.2,679.2,679.2,0.0,679.2,679.2,0.0,0,16000
329,1,16000,1,706.3,365.4,365.4,0.0,365.4,365.4,0.0,0,16000
330,1,16000,1,771.5,181.6,181.6,0.0,181.6,181.6,0.0,0,16000
331,1,16000,1,850.7,447.8,447.8,0.0,447.8,447.8,0.0,0,16000
332,1,16000,1,874.1,1242.3999,1242.3999,0.0,900.0,900.0,0.0,1,16000
333,1,16000,1,969.3,1403.4999,1403.4999,0.0,900.0,900.0,0.0,1,16000
334,1,16000,1,980.0,1445.0,1445.0,0.0,900.0,900.0,0.0,1,16000
335,1,16000,1,830.1,452.7001,452.7001,0.0,452.7001,452.7001,-0.0,0,16000
336,1,16000,1,944.5,379.1,379.1,0.0,379.1,379.1,0.0,0,16000
337,1,16000,1,1871.2,1404.5001,1404.5001,-0.0,900.0,900.0,0.0,1,16000
338,1,16000,1,596.8,287.8,287.8,0.0,287.8,287.8,0.0,0,16000
339,1,16000,1,862.9,443.5,443.5,0.0,443.5,443.5,0.0,0,16000
340,1,16000,1,599.3,204.2999,204.2999,-0.0,204.2999,204.2999,-0.0,0,16000
341,1,16000,1,867.5,418.6001,418.6001,-0.0,418.6001,418.6001,-0.0,0,16000
343,1,16000,1,927.3,272.6999,272.6999,0.0,272.6999,272.6999,-0.0,0,16000
344,1,16000,1,1090.5,1745.3,1745.3,0.0,900.0,900.0,0.0,1,16000
345,1,16000,1,793.9,1314.0,1314.0,0.0,900.0,900.0,0.0,1,16000
346,1,16000,1,1221.8,699.4999,699.4999,0.0,699.4999,699.4999,-0.0,0,16000
347,1,16000,1,611.6,145.1,145.1,0.0,145.1,145.1,0.0,0,16000
348,1,16000,1,719.4,328.0999,328.0999,0.0,328.0999,328.0999,-0.0,0,16000
349,1,16000,1,1216.0,503.0,503.0,0.0,503.0,503.0,0.0,0,16000
350,1,16000,1,881.8,1352.1001,1352.1001,-0.0,900.0,900.0,0.0,1,16000
351,1,16000,1,769.6,1167.8,1167.8,0.0,900.0,900.0001,-0.0001,1,16000
352,1,16000,1,760.1,1273.2001,1273.2001,-0.0,900.0,900.0,0.0,1,16000
353,1,16000,1,786.0,415.1999,415.1999,0.0,415.1999,415.1999,-0.0,0,16000
354,1,16000,1,576.8,167.4999,167.4999,0.0,167.4999,167.4999,-0.0,0,16000
355,1,16000,1,674.7,358.3,358.3,0.0,358.3,358.3,0.0,0,16000
356,1,16000,1,954.0,591.4999,591.4999,0.0,591.4999,591.4999,-0.0,0,16000
357,1,16000,1,414.8,530.4,530.4,0.0,530.4,530.4,0.0,0,16000
358,1,16000,1,647.9,258.0,258.0,0.0,258.0,258.0,0.0,0,16000
359,1,16000,1,1033.6,605.3001,605.3001,-0.0,605.3001,605.3001,-0.0,0,16000
360,1,16000,1,440.4,218.3,218.3,0.0,218.3,218.3,0.0,0,16000
361,1,16000,1,641.9,397.8001,397.8001,-0.0,397.8001,397.8001,-0.0,0,16000
362,1,16000,1,590.2,286.7,286.7,0.0,286.7,286.7,0.0,0,16000
363,1,16000,1,1227.1,804.5001,804.5001,-0.0,804.5001,804.5001,-0.0,0,16000
364,1,16000,1,1781.5,1340.2,1340.2,0.0,900.0,900.0,0.0,1,16000
365,1,16000,1,1386.1,718.1001,718.1001,-0.0,718.1001,718.1001,-0.0,0,16000
366,1,16000,1,1312.7,847.1,847.1,0.0,847.1,847.1,0.0,0,16000
367,1,16000,1,1637.0,1068.9999,1068.9999,0.0,900.0,900.0,0.0,1,16000
368,1,16000,1,1354.8,1039.7,1039.7,0.0,900.0,900.0,0.0,1,16000
369,1,16000,1,1041.1,749.3,749.3,0.0,749.3,749.3,0.0,0,16000
370,1,16000,1,1208.6,849.3001,849.3001,0.0,849.3001,849.3001,-0.0,0,16000
371,1,16000,1,911.7,309.8001,309.8001,-0.0,309.8001,309.8001,-0.0,0,16000
372,1,16000,1,1513.7,751.3001,751.3001,-0.0,751.3001,751.3001,-0.0,0,16000
373,1,16000,1,1265.1,949.2,949.2,0.0,900.0,900.0,0.0,1,16000
374,1,16000,1,1287.7,2039.8999,2039.8999,0.0,900.0,900.0,0.0,1,16000
