id	what	value	lo	hi	n	n_spk	file	two_dp	vs_half
A1_max_abs_d_stitch	item 1: rebuilt stitched duration minus windows_full.csv src_dur_s, max abs (s)	0.0000			275	275	scores/part23/A/A1_edaic_whole_audiotok.csv	0.00	n/a
A1_max_abs_d_win	item 1: rebuilt window duration minus windows_full.csv win_dur_s, max abs (s)	0.0001			275	275	scores/part23/A/A1_edaic_whole_audiotok.csv	0.00	n/a
A1_n_at_22500	item 1: files with exactly 22,500 audio tokens (900 s cap), truncation lifted	89.0000			275	275	scores/part23/A/A1_edaic_whole_audiotok.csv	89.00	n/a
A1_n_cut	item 1: files with fewer audio tokens than the formula for their whole window (still cut)	0.0000			275	275	scores/part23/A/A1_edaic_whole_audiotok.csv	0.00	n/a
A1_n_fit_32k	item 1: files whose sequence fits in 32,768	275.0000			275	275	scores/part23/A/A1_edaic_whole_audiotok.csv	275.00	n/a
A1_n_agree_part22_tok	item 1: files whose audio token count equals PART 22 audio_tok_lifted	275.0000			275	275	scores/part23/A/A1_edaic_whole_audiotok.csv	275.00	n/a
A2_zeroshot_whole	item 2: Qwen2.5-Omni zero-shot answer AUC, E-DAIC whole window (900 s cap, truncation lifted)	0.8366	0.7786	0.8866	275	275	scores/part23/A/A2_edaic_whole_zeroshot_perclip.csv	0.84 [0.78, 0.89]	above 0.5
A2_zeroshot_300s_ref	item 2: same, 300 s window (T7b p_yes, recomputed here; reference 0.8278 [0.7703, 0.8822])	0.8278	0.7703	0.8822	275	275	scores/part23/A/A2_edaic_whole_zeroshot_perclip.csv	0.83 [0.77, 0.88]	above 0.5
A2_zeroshot_whole_minus_300s	item 2: whole minus 300 s zero-shot AUC, paired	0.0088	-0.0320	0.0510	275	275	scores/part23/A/A2_edaic_whole_zeroshot_perclip.csv	0.01 [-0.03, 0.05]	difference: includes 0
A2_zeroshot_whole_ruleset	item 2 supplement: whole-window AUC with the rule id set (+14080, +5664)	0.8366	0.7786	0.8866	275	275	scores/part23/A/A2_edaic_whole_zeroshot_perclip.csv	0.84 [0.78, 0.89]	above 0.5
A2_maxabs_vs_part22	item 2: max abs per-clip p_yes difference vs PART 22 p_yes_lifted	0.0617			275	275	scores/part23/A/A2_edaic_whole_zeroshot_perclip.csv	0.06	n/a
A2_pearson_vs_part22	item 2: Pearson r per-clip p_yes vs PART 22 p_yes_lifted	0.9997			275	275	scores/part23/A/A2_edaic_whole_zeroshot_perclip.csv	1.00	n/a
A3_enc_meanof5_whole	item 3: encoder probe, mean of five per-repeat AUCs [0.5723, 0.6088, 0.6083, 0.5802, 0.621], whole window (300 s: 0.5884 [0.5268, 0.6523])	0.5981	0.5267	0.6672	275	275	scores/part23/A/A3_edaic_whole_meanof5_perclip.csv	0.60 [0.53, 0.67]	above 0.5
A3_enc_meanof5_minus_answer_whole	item 3: encoder probe mean-of-five minus whole-window zero-shot answer, paired (300 s: -0.2394)	-0.2385	-0.3244	-0.1505	275	275	scores/part23/A/A3_edaic_whole_meanof5_perclip.csv	-0.24 [-0.32, -0.15]	difference: excludes 0
A3_enc_meanof5_whole_minus_300s	item 3 extra: encoder probe mean-of-five, whole minus 300 s window (T7b vectors), paired	0.0097	-0.0253	0.0474	275	275	scores/part23/A/A3_edaic_whole_meanof5_perclip.csv	0.01 [-0.03, 0.05]	difference: includes 0
A3_proj_meanof5_whole	item 3: projector probe, mean of five per-repeat AUCs [0.5702, 0.6073, 0.5994, 0.5967, 0.5592], whole window (300 s: 0.5610 [0.4871, 0.6339])	0.5866	0.5166	0.6585	275	275	scores/part23/A/A3_edaic_whole_meanof5_perclip.csv	0.59 [0.52, 0.66]	above 0.5
A3_proj_meanof5_minus_answer_whole	item 3: projector probe mean-of-five minus whole-window zero-shot answer, paired (300 s: -0.2668)	-0.2500	-0.3339	-0.1623	275	275	scores/part23/A/A3_edaic_whole_meanof5_perclip.csv	-0.25 [-0.33, -0.16]	difference: excludes 0
A3_proj_meanof5_whole_minus_300s	item 3 extra: projector probe mean-of-five, whole minus 300 s window (T7b vectors), paired	0.0256	-0.0179	0.0712	275	275	scores/part23/A/A3_edaic_whole_meanof5_perclip.csv	0.03 [-0.02, 0.07]	difference: includes 0
A3_llm_meanof5_whole	item 3: LM probe, mean of five per-repeat AUCs [0.7456, 0.7438, 0.7481, 0.7375, 0.7436], whole window (300 s: 0.7001 [0.6231, 0.7727])	0.7437	0.6752	0.8097	275	275	scores/part23/A/A3_edaic_whole_meanof5_perclip.csv	0.74 [0.68, 0.81]	above 0.5
A3_llm_meanof5_minus_answer_whole	item 3: LM probe mean-of-five minus whole-window zero-shot answer, paired (300 s: -0.1276)	-0.0929	-0.1609	-0.0257	275	275	scores/part23/A/A3_edaic_whole_meanof5_perclip.csv	-0.09 [-0.16, -0.03]	difference: excludes 0
A3_llm_meanof5_whole_minus_300s	item 3 extra: LM probe mean-of-five, whole minus 300 s window (T7b vectors), paired	0.0436	0.0006	0.0921	275	275	scores/part23/A/A3_edaic_whole_meanof5_perclip.csv	0.04 [0.00, 0.09]	difference: excludes 0
A3_ans_meanof5_whole	item 3: answer state probe, mean of five per-repeat AUCs [0.833, 0.8557, 0.8235, 0.832, 0.8352], whole window (300 s: 0.7435 [0.6793, 0.8065])	0.8359	0.7819	0.8832	275	275	scores/part23/A/A3_edaic_whole_meanof5_perclip.csv	0.84 [0.78, 0.88]	above 0.5
A3_ans_meanof5_minus_answer_whole	item 3: answer state probe mean-of-five minus whole-window zero-shot answer, paired (300 s: -0.0843)	-0.0007	-0.0455	0.0436	275	275	scores/part23/A/A3_edaic_whole_meanof5_perclip.csv	-0.00 [-0.05, 0.04]	difference: includes 0
A3_ans_meanof5_whole_minus_300s	item 3 extra: answer state probe mean-of-five, whole minus 300 s window (T7b vectors), paired	0.0924	0.0491	0.1373	275	275	scores/part23/A/A3_edaic_whole_meanof5_perclip.csv	0.09 [0.05, 0.14]	difference: excludes 0
A3s_enc_best_single_stage	SUPPLEMENT (not paper convention, stage chosen on test AUC): encoder best single stage 25, mean of five per-repeat AUCs, whole window	0.6491	0.5742	0.7209	275	275	scores/part23/A/A3s_edaic_whole_beststage.csv	0.65 [0.57, 0.72]	above 0.5
A3s_enc_best_single_stage_minus_answer	SUPPLEMENT: encoder best single stage 25 minus whole-window zero-shot answer, paired	-0.1875	-0.2777	-0.0940	275	275	scores/part23/A/A3s_edaic_whole_beststage.csv	-0.19 [-0.28, -0.09]	difference: excludes 0
A3s_llm_best_single_stage	SUPPLEMENT (not paper convention, stage chosen on test AUC): LM best single stage 28, mean of five per-repeat AUCs, whole window	0.7698	0.7020	0.8344	275	275	scores/part23/A/A3s_edaic_whole_beststage.csv	0.77 [0.70, 0.83]	above 0.5
A3s_llm_best_single_stage_minus_answer	SUPPLEMENT: LM best single stage 28 minus whole-window zero-shot answer, paired	-0.0668	-0.1312	-0.0016	275	275	scores/part23/A/A3s_edaic_whole_beststage.csv	-0.07 [-0.13, -0.00]	difference: excludes 0
A3s_ans_best_single_stage	SUPPLEMENT (not paper convention, stage chosen on test AUC): answer state best single stage 27, mean of five per-repeat AUCs, whole window	0.8497	0.7933	0.8970	275	275	scores/part23/A/A3s_edaic_whole_beststage.csv	0.85 [0.79, 0.90]	above 0.5
A3s_ans_best_single_stage_minus_answer	SUPPLEMENT: answer state best single stage 27 minus whole-window zero-shot answer, paired	0.0131	-0.0329	0.0567	275	275	scores/part23/A/A3s_edaic_whole_beststage.csv	0.01 [-0.03, 0.06]	difference: includes 0
A4_ctl300_zeroshot	EXTRA same-GPU control: zero-shot answer AUC, 300 s window (unmodified extract_full.py, default call) on this H100 NVL pod	0.8279	0.7700	0.8821	275	275	scores/part23/A/A4_ctl300_samegpu_perclip.csv	0.83 [0.77, 0.88]	above 0.5
