pid,speaker,p_yes_whole,p_yes_ctl300_samegpu,audio_tok_ctl300,p_yes_300s_T7b_h200,ctl300_oof_enc_r0,ctl300_oof_enc_r1,ctl300_oof_enc_r2,ctl300_oof_enc_r3,ctl300_oof_enc_r4,ctl300_oof_llm_r0,ctl300_oof_llm_r1,ctl300_oof_llm_r2,ctl300_oof_llm_r3,ctl300_oof_llm_r4,ctl300_oof_ans_r0,ctl300_oof_ans_r1,ctl300_oof_ans_r2,ctl300_oof_ans_r3,ctl300_oof_ans_r4,ctl300_oof_proj_r0,ctl300_oof_proj_r1,ctl300_oof_proj_r2,ctl300_oof_proj_r3,ctl300_oof_proj_r4
300,300,np.float64(0.0637583763794425),np.float64(0.09012743590738895),7500,np.float64(0.09012648339238387),0.20366699993610382,2.812003685903619e-06,9.069854422705248e-05,0.9688583612442017,0.6088938117027283,0.004154501482844353,6.321503315120935e-05,4.5842920371796936e-05,0.010952715761959553,8.532730134902522e-06,0.0008584120660088956,0.00015599292237311602,4.749105210066773e-05,7.672294304938987e-05,0.0019196394132450223,0.0001898705231724307,1.7345995729556307e-05,0.018542857840657234,0.01058621983975172,0.004361879080533981
301,301,np.float64(0.04210967562758264),np.float64(0.06760770135203434),7500,np.float64(0.06016855039552881),0.014899621717631817,0.06774144619703293,0.00030998571310192347,0.9929639101028442,0.349048376083374,0.0007036001770757139,5.197952123126015e-05,0.006290414836257696,0.0013884512009099126,0.0025255545042455196,0.0019218671368435025,4.133744732826017e-05,0.0031540226191282272,1.1133312909805682e-05,0.0004334174154791981,0.8453385233879089,0.9007944464683533,0.007538338657468557,0.9988831877708435,0.9827612042427063
302,302,np.float64(0.6794502961310905),np.float64(0.7435177814656828),7500,np.float64(0.7435209353838056),0.030569666996598244,3.417831248953007e-05,0.30544760823249817,0.3145035207271576,0.20878760516643524,0.0011165135074406862,0.003578346921131015,0.0010327395284548402,0.012797016650438309,0.0020619300194084644,7.85430984251434e-06,0.0035994090139865875,0.055937882512807846,0.0003018858260475099,0.006846438627690077,0.27109983563423157,0.0005660029710270464,0.09165306389331818,0.0236944779753685,0.0019274500664323568
303,303,np.float64(0.07164968760369504),np.float64(0.12597189862195177),7500,np.float64(0.11285464954183343),0.010084020905196667,0.0027270906139165163,0.0009087849175557494,0.0006537825101986527,0.10493268072605133,9.184496593661606e-05,0.00039025439764373004,1.0374171324656345e-05,0.0017130783526226878,0.00401782151311636,0.025887073948979378,0.001034821616485715,0.02021942101418972,0.041174739599227905,0.012248125858604908,0.003045267192646861,0.0036410049069672823,6.172754365252331e-05,0.00041545694693922997,0.0009083888726308942
304,304,np.float64(0.03317077013838889),np.float64(0.1010595240167068),7500,np.float64(0.10104801554062459),0.01079021580517292,0.005889208987355232,0.08031687140464783,0.004326092544943094,0.001087469281628728,8.03958664619131e-06,0.0007483819499611855,0.0009227945702150464,0.00042247422970831394,0.001321356394328177,0.00046742873382754624,0.0021311803720891476,0.0014320387272164226,0.0011300347978249192,0.003549740184098482,0.40921086072921753,0.3037276268005371,0.5323421359062195,0.24114464223384857,5.962789509794675e-05
305,305,np.float64(0.18255383231933264),np.float64(0.5776054418426808),7500,np.float64(0.577617711052789),0.6301438808441162,0.030264319851994514,0.8031759858131409,0.7872790694236755,0.04588200896978378,0.013632179237902164,0.012395010329782963,0.04377453401684761,0.0536884106695652,0.002689966233447194,0.7996681332588196,0.8643943071365356,0.5516680479049683,0.8855148553848267,0.8221127986907959,0.9520865678787231,0.00010244081204291433,0.014477778226137161,9.635571586841252e-06,4.5469965698430315e-05
306,306,np.float64(0.29457029968915127),np.float64(0.1260234281639821),7500,np.float64(0.1330681257374996),0.12922309339046478,0.8943662643432617,0.9980732202529907,0.9940837025642395,0.5041321516036987,0.15880827605724335,0.04288990795612335,0.003362619783729315,0.377244770526886,0.004423774313181639,0.18165338039398193,0.0024340508971363306,0.009392758831381798,0.7405952215194702,0.046925824135541916,0.00920933112502098,0.002138811629265547,0.014749636873602867,0.00037207684363238513,0.0015776362270116806
307,307,np.float64(0.15593155946252932),np.float64(0.2813870896335222),7500,np.float64(0.2814599320204971),2.3158556814451003e-06,5.341099040379049e-06,0.07222563028335571,0.1069326251745224,0.10595718026161194,0.3085242509841919,0.062482479959726334,0.4613909423351288,0.008952666074037552,0.22078566253185272,3.53999371327518e-06,3.694656470543123e-06,0.0033313212916254997,0.00048618658911436796,0.00020370569836813956,4.728530257125385e-06,5.696459629689343e-05,0.25036540627479553,0.959542453289032,0.849187433719635
308,308,np.float64(0.984114840750237),np.float64(0.9820657453697156),7500,np.float64(0.9797597912407012),5.014768976252526e-05,0.0024259560741484165,0.0029264327604323626,0.006159565411508083,0.0004033702425658703,0.9962831139564514,0.9993220567703247,0.9630781412124634,0.999470055103302,0.9852108359336853,0.9930880665779114,0.9992812275886536,0.9927369952201843,0.9665141105651855,0.9940592050552368,0.00021086374181322753,0.0004864863003604114,0.001191146089695394,0.0005149823846295476,6.371235940605402e-06
309,309,np.float64(0.9149834338203644),np.float64(0.9149834338203644),4817,np.float64(0.919738222881649),0.008945087902247906,3.0444326171163993e-07,0.002954119350761175,0.010317308828234673,0.32362136244773865,0.7223882675170898,0.38506799936294556,0.4341307580471039,0.9947163462638855,0.9953515529632568,0.5941677689552307,0.0025926718953996897,0.9354687333106995,0.8821681141853333,0.9916261434555054,5.591437535201749e-09,1.6175812689311897e-08,1.1052284776269516e-07,7.333753160310152e-07,1.4534202819049824e-07
