pid,win_dur_s,capped,wave_samples,wave_s,feat_frames_formula,feat_frames_observed,audio_tok_expected_from_formula,audio_tok_observed,enc_positions,proj_positions,seq_len,fit_in_32k,p_yes,answer_mass,p_yes_rule,answer_mass_rule,cut_wav_sha256_first1MB,peak_gpu_gib,model_sec
300,759.8001,0,12156801,759.8001,75980,75980,18995,18995,37990,18995,19043,1,0.0637583763794425,0.9975751787424088,0.06375843434943552,0.9975769594311714,4e04c3a0c95a6834eb5f04626e37b3a3470a280e724415d3a2156d0f9674bb66,25.87,2.043
301,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.04210967562758264,0.995822973549366,0.04210974016037682,0.995824720710516,e6920f010ab2228d8d0cc161125ac4654ad918c2b1d5691d308ad6b0e2ee3e30,27.76,2.045
302,900.0001,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.6794502961310905,0.9881615042686462,0.6794502888635733,0.9881636202335358,b852c42c32768bb54751adaab210cee447a1a20d21bffd9a8e06f00e1f3a87e7,27.76,1.917
303,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.07164968760369504,0.9966666921973228,0.07164972193278259,0.9966683983802795,7472fa3af1d9aca30b42a8ebb2b0e150fd92804a92a02a59cd15038a711db2e1,27.76,1.917
304,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.03317077013838889,0.9974297769367695,0.03317083089487211,0.997431319206953,860e632acaf8b9d3459d9c5823e8f1118b8ff721b88054f56a52d6ce6b8d489e,27.76,2.019
305,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.18255383231933264,0.995916873216629,0.18255389202047348,0.9959189146757126,96e003ca4073bddae6bfa064b757f8e4f670a60903fa563d8e54faf3a3f705e5,27.76,1.932
306,619.1,0,9905600,619.1,61910,61910,15477,15477,30955,15477,15525,1,0.29457029968915127,0.9956215620040894,0.29457030921054733,0.9956238567829132,13349fda5198c66b92da423aa2f60f4e3f6a316a9d815f1bef01236f274b6ab9,23.974,1.245
307,900.0,1,14400000,900.0,90000,90000,22500,22500,45000,22500,22548,1,0.15593155946252932,0.9927909970283508,0.15593169225808293,0.9927926361560822,c9f35b3dd7226564e82942bdfc096132364a287f70b8c2967d25841b763010f7,27.76,1.931
308,369.4999,0,5911998,369.4999,36949,36949,9237,9237,18475,9237,9285,1,0.984114840750237,0.9988172370940447,0.984114801929972,0.9988185483962297,8de6788d1f253ee25d5d996659567a8dc5de9838fdfaa9eee58c754f1cffbf4b,20.607,0.668
309,192.7,0,3083200,192.7,19270,19270,4817,4817,9635,4817,4865,1,0.9149834338203644,0.998077392578125,0.9149833765135069,0.9980788230895996,07bbf52f7dd2c714e95f549e1ab2e97fb8efca2bede769a14239f896507cb49a,18.231,0.338
