clip,n_audio_tok,p_yes_h100nvl_this_pod,p_yes_h200_part22_gate,abs_diff,mass_h100nvl,mass_h200
305.wav,7500,0.5776054418426808,0.577617711052789,1.2269210108217798e-05,0.9942104518413544,0.9939565360546112
679.wav,7500,0.21225913388495568,0.2339097854731636,0.02165065158820792,0.9941706955432892,0.994180828332901
466.wav,7500,0.7065857973107941,0.706314575488364,0.00027122182243011217,0.994052529335022,0.9940349161624908
705.wav,4957,0.9604729076894626,0.9604466103597945,2.6297329668079072e-05,0.9982941336929798,0.9983506351709366
300.wav,7500,0.09012743590738895,0.09012648339238387,9.525150050787579e-07,0.9959519803524017,0.9957385584712029
301.wav,7500,0.06760770135203434,0.06016855039552881,0.007439150956505526,0.9956744089722633,0.995842132717371
310.wav,7445,0.13314765673451026,0.13309448181473538,5.317491977488431e-05,0.9952533692121506,0.9952801913022995
320.wav,6227,0.37867649801557346,0.39341839853750976,0.014741900521936302,0.9946971237659454,0.9949171841144562
330.wav,4540,0.6368903630812103,0.636897729444262,7.366363051763969e-06,0.9963625371456146,0.9964182078838348
346.wav,7500,0.978408260031826,0.97967570323723,0.0012674432054039508,0.9985287990421057,0.9985600784420967
