seg_uid,set,pid,span,full_turns,heard_turns,full_pwords,heard_pwords,frac_words_heard
c000023,conflict,301,18.7,1,1,58,58,1.0
c000047,conflict,303,13.1,2,2,45,45,1.0
c000181,conflict,308,21.0,4,4,43,43,1.0
c000182,conflict,308,18.9,1,1,60,60,1.0
c000187,conflict,308,20.8,4,4,43,43,1.0
c000207,conflict,309,18.6,2,2,47,47,1.0
c000213,conflict,309,52.7,7,4,44,22,0.5
c000239,conflict,311,29.2,3,3,27,27,1.0
c000250,conflict,311,53.3,9,5,43,18,0.4186
c000312,conflict,314,9.6,1,1,29,29,1.0
c000335,conflict,315,31.0,3,3,43,43,1.0
c000344,conflict,315,51.9,5,5,97,97,1.0
c000345,conflict,315,27.9,3,3,61,61,1.0
c000428,conflict,321,24.1,3,3,59,59,1.0
c000434,conflict,321,53.8,7,3,45,33,0.7333
c000441,conflict,321,33.2,3,3,44,44,1.0
c000634,conflict,332,22.1,3,3,56,56,1.0
c000642,conflict,332,51.5,8,6,84,27,0.3214
c000654,conflict,332,18.2,2,2,43,43,1.0
c000810,conflict,338,92.6,12,3,40,7,0.175
c000812,conflict,338,29.8,3,3,42,42,1.0
c000817,conflict,338,25.4,2,2,69,69,1.0
c000820,conflict,338,28.3,3,3,45,45,1.0
c000822,conflict,338,23.1,2,2,53,53,1.0
c000824,conflict,338,32.4,3,3,66,66,1.0
c000825,conflict,338,19.4,1,1,61,61,1.0
c000931,conflict,345,24.9,7,7,36,36,1.0
c000940,conflict,345,23.4,2,2,52,52,1.0
c000942,conflict,345,18.5,2,2,51,51,1.0
c000948,conflict,345,11.7,1,1,42,42,1.0
c000953,conflict,345,23.2,2,2,58,58,1.0
c000954,conflict,346,66.7,8,2,42,3,0.0714
c000957,conflict,346,60.6,7,4,73,13,0.1781
c000959,conflict,346,42.2,5,5,68,68,1.0
c000971,conflict,346,22.1,4,4,54,54,1.0
c000986,conflict,346,34.2,6,5,27,25,0.9259
c001000,conflict,348,58.8,6,1,47,1,0.0213
c001004,conflict,348,27.9,4,4,48,48,1.0
c001005,conflict,348,23.6,2,2,52,52,1.0
c001007,conflict,348,19.4,2,2,42,42,1.0
c001014,conflict,348,50.9,8,6,53,28,0.5283
c001015,conflict,348,23.9,1,1,75,75,1.0
c001260,conflict,362,79.0,7,2,54,4,0.0741
c001265,conflict,362,20.6,4,4,41,41,1.0
c001272,conflict,362,52.7,6,4,62,28,0.4516
c001273,conflict,362,28.9,2,2,51,51,1.0
c001288,conflict,363,22.8,3,3,52,52,1.0
c001290,conflict,363,28.6,4,4,45,45,1.0
c001415,conflict,366,39.5,6,5,52,35,0.6731
c001428,conflict,366,37.2,1,1,129,129,1.0
