seg_uid,set,pair_id,speaker_id,label,start,end,span,speech_s,nw,n_turns,p_pos,p_neg,p_neu,clearly_positive,clearly_negative,val,npos,nneg,oof
c000010,conflict,0,301,0,95.3,122.5,27.200000000000003,18.700000000000017,40,4,0.12625249,0.7065296,0.16721787,0,1,-9.0,1,4,0.3904738339179168
c000015,conflict,1,301,0,241.8,278.5,36.69999999999999,20.09999999999997,42,4,0.011159804,0.92074144,0.06809877,0,1,-8.5,1,3,0.5505510867779234
c000036,conflict,2,302,0,229.8,264.9,35.099999999999966,11.899999999999975,35,4,0.020679394,0.7368703,0.24245037,0,1,-1.0,1,1,0.4222902047195614
c000040,conflict,3,302,0,396.1,429.7,33.599999999999966,11.999999999999886,33,6,0.013793661,0.7042564,0.28194994,0,1,0.0,1,1,0.471559017792906
c000064,conflict,4,303,0,723.6,740.3,16.699999999999932,16.699999999999932,65,1,0.008574827,0.86081094,0.13061424,0,1,1.0,3,2,0.4120366669647394
c000146,conflict,5,306,0,487.7,551.9,64.19999999999999,19.100000000000023,57,2,0.010592219,0.8317073,0.15770054,0,1,0.0,1,1,0.2646183462199367
c000148,conflict,6,306,0,578.4,597.3,18.899999999999977,15.799999999999956,56,2,0.03953976,0.7282695,0.23219071,0,1,0.7000000000000002,5,4,0.5910620609492058
c000149,conflict,7,306,0,598.8,620.8,22.0,22.0,64,1,0.017280301,0.72180045,0.26091927,0,1,-4.0,1,4,0.4977459435298712
c000157,conflict,8,307,0,125.9,150.4,24.5,15.200000000000015,46,2,0.0073978445,0.81849706,0.17410511,0,1,9.0,5,0,0.3373012736507315
c000159,conflict,9,307,0,168.5,203.6,35.099999999999994,24.59999999999999,68,3,0.010875287,0.86672527,0.1223994,0,1,-13.7,1,4,0.2785775071846451
c000162,conflict,10,307,0,345.3,363.3,18.0,18.0,29,1,0.006787121,0.8541652,0.13904768,0,1,-3.0,0,1,0.6606069777377372
c000176,conflict,11,307,0,1008.2,1040.6,32.399999999999864,30.399999999999864,71,2,0.013153461,0.84905815,0.13778839,0,1,-1.0,3,3,0.4776368583370239
c000181,conflict,12,308,1,0.0,21.0,21.0,13.1,43,4,0.8881024,0.005230358,0.106667206,1,0,10.0,4,0,0.3397105919026973
c000182,conflict,13,308,1,33.5,52.4,18.9,18.9,60,1,0.89960396,0.006831169,0.09356484,1,0,9.0,5,0,0.3266775091127462
c000185,conflict,14,308,1,164.8,199.1,34.29999999999998,18.799999999999983,42,5,0.84204096,0.015188721,0.1427703,1,0,5.0,2,0,0.3242695580011939
c000186,conflict,15,308,1,204.6,223.6,19.0,13.899999999999975,40,3,0.7170639,0.015541551,0.2673945,1,0,8.0,3,1,0.4235770904723081
c000187,conflict,16,308,1,232.7,253.5,20.80000000000001,17.00000000000003,43,4,0.80986536,0.016887685,0.173247,1,0,18.0,8,0,0.4542866864372439
c000251,conflict,17,311,1,700.4,721.4,21.0,15.100000000000025,42,3,0.82963204,0.0134900035,0.15687793,1,0,2.0,1,0,0.3673459157011012
c000260,conflict,18,312,0,327.6,338.7,11.099999999999966,11.099999999999966,25,1,0.008227694,0.8677896,0.12398269,0,1,-3.0,0,1,0.3330244595866002
c000291,conflict,19,314,0,245.8,287.8,42.0,31.0,69,4,0.013295957,0.84865427,0.13804983,0,1,-0.5,4,3,0.3421138522254147
c000293,conflict,20,314,0,358.7,388.4,29.69999999999999,26.399999999999977,83,2,0.024917882,0.71553594,0.2595461,0,1,-2.0,1,1,0.4558105307744442
c000296,conflict,21,314,0,452.7,474.6,21.90000000000003,21.90000000000003,54,1,0.015603686,0.70364237,0.280754,0,1,-5.0,1,3,0.396979489280062
c000312,conflict,22,314,0,939.0,948.6,9.600000000000025,9.600000000000025,29,1,0.01494295,0.8807316,0.10432554,0,1,-5.0,0,2,0.5102658127147307
c000325,conflict,23,314,0,1318.5,1334.8,16.299999999999955,15.200000000000044,51,2,0.033303566,0.71540785,0.2512886,0,1,-2.0,2,2,0.3949982015774463
c000333,conflict,24,315,0,197.9,231.8,33.900000000000006,27.5,72,3,0.009718586,0.864901,0.1253804,0,1,1.0,2,1,0.665712730320693
c000335,conflict,25,315,0,289.5,320.5,31.0,21.200000000000045,43,3,0.012685598,0.854168,0.13314633,0,1,-7.0,0,3,0.4267282772469257
c000337,conflict,26,315,0,379.5,429.3,49.80000000000001,48.400000000000034,114,2,0.015022131,0.81246406,0.17251381,0,1,2.0,2,1,0.3972528304390719
c000344,conflict,27,315,0,646.2,698.1,51.89999999999998,38.0,97,5,0.009443217,0.85926634,0.13129039,0,1,-13.5,0,5,0.6172833269246162
c000345,conflict,28,315,0,700.9,728.8,27.899999999999977,22.100000000000023,61,3,0.007865168,0.8488288,0.14330606,0,1,-9.6,0,5,0.3898702707842261
c000389,conflict,29,318,0,259.6,297.9,38.299999999999955,17.199999999999932,48,7,0.022892484,0.79785377,0.17925373,0,1,0.6000000000000001,2,1,0.3571463013408985
c000428,conflict,30,321,1,110.2,134.3,24.10000000000001,16.200000000000003,59,3,0.86702895,0.016140087,0.11683102,1,0,10.0,4,0,0.1698547408123622
c000434,conflict,31,321,1,324.3,378.1,53.80000000000001,15.800000000000011,45,6,0.9799249,0.0076126247,0.01246247,1,0,20.5,6,0,0.4500816581133381
c000441,conflict,32,321,1,672.7,705.9,33.19999999999993,14.399999999999864,44,3,0.9059524,0.008444782,0.08560286,1,0,9.0,4,0,0.5290719245600528
c000475,conflict,33,323,0,284.9,311.5,26.600000000000023,14.600000000000025,49,4,0.015070265,0.7412424,0.24368721,0,1,-1.0,2,3,0.475089825835575
c000480,conflict,34,323,0,472.7,489.6,16.900000000000034,13.300000000000011,43,2,0.037276007,0.71525604,0.24746798,0,1,-2.0,0,1,0.4006413848110147
c000548,conflict,35,327,0,278.8,302.9,24.09999999999997,16.30000000000001,63,2,0.019795693,0.74601007,0.23419425,0,1,-4.0,2,2,0.5291233612250671
c000562,conflict,36,328,0,166.5,196.3,29.80000000000001,20.5,56,3,0.0077513284,0.93052596,0.06172267,0,1,-16.5,1,5,0.5073690857984112
c000563,conflict,37,328,0,198.9,232.4,33.5,28.0,72,2,0.019105034,0.85504586,0.12584908,0,1,-6.5,1,5,0.3828377125963483
c000564,conflict,38,328,0,242.1,282.8,40.70000000000002,40.70000000000002,122,1,0.01589819,0.80760646,0.1764954,0,1,-1.0,3,3,0.5349974469221699
c000589,conflict,39,329,0,210.8,239.2,28.399999999999977,19.89999999999995,40,3,0.017426709,0.835982,0.1465913,0,1,-5.0,2,4,0.4457961194478123
c000642,conflict,40,332,1,295.2,346.7,51.5,30.299999999999955,84,8,0.8429451,0.023504756,0.1335501,1,0,14.5,10,0,0.262386041501637
c000644,conflict,41,332,1,378.1,410.4,32.299999999999955,9.900000000000034,26,7,0.8199098,0.051503174,0.12858702,1,0,7.5,2,0,0.3399733427701288
c000649,conflict,42,332,1,599.0,621.9,22.899999999999977,18.499999999999886,45,4,0.9269342,0.013104044,0.0599618,1,0,15.5,9,2,0.5246563773591552
c000654,conflict,43,332,1,782.7,800.9,18.199999999999932,16.399999999999977,43,2,0.8817172,0.011672191,0.10661057,1,0,6.0,3,0,0.3301670265135505
c000656,conflict,44,332,1,831.0,861.9,30.899999999999977,17.899999999999977,45,4,0.8122446,0.031823535,0.15593186,1,0,11.0,5,1,0.2758483016090605
c000810,conflict,45,338,1,0.0,92.6,92.6,20.60000000000001,40,12,0.95687246,0.004172527,0.03895498,1,0,12.0,4,0,0.4524098521614539
c000820,conflict,46,338,1,371.0,399.3,28.30000000000001,16.69999999999999,45,3,0.9578989,0.008507295,0.03359381,1,0,13.0,4,0,0.4873867645885978
c000821,conflict,47,338,1,401.3,411.1,9.800000000000011,9.800000000000011,33,1,0.74957454,0.039147586,0.21127784,1,0,4.0,2,1,0.4744658801625885
c000822,conflict,48,338,1,427.3,450.4,23.09999999999997,19.899999999999977,53,2,0.8459323,0.02730389,0.12676388,1,0,12.0,4,0,0.3299577010998201
c000824,conflict,49,338,1,481.7,514.1,32.400000000000034,21.5,66,3,0.98042023,0.0029514546,0.016628308,1,0,26.0,10,0,0.5109073349817679
c000825,conflict,50,338,1,522.6,542.0,19.399999999999977,19.399999999999977,61,1,0.9756659,0.0058372123,0.018496891,1,0,14.0,4,0,0.3547458703488966
c000847,conflict,51,340,0,104.8,164.3,59.500000000000014,18.00000000000007,48,8,0.011035858,0.8717711,0.11719308,0,1,-2.5,1,2,0.6341825200379185
c000931,conflict,52,345,1,1.9,26.8,24.9,12.999999999999996,36,6,0.96278644,0.0045189294,0.03269461,1,0,10.3,6,0,0.3252408385384585
c000932,conflict,53,345,1,50.6,86.0,35.4,22.40000000000001,64,5,0.8716425,0.02486545,0.103492044,1,0,3.0,4,3,0.2913152762707945
c000935,conflict,54,345,1,147.3,168.8,21.5,21.5,54,1,0.8647097,0.016447298,0.118843056,1,0,11.0,8,2,0.3692062636472405
c000939,conflict,55,345,1,266.2,291.2,25.0,18.300000000000068,47,3,0.95891505,0.007817795,0.03326711,1,0,4.25,2,0,0.579610854175947
c000940,conflict,56,345,1,293.8,317.2,23.399999999999977,21.399999999999977,52,2,0.9889425,0.0031846808,0.007872758,1,0,21.0,7,0,0.3385842905663052
c000941,conflict,57,345,1,323.8,340.5,16.69999999999999,16.69999999999999,40,1,0.87752616,0.03241187,0.09006193,1,0,4.5,3,2,0.4375591960408373
c000942,conflict,58,345,1,344.7,363.2,18.5,16.400000000000034,51,2,0.9838976,0.0032487218,0.012853663,1,0,19.5,7,0,0.354227294188203
c000947,conflict,59,345,1,534.8,557.7,22.90000000000009,17.200000000000045,41,3,0.93972087,0.009008303,0.051270906,1,0,3.0,2,1,0.7107632706640657
c000948,conflict,60,345,1,563.2,574.9,11.699999999999932,11.699999999999932,42,1,0.91318375,0.015682321,0.071134,1,0,6.0,3,0,0.38365882506165
c000949,conflict,61,345,1,580.9,614.8,33.89999999999998,23.299999999999955,49,4,0.94536006,0.010892022,0.04374788,1,0,6.5,3,1,0.4924558381616052
c000952,conflict,62,345,1,702.8,738.1,35.30000000000007,26.800000000000068,83,4,0.82843685,0.020892128,0.15067104,1,0,26.1,14,1,0.5587711656254599
c000953,conflict,63,345,1,740.0,763.2,23.200000000000045,19.5,58,2,0.9764814,0.0027127727,0.02080577,1,0,31.0,12,0,0.4354386375841239
c000954,conflict,64,346,1,17.2,83.9,66.7,13.500000000000014,42,8,0.974035,0.0060491525,0.019915763,1,0,11.0,4,0,0.4628140054244167
c000956,conflict,65,346,1,124.3,163.1,38.8,28.59999999999998,88,4,0.94129276,0.009830745,0.048876453,1,0,10.5,4,1,0.3924552920835881
c000957,conflict,66,346,1,167.9,228.5,60.599999999999994,35.499999999999915,73,7,0.822717,0.015737131,0.16154584,1,0,14.5,5,0,0.4416053899371142
c000971,conflict,67,346,1,643.7,665.8,22.09999999999991,17.09999999999991,54,4,0.96774286,0.006609129,0.025647962,1,0,12.0,3,0,0.6192522773846256
c000972,conflict,68,346,1,668.6,708.6,40.0,25.199999999999932,69,6,0.9167184,0.028890554,0.054391026,1,0,5.5,4,2,0.4696346276274691
c000974,conflict,69,346,1,725.1,741.5,16.399999999999977,13.799999999999956,46,3,0.7349457,0.055697244,0.20935702,1,0,0.0,3,3,0.404345091464365
c000982,conflict,70,346,1,1003.0,1079.6,76.59999999999991,30.09999999999968,68,9,0.80141836,0.05747954,0.14110208,1,0,10.85,6,1,0.4709956229291118
c000983,conflict,71,346,1,1081.1,1093.1,12.0,12.0,43,1,0.93525416,0.014908271,0.049837578,1,0,-1.0,1,1,0.561524242918479
c000984,conflict,72,346,1,1094.8,1138.2,43.40000000000009,19.100000000000136,47,6,0.97003144,0.008564139,0.021404376,1,0,15.0,6,1,0.3918752996586235
c000985,conflict,73,346,1,1142.1,1150.8,8.700000000000045,7.0,26,2,0.7954763,0.019398883,0.1851248,1,0,6.0,2,0,0.4210639203125953
c000986,conflict,74,346,1,1163.9,1198.1,34.19999999999982,9.100000000000136,27,6,0.8651932,0.011126789,0.123680025,1,0,7.0,3,0,0.3228434538654069
c000988,conflict,75,347,1,29.5,122.7,93.2,19.300000000000004,54,11,0.95110184,0.0068625016,0.042035636,1,0,15.6,7,1,0.3595436846098129
c000990,conflict,76,347,1,183.9,206.8,22.90000000000001,8.199999999999989,32,4,0.7736945,0.10305985,0.123245664,1,0,3.5999999999999996,3,1,0.4831534685416812
c000993,conflict,77,347,1,332.3,366.1,33.80000000000001,12.900000000000034,41,5,0.90588987,0.012754369,0.08135574,1,0,6.0,3,2,0.3713773826890169
c000995,conflict,78,347,1,410.5,451.6,41.10000000000002,17.900000000000034,49,4,0.7995597,0.015311987,0.18512824,1,0,6.2,3,0,0.5109207661929112
c001000,conflict,79,348,1,19.9,78.7,58.8,14.100000000000012,47,5,0.9855342,0.0042627403,0.010203007,1,0,18.0,6,0,0.4265210506393748
c001001,conflict,80,348,1,84.6,118.2,33.60000000000001,22.800000000000026,56,6,0.92528784,0.0028479474,0.07186421,1,0,3.0,1,0,0.4008255552169656
c001005,conflict,81,348,1,227.6,251.2,23.59999999999999,18.59999999999999,52,2,0.97925764,0.006954775,0.013787611,1,0,18.0,6,0,0.4662704750087552
c001006,conflict,82,348,1,258.5,288.9,30.399999999999977,13.699999999999989,44,6,0.77746373,0.016547902,0.20598842,1,0,5.0,3,1,0.4154863140539235
c001007,conflict,83,348,1,290.5,309.9,19.399999999999977,14.800000000000011,42,2,0.71918297,0.12235597,0.15846097,1,0,14.0,5,0,0.464968701560695
c001013,conflict,84,348,1,500.4,513.6,13.200000000000044,13.200000000000044,45,1,0.9745768,0.0018787169,0.023544498,1,0,7.0,2,0,0.4664403072803271
c001014,conflict,85,348,1,514.5,565.4,50.89999999999998,18.999999999999886,53,7,0.9207088,0.012833215,0.06645803,1,0,14.8,7,0,0.3974086014721023
c001129,conflict,86,354,1,92.1,112.1,20.0,11.100000000000009,38,3,0.70941603,0.0066296556,0.28395432,1,0,4.0,2,0,0.4707320276688673
c001131,conflict,87,354,1,193.1,252.4,59.30000000000001,19.200000000000045,42,8,0.7473154,0.016582904,0.23610167,1,0,1.0,2,1,0.6183003012067846
c001137,conflict,88,354,1,507.6,549.5,41.89999999999998,15.799999999999956,35,5,0.9786695,0.004020874,0.017309645,1,0,2.0,1,0,0.4618690683566456
c001260,conflict,89,362,1,0.6000000000000001,79.6,79.0,20.399999999999995,54,6,0.9755515,0.003819706,0.020628814,1,0,16.0,7,0,0.2288494479548472
c001263,conflict,90,362,1,177.9,209.9,32.0,13.600000000000025,45,3,0.9528139,0.0044454057,0.042740677,1,0,7.5,2,0,0.4194609156064406
