dataset,layer,probe_auc,answer_auc,above,condition,plotted,curve_column,auc_mean,auc_std,mean_minus_std_above,above_answer_ci_hi,curve_file
pitt,0,0.684076,0.657768,1,AD,plotted,auc,0.688187,0.052679,0,0,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,1,0.672075,0.657768,1,AD,plotted,auc,0.675127,0.038935,0,0,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,2,0.651724,0.657768,0,AD,plotted,auc,0.658544,0.048668,0,0,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,3,0.664481,0.657768,1,AD,plotted,auc,0.671261,0.047238,0,0,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,4,0.673809,0.657768,1,AD,plotted,auc,0.681832,0.047908,0,0,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,5,0.68549,0.657768,1,AD,plotted,auc,0.698708,0.058482,0,0,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,6,0.689985,0.657768,1,AD,plotted,auc,0.69794,0.053683,0,0,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,7,0.717619,0.657768,1,AD,plotted,auc,0.719929,0.033068,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,8,0.731887,0.657768,1,AD,plotted,auc,0.730971,0.039618,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,9,0.713289,0.657768,1,AD,plotted,auc,0.714852,0.046693,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,10,0.739365,0.657768,1,AD,plotted,auc,0.735831,0.049046,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,11,0.72532,0.657768,1,AD,plotted,auc,0.727934,0.048485,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,12,0.716273,0.657768,1,AD,plotted,auc,0.728465,0.055005,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,13,0.740043,0.657768,1,AD,plotted,auc,0.746585,0.049758,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,14,0.732487,0.657768,1,AD,plotted,auc,0.733197,0.061781,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,15,0.757885,0.657768,1,AD,plotted,auc,0.764092,0.05168,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,16,0.766931,0.657768,1,AD,plotted,auc,0.775664,0.057611,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,17,0.762573,0.657768,1,AD,plotted,auc,0.771893,0.055992,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,18,0.761565,0.657768,1,AD,plotted,auc,0.773236,0.050448,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,19,0.776395,0.657768,1,AD,plotted,auc,0.786374,0.062739,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,20,0.768055,0.657768,1,AD,plotted,auc,0.77754,0.044967,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,21,0.796649,0.657768,1,AD,plotted,auc,0.805258,0.040814,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,22,0.796571,0.657768,1,AD,plotted,auc,0.807161,0.042901,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,23,0.803216,0.657768,1,AD,plotted,auc,0.81397,0.049186,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,24,0.795041,0.657768,1,AD,plotted,auc,0.803989,0.047852,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,25,0.795796,0.657768,1,AD,plotted,auc,0.806242,0.034794,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,26,0.799002,0.657768,1,AD,plotted,auc,0.807463,0.017486,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,27,0.80833,0.657768,1,AD,plotted,auc,0.819615,0.024967,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,28,0.792435,0.657768,1,AD,plotted,auc,0.805578,0.023565,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,29,0.788977,0.657768,1,AD,plotted,auc,0.802328,0.034192,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,30,0.794576,0.657768,1,AD,plotted,auc,0.80596,0.036476,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
pitt,31,0.790837,0.657768,1,AD,plotted,auc,0.80693,0.027333,1,1,/Users/chaitanyaparwatkar/Desktop/release/overnight/curves/omni/pitt_encoder.csv
adresso,0,0.741304,0.615039,1,AD,omitted,auc_oof,0.741839,0.062814,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,1,0.75866,0.615039,1,AD,omitted,auc_oof,0.756193,0.053936,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,2,0.790948,0.615039,1,AD,omitted,auc_oof,0.791866,0.032432,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,3,0.802067,0.615039,1,AD,omitted,auc_oof,0.799359,0.03951,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,4,0.814754,0.615039,1,AD,omitted,auc_oof,0.812306,0.022527,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,5,0.822773,0.615039,1,AD,omitted,auc_oof,0.824528,0.022385,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,6,0.821454,0.615039,1,AD,omitted,auc_oof,0.821871,0.041605,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,7,0.836707,0.615039,1,AD,omitted,auc_oof,0.83756,0.048349,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,8,0.842837,0.615039,1,AD,omitted,auc_oof,0.840275,0.041231,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,9,0.85253,0.615039,1,AD,omitted,auc_oof,0.843899,0.040623,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,10,0.852744,0.615039,1,AD,omitted,auc_oof,0.8429,0.036195,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,11,0.861155,0.615039,1,AD,omitted,auc_oof,0.856678,0.023578,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,12,0.854597,0.615039,1,AD,omitted,auc_oof,0.846077,0.034812,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,13,0.852673,0.615039,1,AD,omitted,auc_oof,0.84165,0.03335,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,14,0.838917,0.615039,1,AD,omitted,auc_oof,0.825734,0.03534,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,15,0.857092,0.615039,1,AD,omitted,auc_oof,0.853658,0.031685,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,16,0.859658,0.615039,1,AD,omitted,auc_oof,0.852387,0.022116,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,17,0.878974,0.615039,1,AD,omitted,auc_oof,0.872,0.025932,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,18,0.867855,0.615039,1,AD,omitted,auc_oof,0.858804,0.0282,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,19,0.869494,0.615039,1,AD,omitted,auc_oof,0.856744,0.028731,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,20,0.871062,0.615039,1,AD,omitted,auc_oof,0.86231,0.034945,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,21,0.86814,0.615039,1,AD,omitted,auc_oof,0.863823,0.039915,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,22,0.87876,0.615039,1,AD,omitted,auc_oof,0.874518,0.039122,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,23,0.867712,0.615039,1,AD,omitted,auc_oof,0.863482,0.031725,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,24,0.885032,0.615039,1,AD,omitted,auc_oof,0.883636,0.04584,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,25,0.887455,0.615039,1,AD,omitted,auc_oof,0.883916,0.044066,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,26,0.894797,0.615039,1,AD,omitted,auc_oof,0.891306,0.044248,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,27,0.902994,0.615039,1,AD,omitted,auc_oof,0.898473,0.042298,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
adresso,28,0.9,0.615039,1,AD,omitted,auc_oof,0.89239,0.043993,1,1,/Users/chaitanyaparwatkar/Desktop/release/omni_final/omni_adresso_encoder_perlayer.csv
