model,stream,arm,version,value,lo,hi,n_rows,n_segments,n_spk,n_pos,n_neg,usable_draws,source
Qwen2.5-Omni,audio,conflict,distinct_483,0.2218,0.1829,0.2632,483,483,138,205,278,2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_o25_zeroshot_scores.csv
Qwen2.5-Omni,audio,agreement,OLD_483rows,0.9482,0.9039,0.9828,483,311,138,205,278,2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_o25_zeroshot_scores.csv
Qwen2.5-Omni,audio,agreement,NEW_311distinct,0.9647,0.9376,0.9857,311,311,138,104,207,2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_o25_zeroshot_scores.csv
Qwen2.5-Omni,audio,conflict_minus_agreement(SUPPLEMENTARY),NEW_311distinct,-0.7429,-0.7869,-0.6944,794,794,138,,,2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_o25_zeroshot_scores.csv
Qwen2.5-Omni,audio,conflict_minus_agreement(SUPPLEMENTARY),OLD_483rows,-0.7264,-0.7786,-0.6655,966,794,138,,,2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_o25_zeroshot_scores.csv
Qwen2-Audio,audio,conflict,distinct_483,0.228,0.1816,0.2782,483,483,138,205,278,2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_q2a_zeroshot_scores.csv
Qwen2-Audio,audio,agreement,OLD_483rows,0.9478,0.9128,0.9762,483,311,138,205,278,2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_q2a_zeroshot_scores.csv
Qwen2-Audio,audio,agreement,NEW_311distinct,0.9608,0.9351,0.9814,311,311,138,104,207,2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_q2a_zeroshot_scores.csv
Qwen2-Audio,audio,conflict_minus_agreement(SUPPLEMENTARY),NEW_311distinct,-0.7328,-0.778,-0.6837,794,794,138,,,2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_q2a_zeroshot_scores.csv
Qwen2-Audio,audio,conflict_minus_agreement(SUPPLEMENTARY),OLD_483rows,-0.7198,-0.7689,-0.6679,966,794,138,,,2000,/Users/chaitanyaparwatkar/Desktop/release/edaic_rerun/part14/p14_q2a_zeroshot_scores.csv
