id,cell,metric,estimator,used,value,lo,hi,draws_used,n,n_spk,note
T3_all_cos,all,"cos(probe direction, Yes-minus-No readout direction)",full fit,yes,0.01451856735,,,,468,228,"probe direction = mean over folds of coef/scale, unit length"
T3_all_cos_bootCI,all,"cos, speaker bootstrap with probe refit per draw",full fit,secondary,0.01292388116,-0.002023888065,0.02768269038,2000,468,228,value column is the bootstrap mean; point estimate is T3_all_cos
T3_floor_vs_d,all,random floor mean|cos| vs readout direction d,"fresh default_rng(0), 2000 dirs",yes,0.01228550991,0.0004766896202,0.03211052635,2000,468,228,verifier's and part10's reference vector
T3_floor_vs_probe,all,random floor mean|cos| vs probe direction,"fresh default_rng(0), 2000 dirs",secondary,0.01239288332,0.0004815001506,0.03432580216,2000,468,228,task text and q3o script's reference vector
T3_all_probe,all,probe AUC out of fold,full 468 OOF,yes,0.8222975591,0.7742119901,0.8670694746,2000,468,228,
T3_all_proj_d,all,AUC along readout direction (X.d),full 468 OOF,yes,0.6173576133,0.5539496649,0.679964342,2000,468,228,
T3_all_perp_z,all,probe AUC with readout direction projected out (within-fold z),full 468 OOF,yes,0.8113521891,0.7646380456,0.8576748256,2000,468,228,
T3_all_keep_z,all,"matched control: same pooling, d kept (within-fold z)",full 468 OOF,secondary,0.8118752422,0.7649008026,0.8576724792,2000,468,228,
T3_conflict_probe,conflict,probe AUC out of fold,full 468 OOF restricted to arm (DECIDED),yes,0.6178217822,0.5122978216,0.7221651513,2000,146,100,
T3_conflict_proj_d,conflict,AUC along readout direction (X.d),full 468 OOF restricted to arm (DECIDED),yes,0.4136413641,0.3010102507,0.5424246308,2000,146,100,
T3_conflict_perp_z,conflict,probe AUC with readout direction projected out (within-fold z),full 468 OOF restricted to arm (DECIDED),yes,0.601320132,0.4928512525,0.7114159506,2000,146,100,
T3_conflict_keep_z,conflict,"matched control: same pooling, d kept (within-fold z)",full 468 OOF restricted to arm (DECIDED),secondary,0.602860286,0.4961473454,0.7122884451,2000,146,100,
T3_agreement_probe,agreement,probe AUC out of fold,full 468 OOF restricted to arm (DECIDED),yes,0.8987946056,0.8597583468,0.9328316274,2000,322,175,
T3_agreement_proj_d,agreement,AUC along readout direction (X.d),full 468 OOF restricted to arm (DECIDED),yes,0.6983729164,0.6373243157,0.7592350436,2000,322,175,
T3_agreement_perp_z,agreement,probe AUC with readout direction projected out (within-fold z),full 468 OOF restricted to arm (DECIDED),yes,0.8897243108,0.8485954088,0.9260849838,2000,322,175,
T3_agreement_keep_z,agreement,"matched control: same pooling, d kept (within-fold z)",full 468 OOF restricted to arm (DECIDED),secondary,0.8899232208,0.8491085737,0.9263748208,2000,322,175,
T3_paired_perp_z,conflict-agreement,"paired difference, perp_z","full 468 OOF restricted to arm (DECIDED), paired speaker bootstrap",yes,-0.2884041788,-0.3883539504,-0.1815288101,2000,468,228,
T3_paired_probe,conflict-agreement,"paired difference, probe","full 468 OOF restricted to arm (DECIDED), paired speaker bootstrap",secondary,-0.2809728234,-0.379895221,-0.1762125227,2000,468,228,
T3_paired_proj_d,conflict-agreement,"paired difference, proj_d","full 468 OOF restricted to arm (DECIDED), paired speaker bootstrap",secondary,-0.2847315523,-0.3946531976,-0.1475219394,2000,468,228,
T3_conflict_refit_cos,conflict,"cos(probe direction, arm's own readout direction)",refit within arm,no (not used),0.005429282654,,,,146,100,
T3_conflict_refit_probe,conflict,probe AUC out of fold,refit within arm,no (not used),0.6756875688,0.5684735043,0.7761307647,2000,146,100,
T3_conflict_refit_proj_d,conflict,AUC along arm's own readout direction,refit within arm,no (not used),0.4136413641,0.3010102507,0.5424246308,2000,146,100,
T3_conflict_refit_perp_z,conflict,"probe AUC, readout direction projected out (within-fold z)",refit within arm,no (not used),0.6743674367,0.5729530452,0.7702626848,2000,146,100,
T3_agreement_refit_cos,agreement,"cos(probe direction, arm's own readout direction)",refit within arm,no (not used),0.01474852985,,,,322,175,
T3_agreement_refit_probe,agreement,probe AUC out of fold,refit within arm,no (not used),0.9316943152,0.9020373629,0.9578185086,2000,322,175,
T3_agreement_refit_proj_d,agreement,AUC along arm's own readout direction,refit within arm,no (not used),0.6983729164,0.6373243157,0.7592350436,2000,322,175,
T3_agreement_refit_perp_z,agreement,"probe AUC, readout direction projected out (within-fold z)",refit within arm,no (not used),0.9242153002,0.8931647605,0.9510465584,2000,322,175,
