all_probe,all_perp_z,conflict_probe,conflict_perp_z,agreement_probe,agreement_perp_z,paired_perp_z,random_state
0.8175319644,0.8116815188,0.6396039604,0.6297029703,0.8844333055,0.8823248598,-0.2526218895,0
0.8104804339,0.8091049981,0.596479648,0.5929592959,0.8902414767,0.888411505,-0.295452209,1
0.8117977528,0.8156528477,0.602860286,0.6206820682,0.8899232208,0.8886104149,-0.2679283467,2
0.8247191011,0.8253196435,0.6314631463,0.6358635864,0.8971237618,0.8967657238,-0.2609021375,3
0.8129213483,0.8123401782,0.6191419142,0.6233223322,0.8892469268,0.887854557,-0.2645322248,4
0.8081557536,0.8047462224,0.6090209021,0.6209020902,0.8828818077,0.8754027927,-0.2545007025,5
0.8109841147,0.8078264239,0.6352035204,0.6345434543,0.88073358,0.8753232287,-0.2407797744,6
0.8078457962,0.8151297947,0.6083608361,0.6299229923,0.8847515614,0.887735211,-0.2578122187,7
0.8224137931,0.8226075165,0.6358635864,0.6402640264,0.8950153161,0.8921112305,-0.2518472041,8
0.8153041457,0.8061410306,0.6215621562,0.6059405941,0.8892867088,0.8821657318,-0.2762251377,9
0.7968229368,0.799941883,0.59779978,0.600660066,0.8723395791,0.8746469348,-0.2739868688,10
0.8165246029,0.8183262301,0.6719471947,0.6796479648,0.873493257,0.8758801766,-0.1962322118,11
0.8091437427,0.7989732662,0.6057205721,0.5938393839,0.8862632772,0.8757608306,-0.2819214467,12
0.8149554436,0.8125145293,0.6127612761,0.6055005501,0.8905199507,0.8895254008,-0.2840248507,13
0.8080782642,0.8154010074,0.5889988999,0.6134213421,0.8918327565,0.8917929745,-0.2783716324,14
0.8174351027,0.8296009299,0.603960396,0.6314631463,0.8987946056,0.9036877909,-0.2722246446,15
0.7960480434,0.7840953119,0.5817381738,0.597139714,0.8765564705,0.8563869992,-0.2592472853,16
0.8361681519,0.8344633863,0.6501650165,0.6620462046,0.91045073,0.9046823408,-0.2426361362,17
0.8141999225,0.8151104223,0.596259626,0.600220022,0.8942196762,0.8944185861,-0.2941985641,18
0.8194885703,0.8158853158,0.600880088,0.603520352,0.9014997812,0.8964872499,-0.2929668978,19
0.8011235955,0.7995931809,0.599119912,0.601980198,0.880654016,0.8765962525,-0.2746160545,20
0.8115846571,0.8043975203,0.597359736,0.5786578658,0.888292159,0.8837570116,-0.3050991458,21
0.8250290585,0.8251840372,0.6070407041,0.604840484,0.9064725305,0.9053188527,-0.3004783686,22
0.8147810926,0.8102673382,0.6121012101,0.6118811881,0.8884910689,0.8843935235,-0.2725123354,23
0.7995156916,0.7983727238,0.5892189219,0.5843784378,0.8791423002,0.8787842622,-0.2944058244,24
0.8086788067,0.8049399458,0.6213421342,0.6288228823,0.8852289454,0.8779886223,-0.2491657401,25
0.8006392871,0.800290585,0.5760176018,0.5782178218,0.8843139595,0.8784262243,-0.3002084025,26
0.8132313057,0.7944401395,0.6222222222,0.6171617162,0.8860643673,0.8629510284,-0.2457893122,27
0.7960867881,0.7870011623,0.5865786579,0.5749174917,0.8782670963,0.8706687353,-0.2957512436,28
0.8318287485,0.830240217,0.6382838284,0.6409240924,0.9092572702,0.9046425588,-0.2637184664,29
0.782894227,0.7839597055,0.5788778878,0.5931793179,0.8611210566,0.8545172455,-0.2613379276,30
0.8032739248,0.8010654785,0.60440044,0.600440044,0.8750845367,0.8740104229,-0.2735703789,31
0.7965517241,0.7965323518,0.6171617162,0.6281628163,0.8695946215,0.8666507539,-0.2384879376,32
0.8169120496,0.8092599768,0.6323432343,0.6299229923,0.8904006047,0.8798583761,-0.2499353838,33
0.8224912824,0.8205346765,0.604180418,0.6070407041,0.9022158571,0.8975613637,-0.2905206597,34
0.8246803565,0.8198179,0.6193619362,0.6253025303,0.903051279,0.895771174,-0.2704686437,35
0.8129213483,0.8073033708,0.6396039604,0.6457645765,0.880614234,0.8703504794,-0.2245859029,36
0.7939364587,0.7937621077,0.5698569857,0.5749174917,0.8783466603,0.8773521104,-0.3024346187,37
0.821658272,0.8175513367,0.6140814081,0.6143014301,0.8962087759,0.8895254008,-0.2752239707,38
0.7999612553,0.7983339791,0.5909790979,0.598239824,0.8763973426,0.8714643752,-0.2732245512,39
0.7922316931,0.7851026734,0.5691969197,0.5696369637,0.8777499304,0.8682420337,-0.29860507,40
0.7689267726,0.7705927935,0.5698569857,0.5799779978,0.8491864582,0.8488682023,-0.2688902045,41
0.8061410306,0.8072452538,0.60330033,0.596919692,0.8850698174,0.8884910689,-0.291571377,42
0.8038938396,0.7924060442,0.5944994499,0.5854785479,0.8818474758,0.8715837212,-0.2861051734,43
0.8106160403,0.8107903913,0.6387238724,0.6499449945,0.8776305844,0.8749254088,-0.2249804143,44
0.806334754,0.7939558311,0.599339934,0.5859185919,0.8908382066,0.8770338545,-0.2911152626,45
0.8115071678,0.8099767532,0.6462046205,0.6497249725,0.8761586506,0.8746071528,-0.2248821803,46
0.8253583882,0.822006974,0.6151815182,0.6275027503,0.9015395632,0.8937820742,-0.266279324,47
0.8054823712,0.8079814026,0.6259625963,0.6147414741,0.8780681863,0.8823248598,-0.2675833856,48
0.8121077102,0.8117590081,0.6057205721,0.598239824,0.8919918845,0.8942594582,-0.2960196342,49
