clip_id,seg_uid,set,pair_id,speaker_id,p_o25,p_q2a,p_q3o,p_af2,p_af3,p_kimi,p_o25t,p_q2at,n_repeats_in_483,first_manifest_row
agreement_301_a000030,a000030,agreement,0,301,0.1404418248255309,0.9399119520086736,0.1066875334047949,0.6366311922193941,0.4697489989766162,0.8771504861141379,0.0901181792008244,0.001432862313757,1,483
agreement_301_a000018,a000018,agreement,1,301,0.0901705393587027,0.9539638941145676,0.0059115566285528,0.6174273347900444,0.4390801920366211,0.8348253521945669,0.0351526535526271,0.0128219969891345,1,484
agreement_302_a000045,a000045,agreement,2,302,0.1481494361363966,0.9504074868497042,0.1480585766471933,0.6555762401220904,0.9241756747883774,0.8645864615082445,0.1008966947130715,0.7401542196991354,1,485
agreement_302_a000033,a000033,agreement,3,302,0.2691749578713486,0.9184787232827336,0.0140651696409091,0.6610072736905601,0.7314820977523004,0.6471102981092309,0.0179894088381343,0.0161538712292211,1,486
agreement_303_a000049,a000049,agreement,4,303,0.0637490312793992,0.4882750412954775,0.0046099986453026,0.5801813765383647,0.5624917713648435,0.558594772098116,0.0169182572124062,0.2227083910070636,1,487
agreement_306_a000143,a000143,agreement,5,306,0.1259813188149384,0.1755384704442499,0.0124320527497878,0.5047507459485562,0.5005789065592895,0.1841767649689726,0.1067120743889459,0.7090128804900188,1,488
agreement_306_a000141,a000141,agreement,6,306,0.156257440950741,0.9954965086459936,0.0229795416678387,0.4973189122826655,0.8529446149726,0.1341933120295036,0.047437700369502,0.6893094262621626,1,489
agreement_306_a000152,a000152,agreement,7,306,0.1128438643247187,0.908613964472764,0.0229796873251415,0.5380196961850624,0.5017645628827246,0.3872130383779381,0.050340967388032,0.4187021404842279,1,490
agreement_307_a000160,a000160,agreement,8,307,0.2339286976104544,0.9473787392556028,0.009709370564428,0.5617617989548825,0.9050382418765434,0.2026045826649577,0.1008986151305926,0.9507768091884148,3,491
agreement_307_a000167,a000167,agreement,10,307,0.2121720034126358,0.1895244698547533,0.0085778788186638,0.5214886711135049,0.3490553672502704,0.4010349262582109,0.1824545659122359,0.9329345228938288,1,493
agreement_308_a000193,a000193,agreement,12,308,0.9466937096278772,0.9998803899996396,0.9986742423563458,0.5306537544067429,0.9772476198919314,0.9966447198681486,0.943363117082807,0.9998232320852308,4,495
agreement_308_a000189,a000189,agreement,14,308,0.8742143171040679,0.9995043900292389,0.9959281405437164,0.5582590220841923,0.946722730525014,0.9974863712415984,0.9840972652880636,0.9999426013863364,1,497
agreement_311_a000243,a000243,agreement,17,311,0.3926643672207421,0.9988394669394745,0.8519424468659136,0.6006613030048201,0.592792126874005,0.987476189258153,0.377596557505916,0.99242242544298,1,500
agreement_312_a000262,a000262,agreement,18,312,0.1646332656307878,0.988667613604618,0.0159075212788722,0.6274047343959673,0.3489117103125725,0.5302490636872649,0.1403581516548146,0.9906589141137402,1,501
agreement_314_a000301,a000301,agreement,19,314,0.1128807826347464,0.7931019148933134,0.0229797359157238,0.6067192785701,0.5929930999238907,0.878409389243673,0.0637261047933676,0.0136381588055053,1,502
agreement_314_a000310,a000310,agreement,20,314,0.1734798189861958,0.8289346344111014,0.1329686062968322,0.6365557861560578,0.2454301777814822,0.6494830836162743,0.2337424684867541,0.9818750890417408,1,503
agreement_314_a000319,a000319,agreement,21,314,0.2122545751723199,0.9678978851402386,0.033088572486488,0.606584586226214,0.2690863581836666,0.8771389218010551,0.0396490096415171,0.782668585150198,1,504
agreement_314_a000305,a000305,agreement,22,314,0.1646368351602374,0.9962924309044008,0.0293156319882206,0.6081625434964821,0.2019395798169869,0.4994880539142994,0.1259452137904654,0.611394211343746,2,505
agreement_315_a000349,a000349,agreement,24,315,0.1481562707200263,0.9895104981240762,0.1329745087578404,0.690959712317303,0.6522448522425672,0.9375332590128456,0.0351532446582593,0.1623797316597096,1,507
agreement_315_a000351,a000351,agreement,25,315,0.1734039166738954,0.3007468678302384,0.245065171355075,0.6819521273358239,0.6226127521539522,0.833810116970386,0.0275898626794588,0.0627902335264954,2,508
agreement_315_a000342,a000342,agreement,26,315,0.1734562125220838,0.8740757122713297,0.4073285377253768,0.6802582269502929,0.4692760907732733,0.971467523013932,0.0803748190970953,0.0450187252553957,2,509
agreement_318_a000394,a000394,agreement,29,318,0.212204912873737,0.550612585024685,0.0758573949913159,0.6195514346296496,0.5930209535479856,0.9753243781261296,0.0066942988389372,0.0035110597948043,1,512
agreement_321_a000435,a000435,agreement,30,321,0.9604169516538096,0.9999570103896948,0.9986743847401116,0.6143745133674389,0.9933073212913,0.9727224669484776,0.9914229321518664,0.9999812143325354,1,513
agreement_321_a000439,a000439,agreement,31,321,0.3210789452713433,0.9974087442046924,0.7310427083065049,0.6449844110599366,0.500587095081582,0.9902133244667078,0.7982137512045043,0.9979005939034226,1,514
agreement_321_a000436,a000436,agreement,32,321,0.9604289385201152,0.9998910897738672,0.998497741493662,0.6370147386488053,0.9890150930553312,0.9759375816523624,0.9919372096777156,0.9998756004422128,1,515
