clip_id,seg_uid,set,pair_id,speaker_id,p_o25,p_q2a,p_q3o,p_af2,p_af3,p_kimi,p_o25t,p_q2at,in_distinct_set,n_repeats_in_arm
conflict_301_c000010,c000010,conflict,0,301,0.1646132290669454,0.9777128777452612,0.085106505230439,0.6616517514397835,0.5935074971553204,0.5602014869808666,0.2451135600961688,0.991149638204006,1,1
conflict_301_c000015,c000015,conflict,1,301,0.2228549089532157,0.9996229271082802,0.3486312323965184,0.6639693415310965,0.3517434424140244,0.8150455416101392,0.5312295420677513,0.9990375104530748,1,1
conflict_302_c000036,c000036,conflict,2,302,0.5624690980370193,0.999116880144822,0.5312118364639913,0.6803004443696895,0.5934818878075723,0.9317567177902968,0.1128201805840918,0.0399383463489076,1,1
conflict_302_c000040,c000040,conflict,3,302,0.5470325237990288,0.9991895577572244,0.932446342654634,0.6372151695185166,0.8672176679526326,0.9939386607000184,0.484434611061824,0.9872758075921818,1,1
conflict_303_c000064,c000064,conflict,4,303,0.4690106590047143,0.9873739139683908,0.5621752412460279,0.4814919938096113,0.6227053488367513,0.8551270343034916,0.6654552730556557,0.9724124551457152,1,1
conflict_306_c000146,c000146,conflict,5,306,0.7433886070276707,0.9992444430337712,0.8807935358721038,0.5004729479307604,0.817680743646679,0.856605702315992,0.5775598887904018,0.9930416384681396,1,1
conflict_306_c000148,c000148,conflict,6,306,0.2569745565558849,0.982556231895452,0.62246069511123,0.4006627202041223,0.29712482883623,0.4958736899613686,0.4225347259500517,0.9989594639264994,1,1
conflict_306_c000149,c000149,conflict,7,306,0.5314132401650804,0.9983254083558069,0.8354843215081368,0.5292835839851281,0.6813790072095842,0.9720179022937636,0.6077167300299177,0.9986004721734886,1,1
conflict_307_c000157,c000157,conflict,8,307,0.6793482797866038,0.980128740310934,0.5926526349450842,0.5915641271797168,0.8526868392698355,0.7272465457297002,0.7773229486603649,0.9947795375127164,1,1
conflict_307_c000159,c000159,conflict,9,307,0.321039829752489,0.9629499190241486,0.2450917407510887,0.5819059347263821,0.6794530221433793,0.8634906786458135,0.4378887903159464,0.9704620831487888,1,1
conflict_307_c000162,c000162,conflict,10,307,0.1260125029635332,0.5311883275694134,0.320813935976848,0.5446183119654129,0.2239015099984063,0.2884238109517001,0.2121123568194191,0.9453921623675172,1,1
conflict_307_c000176,c000176,conflict,11,307,0.5314899409612931,0.9918114414720136,0.3486339731217134,0.5895976258639826,0.7312724288671328,0.9556813483079496,0.4688717888819614,0.972828693538532,1,1
conflict_308_c000181,c000181,conflict,12,308,0.1260322364525337,0.9704640229840692,0.0066935260545463,0.5688665453361619,0.7775272570585873,0.6216361324774599,0.0066945294845747,0.5428745216700835,1,1
conflict_308_c000182,c000182,conflict,13,308,0.156214311702266,0.7853091219209893,0.0293148264926292,0.4139753557986415,0.5628036647014442,0.2027344869942124,0.0229820335974848,0.4921994899931661,1,1
conflict_308_c000185,c000185,conflict,14,308,0.3209795348015029,0.9980731537585856,0.4999979872465179,0.5119990574220096,0.6794846084484463,0.9664588989042872,0.1561349245465419,0.4687994746093065,1,1
conflict_308_c000186,c000186,conflict,15,308,0.1825097996394437,0.9851563218451634,0.1480543647333305,0.4518123410878035,0.3791174396592186,0.7773434723977315,0.2942493433762239,0.9755738223510928,1,1
conflict_308_c000187,c000187,conflict,16,308,0.2228210300763977,0.6548939423698623,0.0534057385412692,0.5516133763203706,0.500219547435493,0.9406882943202166,0.0293184583178062,0.0141743006875279,1,1
conflict_311_c000251,c000251,conflict,17,311,0.2691000030916254,0.9591513296091708,0.2226978458689694,0.6165907669776901,0.1330346849528605,0.9923198448531648,0.0851099797988181,0.3812212662911746,1,1
conflict_312_c000260,c000260,conflict,18,312,0.40753583255791,0.9986540587408774,0.1824252429164329,0.6019296699683536,0.731158931587556,0.2926324543893825,0.3346304522328624,0.9674102181014465,1,1
conflict_314_c000291,c000291,conflict,19,314,0.1646350717239168,0.6224584245915866,0.0373273847908169,0.6024846364489211,0.4087595671431362,0.8921765884044839,0.1067152660846023,0.2568415317650732,1,1
conflict_314_c000293,c000293,conflict,20,314,0.3075942886943605,0.996777318018553,0.0758628477578226,0.615553668127029,0.4380562887028068,0.9321155506851676,0.2568639373107563,0.9866744562207884,1,1
