id,what,value,lo,hi,n,n_spk,excludes_zero,usable_draws,file
T7_zeroshot_answer,"Qwen2.5-Omni zero-shot answer AUC, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",0.8278,0.7703,0.8822,275,275,,2000,scores/part16/EDAICFULL/edaic_full_perclip.csv
T7_published_llm_meanof5,"LM probe, mean of five per-repeat AUCs (pod run, published [0.6918, 0.7062, 0.6893, 0.7055, 0.7078]); NO INTERVAL: per-repeat vectors not saved and not reproducible on Mac, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",0.7001,,,275,275,,2000,scores/part16/EDAICFULL/edaic_full_nested_repeats.json
T7_published_enc_meanof5,"encoder probe, mean of five per-repeat AUCs (pod run, published [0.5964, 0.5826, 0.5962, 0.5608, 0.606]); NO INTERVAL: per-repeat vectors not saved and not reproducible on Mac, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",0.5884,,,275,275,,2000,scores/part16/EDAICFULL/edaic_full_nested_repeats.json
T7_published_ans_meanof5,"answer-state probe, mean of five per-repeat AUCs (pod run, published [0.755, 0.7302, 0.7418, 0.7225, 0.7679]); NO INTERVAL: per-repeat vectors not saved and not reproducible on Mac, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",0.7435,,,275,275,,2000,scores/part16/EDAICFULL/edaic_full_nested_repeats.json
T7_published_proj_meanof5,"projector probe, mean of five per-repeat AUCs (pod run, published [0.551, 0.5618, 0.5795, 0.5653, 0.5474]); NO INTERVAL: per-repeat vectors not saved and not reproducible on Mac, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",0.561,,,275,275,,2000,scores/part16/EDAICFULL/edaic_full_nested_repeats.json
T7_notused_llm_aucofmeanoof,"NOT USED: LM probe AUC of OOF averaged over 5 repeats, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",0.7088,0.6232,0.7874,275,275,,2000,scores/part16/EDAICFULL/edaic_full_perclip.csv
T7_notused_llm_aucofmeanoof_minus_answer,"NOT USED: LM probe (AUC of averaged OOF) minus zero-shot answer, paired, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",-0.119,-0.1995,-0.0478,275,275,yes,2000,scores/part16/EDAICFULL/edaic_full_perclip.csv
T7_notused_enc_aucofmeanoof,"NOT USED: encoder probe AUC of OOF averaged over 5 repeats, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",0.5916,0.511,0.6706,275,275,,2000,scores/part16/EDAICFULL/edaic_full_perclip.csv
T7_notused_enc_aucofmeanoof_minus_answer,"NOT USED: encoder probe (AUC of averaged OOF) minus zero-shot answer, paired, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",-0.2361,-0.3272,-0.1394,275,275,yes,2000,scores/part16/EDAICFULL/edaic_full_perclip.csv
T7_notused_ans_aucofmeanoof,"NOT USED: answer-state probe AUC of OOF averaged over 5 repeats, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",0.7748,0.7041,0.8387,275,275,,2000,scores/part16/EDAICFULL/edaic_full_perclip.csv
T7_notused_ans_aucofmeanoof_minus_answer,"NOT USED: answer-state probe (AUC of averaged OOF) minus zero-shot answer, paired, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",-0.053,-0.1046,-0.0049,275,275,yes,2000,scores/part16/EDAICFULL/edaic_full_perclip.csv
T7_notused_proj_aucofmeanoof,"NOT USED: projector probe AUC of OOF averaged over 5 repeats, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",0.5631,0.479,0.6478,275,275,,2000,scores/part16/EDAICFULL/edaic_full_perclip.csv
T7_notused_proj_aucofmeanoof_minus_answer,"NOT USED: projector probe (AUC of averaged OOF) minus zero-shot answer, paired, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",-0.2646,-0.3575,-0.1667,275,275,yes,2000,scores/part16/EDAICFULL/edaic_full_perclip.csv
T7_PROXYD_llm_meanof5,"PROXY, NOT the paper's value: Mac rerun with the pod's recorded layer picks; LM probe mean of five per-repeat AUCs [0.6915, 0.7055, 0.6887, 0.7057, 0.7072] (published [0.6918, 0.7062, 0.6893, 0.7055, 0.7078] mean 0.7001), E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",0.6997,0.6229,0.7722,275,275,,2000,scores/part17/T7_scratch/T7_oof_repeats_D_mac_podpicks.npz
T7_PROXYD_llm_meanof5_minus_answer,"PROXY, NOT the paper's value: Mac rerun with the pod's recorded layer picks; LM probe mean of five per-repeat AUCs minus zero-shot answer 0.8278, paired, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",-0.128,-0.1999,-0.0632,275,275,yes,2000,scores/part17/T7_scratch/T7_oof_repeats_D_mac_podpicks.npz
T7_PROXYD_enc_meanof5,"PROXY, NOT the paper's value: Mac rerun with the pod's recorded layer picks; encoder probe mean of five per-repeat AUCs [0.5963, 0.5826, 0.5966, 0.561, 0.6061] (published [0.5964, 0.5826, 0.5962, 0.5608, 0.606] mean 0.5884), E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",0.5885,0.5268,0.6525,275,275,,2000,scores/part17/T7_scratch/T7_oof_repeats_D_mac_podpicks.npz
T7_PROXYD_enc_meanof5_minus_answer,"PROXY, NOT the paper's value: Mac rerun with the pod's recorded layer picks; encoder probe mean of five per-repeat AUCs minus zero-shot answer 0.8278, paired, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",-0.2392,-0.3186,-0.1572,275,275,yes,2000,scores/part17/T7_scratch/T7_oof_repeats_D_mac_podpicks.npz
T7_PROXYD_ans_meanof5,"PROXY, NOT the paper's value: Mac rerun with the pod's recorded layer picks; answer-state probe mean of five per-repeat AUCs [0.7563, 0.7304, 0.742, 0.7226, 0.7666] (published [0.755, 0.7302, 0.7418, 0.7225, 0.7679] mean 0.7435), E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",0.7436,0.6797,0.8064,275,275,,2000,scores/part17/T7_scratch/T7_oof_repeats_D_mac_podpicks.npz
T7_PROXYD_ans_meanof5_minus_answer,"PROXY, NOT the paper's value: Mac rerun with the pod's recorded layer picks; answer-state probe mean of five per-repeat AUCs minus zero-shot answer 0.8278, paired, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",-0.0842,-0.1341,-0.037,275,275,yes,2000,scores/part17/T7_scratch/T7_oof_repeats_D_mac_podpicks.npz
T7_PROXYD_proj_meanof5,"PROXY, NOT the paper's value: Mac rerun with the pod's recorded layer picks; projector probe mean of five per-repeat AUCs [0.5513, 0.5618, 0.5794, 0.5655, 0.5472] (published [0.551, 0.5618, 0.5795, 0.5653, 0.5474] mean 0.561), E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",0.5611,0.4872,0.6338,275,275,,2000,scores/part17/T7_scratch/T7_oof_repeats_D_mac_podpicks.npz
T7_PROXYD_proj_meanof5_minus_answer,"PROXY, NOT the paper's value: Mac rerun with the pod's recorded layer picks; projector probe mean of five per-repeat AUCs minus zero-shot answer 0.8278, paired, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",-0.2667,-0.3493,-0.1811,275,275,yes,2000,scores/part17/T7_scratch/T7_oof_repeats_D_mac_podpicks.npz
T7_PROXYA_llm_meanof5,"PROXY, NOT the paper's value: Mac rerun, layers re-selected on Mac; LM probe mean of five per-repeat AUCs [0.6915, 0.6977, 0.6887, 0.7057, 0.7072] (published [0.6918, 0.7062, 0.6893, 0.7055, 0.7078] mean 0.7001), E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",0.6982,0.6215,0.7702,275,275,,2000,scores/part17/T7_scratch/T7_oof_repeats_A.npz
T7_PROXYA_llm_meanof5_minus_answer,"PROXY, NOT the paper's value: Mac rerun, layers re-selected on Mac; LM probe mean of five per-repeat AUCs minus zero-shot answer 0.8278, paired, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",-0.1296,-0.2019,-0.063,275,275,yes,2000,scores/part17/T7_scratch/T7_oof_repeats_A.npz
T7_PROXYA_enc_meanof5,"PROXY, NOT the paper's value: Mac rerun, layers re-selected on Mac; encoder probe mean of five per-repeat AUCs [0.5963, 0.5826, 0.5966, 0.561, 0.6061] (published [0.5964, 0.5826, 0.5962, 0.5608, 0.606] mean 0.5884), E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",0.5885,0.5268,0.6525,275,275,,2000,scores/part17/T7_scratch/T7_oof_repeats_A.npz
T7_PROXYA_enc_meanof5_minus_answer,"PROXY, NOT the paper's value: Mac rerun, layers re-selected on Mac; encoder probe mean of five per-repeat AUCs minus zero-shot answer 0.8278, paired, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",-0.2392,-0.3186,-0.1572,275,275,yes,2000,scores/part17/T7_scratch/T7_oof_repeats_A.npz
T7_PROXYA_ans_meanof5,"PROXY, NOT the paper's value: Mac rerun, layers re-selected on Mac; answer-state probe mean of five per-repeat AUCs [0.7283, 0.7304, 0.742, 0.7226, 0.7666] (published [0.755, 0.7302, 0.7418, 0.7225, 0.7679] mean 0.7435), E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",0.738,0.6742,0.802,275,275,,2000,scores/part17/T7_scratch/T7_oof_repeats_A.npz
T7_PROXYA_ans_meanof5_minus_answer,"PROXY, NOT the paper's value: Mac rerun, layers re-selected on Mac; answer-state probe mean of five per-repeat AUCs minus zero-shot answer 0.8278, paired, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",-0.0898,-0.1409,-0.0414,275,275,yes,2000,scores/part17/T7_scratch/T7_oof_repeats_A.npz
T7_PROXYA_proj_meanof5,"PROXY, NOT the paper's value: Mac rerun, layers re-selected on Mac; projector probe mean of five per-repeat AUCs [0.5513, 0.5618, 0.5794, 0.5655, 0.5472] (published [0.551, 0.5618, 0.5795, 0.5653, 0.5474] mean 0.561), E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",0.5611,0.4872,0.6338,275,275,,2000,scores/part17/T7_scratch/T7_oof_repeats_A.npz
T7_PROXYA_proj_meanof5_minus_answer,"PROXY, NOT the paper's value: Mac rerun, layers re-selected on Mac; projector probe mean of five per-repeat AUCs minus zero-shot answer 0.8278, paired, E-DAIC 300 s window (audio truncated at 300 s by Qwen2_5OmniProcessor; 217/275 windows cut)",-0.2667,-0.3493,-0.1811,275,275,yes,2000,scores/part17/T7_scratch/T7_oof_repeats_A.npz
