dataset,stream,layer,x_plot,auc_plotted
PC-GITA,encoder,0,0.0,0.871993388429752
PC-GITA,encoder,1,1.0,0.8889752066115704
PC-GITA,encoder,2,2.0,0.907897520661157
PC-GITA,encoder,3,3.0,0.9047735537190082
PC-GITA,encoder,4,4.0,0.9080446280991734
PC-GITA,encoder,5,5.0,0.9168165289256198
PC-GITA,encoder,6,6.0,0.9233619834710745
PC-GITA,encoder,7,7.0,0.9217256198347108
PC-GITA,encoder,8,8.0,0.9195752066115702
PC-GITA,encoder,9,9.0,0.9138561983471074
PC-GITA,encoder,10,10.0,0.9103057851239668
PC-GITA,encoder,11,11.0,0.913305785123967
PC-GITA,encoder,12,12.0,0.9156429752066114
PC-GITA,encoder,13,13.0,0.9198148760330578
PC-GITA,encoder,14,14.0,0.9166545454545456
PC-GITA,encoder,15,15.0,0.9160247933884298
PC-GITA,encoder,16,16.0,0.9051586776859504
PC-GITA,encoder,17,17.0,0.9093355371900824
PC-GITA,encoder,18,18.0,0.9038677685950413
PC-GITA,encoder,19,19.0,0.9075669421487604
PC-GITA,encoder,20,20.0,0.9071818181818184
PC-GITA,encoder,21,21.0,0.8994528925619835
PC-GITA,encoder,22,22.0,0.8927057851239669
PC-GITA,encoder,23,23.0,0.8949206611570246
PC-GITA,encoder,24,24.0,0.9010347107438018
PC-GITA,encoder,25,25.0,0.9058925619834712
PC-GITA,encoder,26,26.0,0.8999785123966941
PC-GITA,encoder,27,27.0,0.8986280991735536
PC-GITA,encoder,28,28.0,0.8965768595041321
PC-GITA,encoder,29,29.0,0.890398347107438
PC-GITA,encoder,30,30.0,0.8955173553719007
PC-GITA,encoder,31,31.0,0.8845619834710744
PC-GITA,llm,0,32.0,0.8847785123966941
PC-GITA,llm,1,33.0,0.8854396694214874
PC-GITA,llm,2,34.0,0.8857371900826446
PC-GITA,llm,3,35.0,0.8859768595041322
PC-GITA,llm,4,36.0,0.8890776859504133
PC-GITA,llm,5,37.0,0.8906033057851239
PC-GITA,llm,6,38.0,0.886609917355372
PC-GITA,llm,7,39.0,0.883090909090909
PC-GITA,llm,8,40.0,0.8813239669421489
PC-GITA,llm,9,41.0,0.872089256198347
PC-GITA,llm,10,42.0,0.8710644628099173
PC-GITA,llm,11,43.0,0.8744330578512396
PC-GITA,llm,12,44.0,0.8663140495867767
PC-GITA,llm,13,45.0,0.8710247933884296
PC-GITA,llm,14,46.0,0.871114049586777
PC-GITA,llm,15,47.0,0.8681487603305786
PC-GITA,llm,16,48.0,0.8647239669421488
