freq_hz,speaker_auc,ctrl_mean_dB,pd_mean_dB
0.000000000000000000e+00,5.465367965367965430e-01,-1.145149536132812500e+02,-1.157112503051757812e+02
1.562500000000000000e+01,5.454545454545454142e-01,-1.116075820922851562e+02,-1.101722946166992188e+02
3.125000000000000000e+01,5.378787878787878451e-01,-1.101080551147460938e+02,-1.103291549682617188e+02
4.687500000000000000e+01,5.183982683982684136e-01,-1.045927200317382812e+02,-1.103230438232421875e+02
6.250000000000000000e+01,5.054112554112554223e-01,-1.039841232299804688e+02,-1.120145187377929688e+02
7.812500000000000000e+01,4.826839826839827152e-01,-1.053514556884765625e+02,-1.149594039916992188e+02
9.375000000000000000e+01,4.166666666666667407e-01,-1.018867950439453125e+02,-1.148678588867187500e+02
1.093750000000000000e+02,3.019480519480519654e-01,-9.838630676269531250e+01,-1.157205276489257812e+02
1.250000000000000000e+02,2.283549783549783663e-01,-9.736415100097656250e+01,-1.171256484985351562e+02
1.406250000000000000e+02,1.850649350649350433e-01,-9.669503021240234375e+01,-1.174300079345703125e+02
1.562500000000000000e+02,1.363636363636363535e-01,-9.536736297607421875e+01,-1.183207397460937500e+02
1.718750000000000000e+02,1.125541125541125453e-01,-9.405501556396484375e+01,-1.186625137329101562e+02
1.875000000000000000e+02,1.147186147186147198e-01,-9.423081207275390625e+01,-1.181717376708984375e+02
2.031250000000000000e+02,1.266233766233766100e-01,-9.490421295166015625e+01,-1.179932403564453125e+02
2.187500000000000000e+02,1.158008658008657932e-01,-9.454551696777343750e+01,-1.187037506103515625e+02
2.343750000000000000e+02,9.307359307359305833e-02,-9.439321899414062500e+01,-1.192415084838867188e+02
2.500000000000000000e+02,8.658008658008656266e-02,-9.523232269287109375e+01,-1.195984725952148438e+02
2.656250000000000000e+02,9.523809523809524669e-02,-9.723548126220703125e+01,-1.202171707153320312e+02
2.812500000000000000e+02,1.082251082251081964e-01,-9.801921081542968750e+01,-1.204397506713867188e+02
2.968750000000000000e+02,1.060606060606060358e-01,-9.641602325439453125e+01,-1.205386505126953125e+02
3.125000000000000000e+02,9.632034632034630617e-02,-9.525559234619140625e+01,-1.209867095947265625e+02
3.281250000000000000e+02,6.818181818181817677e-02,-9.539880371093750000e+01,-1.210355834960937500e+02
3.437500000000000000e+02,5.844155844155844021e-02,-9.442749023437500000e+01,-1.209349746704101562e+02
3.593750000000000000e+02,5.844155844155843327e-02,-9.508247375488281250e+01,-1.209577026367187500e+02
3.750000000000000000e+02,8.766233766233763602e-02,-9.707904052734375000e+01,-1.210739669799804688e+02
3.906250000000000000e+02,8.441558441558440207e-02,-9.844085693359375000e+01,-1.216219253540039062e+02
4.062500000000000000e+02,8.766233766233764990e-02,-9.872999572753906250e+01,-1.219096145629882812e+02
4.218750000000000000e+02,8.333333333333331483e-02,-9.841313171386718750e+01,-1.218373413085937500e+02
4.375000000000000000e+02,7.251082251082251184e-02,-9.795174407958984375e+01,-1.216637649536132812e+02
4.531250000000000000e+02,5.627705627705627267e-02,-9.770697784423828125e+01,-1.221896133422851562e+02
4.687500000000000000e+02,5.735930735930734603e-02,-9.774607086181640625e+01,-1.227116546630859375e+02
4.843750000000000000e+02,6.277056277056275446e-02,-9.815687561035156250e+01,-1.228402786254882812e+02
5.000000000000000000e+02,6.385281385281385558e-02,-9.860086822509765625e+01,-1.229373703002929688e+02
5.156250000000000000e+02,6.926406926406925013e-02,-9.934645843505859375e+01,-1.230655670166015625e+02
5.312500000000000000e+02,8.982683982683981050e-02,-9.960643005371093750e+01,-1.231642608642578125e+02
5.468750000000000000e+02,9.199134199134198497e-02,-9.919498443603515625e+01,-1.232106704711914062e+02
5.625000000000000000e+02,9.199134199134198497e-02,-1.003173217773437500e+02,-1.236944351196289062e+02
5.781250000000000000e+02,1.071428571428571230e-01,-1.016653518676757812e+02,-1.240686187744140625e+02
5.937500000000000000e+02,9.523809523809523281e-02,-1.012905273437500000e+02,-1.242446289062500000e+02
6.093750000000000000e+02,8.008658008658006699e-02,-1.008349151611328125e+02,-1.245897903442382812e+02
6.250000000000000000e+02,6.926406926406925013e-02,-1.004453735351562500e+02,-1.246877059936523438e+02
6.406250000000000000e+02,6.277056277056275446e-02,-9.944450378417968750e+01,-1.248959426879882812e+02
6.562500000000000000e+02,6.168831168831168110e-02,-9.953227233886718750e+01,-1.251531219482421875e+02
6.718750000000000000e+02,6.493506493506491506e-02,-1.008982620239257812e+02,-1.253848495483398438e+02
6.875000000000000000e+02,6.493506493506491506e-02,-1.012822570800781250e+02,-1.254973297119140625e+02
7.031250000000000000e+02,6.709956709956707566e-02,-1.018559188842773438e+02,-1.259005813598632812e+02
7.187500000000000000e+02,7.142857142857141073e-02,-1.026533584594726562e+02,-1.260674591064453125e+02
7.343750000000000000e+02,7.467532467532467244e-02,-1.015494384765625000e+02,-1.258987350463867188e+02
7.500000000000000000e+02,6.385281385281384170e-02,-1.006482086181640625e+02,-1.257627563476562500e+02
7.656250000000000000e+02,7.900432900432900751e-02,-1.026196289062500000e+02,-1.258832778930664062e+02
7.812500000000000000e+02,9.632034632034630617e-02,-1.049537887573242188e+02,-1.261570968627929688e+02
7.968750000000000000e+02,9.740259740259740728e-02,-1.050475540161132812e+02,-1.261914138793945312e+02
8.125000000000000000e+02,9.523809523809523281e-02,-1.046220779418945312e+02,-1.260611419677734375e+02
8.281250000000000000e+02,8.116883116883116811e-02,-1.035713195800781250e+02,-1.262680664062500000e+02
8.437500000000000000e+02,6.818181818181817677e-02,-1.012379837036132812e+02,-1.263371963500976562e+02
8.593750000000000000e+02,7.575757575757574580e-02,-1.016812210083007812e+02,-1.263202285766601562e+02
8.750000000000000000e+02,8.874458874458873714e-02,-1.044357604980468750e+02,-1.264411087036132812e+02
8.906250000000000000e+02,7.792207792207792028e-02,-1.049227447509765625e+02,-1.266871795654296875e+02
9.062500000000000000e+02,7.683982683982683304e-02,-1.050256805419921875e+02,-1.269293060302734375e+02
9.218750000000000000e+02,9.307359307359308609e-02,-1.053753890991210938e+02,-1.269178619384765625e+02
9.375000000000000000e+02,7.792207792207790640e-02,-1.025343475341796875e+02,-1.271910171508789062e+02
9.531250000000000000e+02,5.735930735930734603e-02,-1.015375595092773438e+02,-1.275432662963867188e+02
9.687500000000000000e+02,7.251082251082251184e-02,-1.037154617309570312e+02,-1.276409072875976562e+02
9.843750000000000000e+02,7.575757575757575968e-02,-1.055612030029296875e+02,-1.276420669555664062e+02
1.000000000000000000e+03,6.493506493506492894e-02,-1.050126647949218750e+02,-1.276859893798828125e+02
1.015625000000000000e+03,7.251082251082249797e-02,-1.058127441406250000e+02,-1.280569763183593750e+02
1.031250000000000000e+03,7.142857142857142461e-02,-1.061320266723632812e+02,-1.283528594970703125e+02
1.046875000000000000e+03,6.168831168831168110e-02,-1.059077911376953125e+02,-1.283170471191406250e+02
1.062500000000000000e+03,6.168831168831167416e-02,-1.062829818725585938e+02,-1.283181915283203125e+02
1.078125000000000000e+03,6.926406926406926401e-02,-1.065975036621093750e+02,-1.284572753906250000e+02
1.093750000000000000e+03,8.225108225108224147e-02,-1.068496017456054688e+02,-1.285238800048828125e+02
1.109375000000000000e+03,9.415584415584414557e-02,-1.071894607543945312e+02,-1.284604187011718750e+02
1.125000000000000000e+03,9.307359307359305833e-02,-1.071003036499023438e+02,-1.285714416503906250e+02
1.140625000000000000e+03,7.792207792207790640e-02,-1.057935943603515625e+02,-1.285232543945312500e+02
1.156250000000000000e+03,8.982683982683981050e-02,-1.057770156860351562e+02,-1.286067199707031250e+02
