layer,train_cv_auc,test_auc,test_acc
0,0.619,0.604,0.542
1,0.657,0.708,0.625
2,0.711,0.703,0.583
3,0.734,0.714,0.625
4,0.745,0.753,0.646
5,0.725,0.747,0.646
6,0.725,0.757,0.646
7,0.748,0.799,0.771
8,0.707,0.774,0.750
9,0.748,0.799,0.771
10,0.753,0.818,0.771
11,0.714,0.795,0.688
12,0.675,0.901,0.750
13,0.669,0.830,0.729
14,0.673,0.835,0.708
15,0.672,0.849,0.729
16,0.688,0.812,0.688
17,0.722,0.821,0.708
18,0.793,0.816,0.708
19,0.802,0.802,0.667
20,0.833,0.800,0.667
21,0.811,0.854,0.729
22,0.852,0.778,0.708
23,0.836,0.771,0.667
24,0.785,0.734,0.646
25,0.749,0.807,0.729
26,0.841,0.790,0.708
27,0.813,0.812,0.688
28,0.818,0.786,0.688
29,0.818,0.753,0.688
30,0.821,0.715,0.625
31,0.762,0.802,0.729
32,0.758,0.825,0.729
