path,id,speaker,arm
/workspace/p20/clips/seg_000001.wav,c000001,300,conflict
/workspace/p20/clips/seg_000004.wav,c000004,300,conflict
/workspace/p20/clips/seg_000006.wav,c000006,300,conflict
/workspace/p20/clips/seg_000007.wav,c000007,300,conflict
/workspace/p20/clips/seg_000010.wav,c000010,301,conflict
/workspace/p20/clips/seg_000011.wav,c000011,301,conflict
/workspace/p20/clips/seg_000012.wav,c000012,301,conflict
/workspace/p20/clips/seg_000013.wav,c000013,301,conflict
/workspace/p20/clips/seg_000015.wav,c000015,301,conflict
/workspace/p20/clips/seg_000016.wav,c000016,301,conflict
/workspace/p20/clips/seg_000017.wav,c000017,301,conflict
/workspace/p20/clips/seg_000020.wav,c000020,301,conflict
/workspace/p20/clips/seg_000021.wav,c000021,301,conflict
/workspace/p20/clips/seg_000022.wav,c000022,301,conflict
/workspace/p20/clips/seg_000023.wav,c000023,301,conflict
/workspace/p20/clips/seg_000024.wav,c000024,301,conflict
/workspace/p20/clips/seg_000025.wav,c000025,301,conflict
/workspace/p20/clips/seg_000028.wav,c000028,301,conflict
/workspace/p20/clips/seg_000035.wav,c000035,302,conflict
/workspace/p20/clips/seg_000039.wav,c000039,302,conflict
/workspace/p20/clips/seg_000040.wav,c000040,302,conflict
/workspace/p20/clips/seg_000056.wav,c000056,303,conflict
/workspace/p20/clips/seg_000058.wav,c000058,303,conflict
/workspace/p20/clips/seg_000061.wav,c000061,303,conflict
/workspace/p20/clips/seg_000062.wav,c000062,303,conflict
/workspace/p20/clips/seg_000063.wav,c000063,303,conflict
/workspace/p20/clips/seg_000064.wav,c000064,303,conflict
/workspace/p20/clips/seg_000067.wav,c000067,303,conflict
/workspace/p20/clips/seg_000068.wav,c000068,303,conflict
/workspace/p20/clips/seg_000143.wav,c000143,306,conflict
/workspace/p20/clips/seg_000144.wav,c000144,306,conflict
/workspace/p20/clips/seg_000146.wav,c000146,306,conflict
/workspace/p20/clips/seg_000148.wav,c000148,306,conflict
/workspace/p20/clips/seg_000149.wav,c000149,306,conflict
/workspace/p20/clips/seg_000157.wav,c000157,307,conflict
/workspace/p20/clips/seg_000158.wav,c000158,307,conflict
/workspace/p20/clips/seg_000159.wav,c000159,307,conflict
/workspace/p20/clips/seg_000161.wav,c000161,307,conflict
/workspace/p20/clips/seg_000162.wav,c000162,307,conflict
/workspace/p20/clips/seg_000163.wav,c000163,307,conflict
/workspace/p20/clips/seg_000165.wav,c000165,307,conflict
/workspace/p20/clips/seg_000170.wav,c000170,307,conflict
/workspace/p20/clips/seg_000171.wav,c000171,307,conflict
/workspace/p20/clips/seg_000172.wav,c000172,307,conflict
/workspace/p20/clips/seg_000173.wav,c000173,307,conflict
/workspace/p20/clips/seg_000174.wav,c000174,307,conflict
/workspace/p20/clips/seg_000175.wav,c000175,307,conflict
/workspace/p20/clips/seg_000176.wav,c000176,307,conflict
