p14clip,seg_uid,idx,sha256_full
agreement_301_a000018.wav,a000018,18,a2d4fa636e3589e2945053f96c55d588a77cd8e6e42f59dee4bc9d818bc3d4a3
agreement_301_a000030.wav,a000030,30,7d81977412cc9b87eabbda2becf37476b2413392256aecf3d00f8c42294b67fb
agreement_302_a000033.wav,a000033,33,1065db8dac833ac839743dec7b2c4a56cda352f61e22a03a70e4cb0acbc4c0a6
agreement_302_a000045.wav,a000045,45,f8714089fbb9b37b15d0b201d7696bcf50f04c85b8cd6af77dc0d20cd038aa2a
agreement_303_a000049.wav,a000049,49,bcf74256975f1ed2c15e43145ef392e82b7a527111ba3bcc266636e9c132e337
agreement_306_a000141.wav,a000141,141,aabd35f1049063f741f445b93f649d08d6c7f782ace97ace2ba04b5e812db041
agreement_306_a000143.wav,a000143,143,e0677915267d2ca23c8f7e2018e63af2122699d9925dbd27ef0c79710fb972a9
agreement_306_a000152.wav,a000152,152,c8e98ff6191c00314cb97bdaf71a7c4f4f1f7c61587b183dc63d883efb647037
agreement_307_a000160.wav,a000160,160,4901bd4104622f2fe41517f1fea9ac74ef92d92d9aaeb716d80e7a086623f341
agreement_307_a000167.wav,a000167,167,540b5a67aee8b7a549a4dda79a2f47541de1376185fffd7b5dca236503b740e5
agreement_308_a000189.wav,a000189,189,1f83d79bec15a82d5d2b765ce78e6952fffbf9126de321b431c23bf0e4ab846d
agreement_308_a000193.wav,a000193,193,218e268b8d11dff886a4339e3ba9822d11015c427c95a7fcf42f9f3e3ff3fc39
agreement_311_a000243.wav,a000243,243,8c42b6a581fde5fbeb12cb228e3f1f892eab5b47c06a5dee776ed228110d216a
agreement_312_a000262.wav,a000262,262,ee1a29af602e5c2f552e92a0b9c4c1efde7650714c8669a1c9a085c78eb3ad8c
agreement_314_a000301.wav,a000301,301,4d6e09c1dabaf0046ff5b953bf8776bdd92c0c23a459097ae4ccd934743887d5
agreement_314_a000305.wav,a000305,305,8c0b97e914366004d4e979c04ba04db73a80ea2e965d1a30742783337059d371
agreement_314_a000310.wav,a000310,310,c72a29ea4e4dfb0b146fedbea21f98a9ecddecbe566dca82068246409d0ccfe9
agreement_314_a000319.wav,a000319,319,c1a4d368c6b85c1e6d141f4b2ec9459347d54d81d75f354746b9803b21ff94e7
agreement_315_a000342.wav,a000342,342,551a01589d8715821c5b596ea3a5471c2a44dd793be04772dabded91f051feee
agreement_315_a000349.wav,a000349,349,341ef399939729e0f86e2dcadd1eb3f6c03bb0c629a50ccef522e40db47d763e
agreement_315_a000351.wav,a000351,351,dec01453ecb99588765723db43c22720bae95b234595cc3a06361cf2f30e09fa
agreement_318_a000394.wav,a000394,394,0eba5964951e5259dbdaaf9ea64ebcbfe27c9613f1d8c4b61cec5762651f0d78
agreement_321_a000435.wav,a000435,435,266e8cae1fbce12d5965eefe9df24eb6848a23690a2898ded38d0b4b5ea33d56
