idx,pid,start,end
4835,628,77.0,125.9
4838,628,271.9,309.5
4839,628,318.5,346.5
4842,628,396.5,449.9
4843,628,456.9,478.8
4844,628,480.0,497.8
4845,628,503.7,547.8
4846,628,548.6,591.7
4847,628,593.0,630.0
4848,628,632.7,665.0
4849,628,671.4,694.3
4850,628,695.7,718.2
4851,628,723.4,745.7
4852,628,750.5,769.5
4854,628,800.0,828.7
4855,628,829.8,855.0
4856,628,856.0,889.1
4857,628,897.9,927.0
4858,628,928.7,946.0
4859,628,953.0,994.9
4860,628,1001.5,1022.6
4861,628,1024.0,1058.4
4862,628,1066.7,1082.2
4864,628,1128.2,1159.7
4906,632,208.8,236.8
4907,632,243.7,260.5
4908,632,261.3,275.7
4910,632,332.1,354.6
4913,632,440.9,470.3
4916,632,554.9,573.2
4917,632,589.2,617.3
4918,632,626.9,658.4
4919,632,659.6,679.4
4920,632,690.2,712.0
4921,632,728.3,777.8
4923,632,808.6,841.0
4926,632,941.4,964.6
4930,632,1065.9,1112.6
4931,632,1115.3,1136.5
3835,468,80.2,101.3
3836,468,105.4,134.7
3840,468,249.5,292.3
3844,468,391.3,420.4
3845,468,421.8,451.8
3846,468,453.8,466.6
3849,468,545.5,566.5
3851,468,589.2,618.2
3856,468,777.7,820.6
3857,468,822.2,851.6
3858,468,857.4,885.9
3859,468,887.5,900.3
3261,443,162.1,187.7
3262,443,204.7,244.3
3264,443,291.9,337.6
3265,443,339.0,382.0
3266,443,395.7,438.5
3267,443,450.5,484.4
3268,443,493.6,553.2
1873,381,55.2,126.2
1874,381,129.5,157.4
1875,381,167.8,184.8
1876,381,198.7,225.7
1880,381,318.4,352.1
1882,381,392.4,408.4
1887,381,493.3,530.4
1889,381,561.8,588.5
1891,381,612.0,636.6
1892,381,637.8,660.0
1893,381,662.3,697.3
1894,381,698.2,726.6
1895,381,727.8,750.1
1896,381,759.3,784.7
1897,381,786.4,804.3
1898,381,806.3,850.2
1899,381,851.5,868.8
1900,381,880.2,908.2
1901,381,914.5,939.2
1905,381,1023.5,1052.3
181,308,0.0,21.0
182,308,33.5,52.4
186,308,204.6,223.6
187,308,232.7,253.5
190,308,362.7,406.0
193,308,524.1,548.2
197,308,715.6,735.9
198,308,737.3,780.6
47,303,83.0,96.1
48,303,100.4,142.9
53,303,268.2,306.3
54,303,311.8,343.3
56,303,368.9,410.3
58,303,512.0,544.9
60,303,582.8,606.1
61,303,609.0,648.2
62,303,649.3,665.5
63,303,666.5,719.1
64,303,723.6,740.3
66,303,776.1,794.9
67,303,800.4,811.8
68,303,822.6,845.3
69,303,856.4,907.4
2325,404,101.9,133.2
2326,404,135.4,170.4
2329,404,269.7,304.8
2331,404,338.6,371.9
2334,404,447.3,496.7
2336,404,543.4,567.5
2340,404,731.2,773.4
