path,id,speaker,arm
/workspace/p20/clips/seg_000010.wav,c000010,301,conflict
/workspace/p20/clips/seg_000015.wav,c000015,301,conflict
/workspace/p20/clips/seg_000036.wav,c000036,302,conflict
/workspace/p20/clips/seg_000040.wav,c000040,302,conflict
/workspace/p20/clips/seg_000064.wav,c000064,303,conflict
/workspace/p20/clips/seg_000146.wav,c000146,306,conflict
/workspace/p20/clips/seg_000148.wav,c000148,306,conflict
/workspace/p20/clips/seg_000149.wav,c000149,306,conflict
/workspace/p20/clips/seg_000157.wav,c000157,307,conflict
/workspace/p20/clips/seg_000159.wav,c000159,307,conflict
/workspace/p20/clips/seg_000162.wav,c000162,307,conflict
/workspace/p20/clips/seg_000176.wav,c000176,307,conflict
/workspace/p20/clips/seg_000181.wav,c000181,308,conflict
/workspace/p20/clips/seg_000182.wav,c000182,308,conflict
/workspace/p20/clips/seg_000185.wav,c000185,308,conflict
/workspace/p20/clips/seg_000186.wav,c000186,308,conflict
/workspace/p20/clips/seg_000187.wav,c000187,308,conflict
/workspace/p20/clips/seg_000251.wav,c000251,311,conflict
/workspace/p20/clips/seg_000260.wav,c000260,312,conflict
/workspace/p20/clips/seg_000291.wav,c000291,314,conflict
/workspace/p20/clips/seg_000293.wav,c000293,314,conflict
/workspace/p20/clips/seg_000296.wav,c000296,314,conflict
/workspace/p20/clips/seg_000312.wav,c000312,314,conflict
/workspace/p20/clips/seg_000325.wav,c000325,314,conflict
/workspace/p20/clips/seg_000333.wav,c000333,315,conflict
/workspace/p20/clips/seg_000335.wav,c000335,315,conflict
/workspace/p20/clips/seg_000337.wav,c000337,315,conflict
/workspace/p20/clips/seg_000344.wav,c000344,315,conflict
/workspace/p20/clips/seg_000345.wav,c000345,315,conflict
/workspace/p20/clips/seg_000389.wav,c000389,318,conflict
/workspace/p20/clips/seg_000428.wav,c000428,321,conflict
/workspace/p20/clips/seg_000434.wav,c000434,321,conflict
/workspace/p20/clips/seg_000441.wav,c000441,321,conflict
/workspace/p20/clips/seg_000475.wav,c000475,323,conflict
/workspace/p20/clips/seg_000480.wav,c000480,323,conflict
/workspace/p20/clips/seg_000548.wav,c000548,327,conflict
/workspace/p20/clips/seg_000562.wav,c000562,328,conflict
/workspace/p20/clips/seg_000563.wav,c000563,328,conflict
/workspace/p20/clips/seg_000564.wav,c000564,328,conflict
/workspace/p20/clips/seg_000589.wav,c000589,329,conflict
/workspace/p20/clips/seg_000642.wav,c000642,332,conflict
/workspace/p20/clips/seg_000644.wav,c000644,332,conflict
/workspace/p20/clips/seg_000649.wav,c000649,332,conflict
/workspace/p20/clips/seg_000654.wav,c000654,332,conflict
/workspace/p20/clips/seg_000656.wav,c000656,332,conflict
/workspace/p20/clips/seg_000810.wav,c000810,338,conflict
/workspace/p20/clips/seg_000820.wav,c000820,338,conflict
/workspace/p20/clips/seg_000821.wav,c000821,338,conflict
/workspace/p20/clips/seg_000822.wav,c000822,338,conflict
/workspace/p20/clips/seg_000824.wav,c000824,338,conflict
/workspace/p20/clips/seg_000825.wav,c000825,338,conflict
/workspace/p20/clips/seg_000847.wav,c000847,340,conflict
/workspace/p20/clips/seg_000931.wav,c000931,345,conflict
/workspace/p20/clips/seg_000932.wav,c000932,345,conflict
/workspace/p20/clips/seg_000935.wav,c000935,345,conflict
/workspace/p20/clips/seg_000939.wav,c000939,345,conflict
/workspace/p20/clips/seg_000940.wav,c000940,345,conflict
/workspace/p20/clips/seg_000941.wav,c000941,345,conflict
/workspace/p20/clips/seg_000942.wav,c000942,345,conflict
/workspace/p20/clips/seg_000947.wav,c000947,345,conflict
/workspace/p20/clips/seg_000948.wav,c000948,345,conflict
/workspace/p20/clips/seg_000949.wav,c000949,345,conflict
/workspace/p20/clips/seg_000952.wav,c000952,345,conflict
/workspace/p20/clips/seg_000953.wav,c000953,345,conflict
/workspace/p20/clips/seg_000954.wav,c000954,346,conflict
/workspace/p20/clips/seg_000956.wav,c000956,346,conflict
/workspace/p20/clips/seg_000957.wav,c000957,346,conflict
/workspace/p20/clips/seg_000971.wav,c000971,346,conflict
/workspace/p20/clips/seg_000972.wav,c000972,346,conflict
/workspace/p20/clips/seg_000974.wav,c000974,346,conflict
/workspace/p20/clips/seg_000982.wav,c000982,346,conflict
/workspace/p20/clips/seg_000983.wav,c000983,346,conflict
/workspace/p20/clips/seg_000984.wav,c000984,346,conflict
/workspace/p20/clips/seg_000985.wav,c000985,346,conflict
/workspace/p20/clips/seg_000986.wav,c000986,346,conflict
/workspace/p20/clips/seg_000988.wav,c000988,347,conflict
/workspace/p20/clips/seg_000990.wav,c000990,347,conflict
/workspace/p20/clips/seg_000993.wav,c000993,347,conflict
/workspace/p20/clips/seg_000995.wav,c000995,347,conflict
/workspace/p20/clips/seg_001000.wav,c001000,348,conflict
/workspace/p20/clips/seg_001001.wav,c001001,348,conflict
/workspace/p20/clips/seg_001005.wav,c001005,348,conflict
/workspace/p20/clips/seg_001006.wav,c001006,348,conflict
/workspace/p20/clips/seg_001007.wav,c001007,348,conflict
/workspace/p20/clips/seg_001013.wav,c001013,348,conflict
