idx,pid,start,end
36,302,229.8,264.9
185,308,164.8,199.1
428,321,110.2,134.3
475,323,284.9,311.5
480,323,472.7,489.6
563,328,198.9,232.4
644,332,378.1,410.4
821,338,401.3,411.1
947,345,534.8,557.7
949,345,580.9,614.8
956,346,124.3,163.1
982,346,1003.0,1079.6
983,346,1081.1,1093.1
990,347,183.9,206.8
993,347,332.3,366.1
1006,348,258.5,288.9
1129,354,92.1,112.1
1268,362,328.7,363.9
1278,363,185.1,199.9
1309,364,263.5,287.1
1310,364,288.5,299.7
1732,377,21.9,74.8
1737,377,182.7,215.1
1881,381,363.7,390.8
1984,384,964.2,977.4
1985,384,984.6,1009.3
2358,405,409.7,433.2
2385,405,1380.0,1409.2
2509,411,471.9,504.4
2525,411,1087.8,1106.6
2583,414,223.0,254.9
2594,414,626.8,656.1
2601,414,877.2,910.9
2834,424,366.7,380.9
2967,430,413.6,431.6
3149,438,1075.9,1099.9
3207,440,1018.3,1081.5
3345,447,86.7,123.6
3356,447,487.9,502.9
3471,451,651.6,673.6
3593,457,458.9,479.1
3654,461,90.5,157.6
3668,461,678.8,709.0
3731,464,511.8,541.2
3768,465,897.5,923.4
3845,468,421.8,451.8
3896,470,101.7,132.2
3942,472,337.9,376.1
4093,480,712.1,739.4
4284,488,406.9,418.1
4454,605,162.6,174.0
4751,624,240.8,280.5
4778,625,592.4,633.1
4849,628,671.4,694.3
4906,632,208.8,236.8
5031,636,1479.9,1502.3
5034,636,1554.7,1583.4
5040,637,234.0,291.5
5125,650,334.9,358.3
5309,660,310.7,332.8
5310,660,341.5,354.8
5472,667,728.1,753.4
5750,688,894.0,936.7
5752,688,986.4,1031.0
5963,705,129.0,201.3
6056,712,489.7,511.7
6061,712,623.9,642.1
6084,713,260.5,287.8
45,302,650.0,693.3
49,303,146.0,166.2
143,306,78.0,134.9
160,307,209.3,236.2
189,308,315.9,352.5
301,314,598.8,645.2
305,314,740.0,756.5
435,321,382.1,404.8
484,323,615.1,632.2
572,328,552.1,596.9
594,329,411.6,440.2
650,332,623.3,649.4
951,345,672.1,698.8
973,346,709.5,724.1
994,347,370.8,397.7
1010,348,390.6,423.3
1270,362,391.4,420.2
1349,364,1485.8,1509.5
1315,364,480.9,493.7
1434,366,1109.4,1129.9
1453,367,533.0,602.3
1463,367,915.6,946.9
1468,367,1086.6,1122.8
1544,370,220.9,241.2
1542,370,152.2,176.2
1662,374,310.1,335.5
1749,377,584.1,636.1
1759,377,981.8,1016.6
1879,381,282.8,306.5
1916,382,305.7,331.6
1974,384,541.9,576.3
1978,384,707.8,728.9
2035,387,416.2,455.1
2325,404,101.9,133.2
2365,405,639.5,663.9
2376,405,1014.9,1038.7
2414,407,258.4,282.7
2524,411,1053.9,1085.2
2530,411,1281.3,1322.2
2596,414,692.8,722.9
2627,416,125.9,163.4
2638,416,468.4,489.2
2738,420,864.5,878.7
2846,424,912.4,927.6
2826,424,92.6,117.4
2951,429,679.8,717.4
2960,430,149.6,185.1
2968,430,442.1,455.4
3064,434,1206.3,1257.0
3036,434,137.2,165.5
3206,440,956.5,1015.9
3259,443,10.3,106.7
3346,447,127.1,153.0
3392,448,935.3,976.2
3483,451,1054.2,1085.6
3493,452,437.8,526.5
3602,457,719.3,741.9
3672,461,847.4,866.2
3660,461,389.5,421.5
3724,464,270.5,299.5
3758,465,578.9,606.0
3811,467,137.0,163.4
3837,468,135.6,159.0
3847,468,478.3,509.3
3904,470,438.5,469.1
3938,472,127.7,168.0
3950,472,674.4,715.9
4003,476,402.0,443.7
4036,477,1094.3,1140.6
4024,477,714.2,733.8
4037,477,1149.2,1173.5
4229,485,417.5,439.6
4360,492,575.6,612.8
4412,603,350.3,378.3
4458,605,346.5,370.8
4494,608,510.6,560.0
4505,608,872.0,894.7
4570,612,769.2,805.2
4600,615,1042.2,1077.3
4684,620,442.9,469.0
4752,624,282.0,310.5
4791,625,1022.0,1061.8
4870,629,311.8,338.5
4929,632,1035.5,1064.3
4911,632,365.2,401.2
4972,634,235.6,257.6
5013,636,871.0,912.7
5024,636,1271.5,1291.8
5047,637,600.8,651.5
5041,637,296.4,318.9
5062,638,264.1,318.4
5110,649,677.6,702.2
5276,659,387.5,403.3
5306,660,144.4,170.3
5352,661,868.0,906.2
5340,661,465.2,479.4
5732,688,367.4,408.9
5921,698,1072.7,1103.5
5928,698,1325.6,1347.9
6073,712,944.0,966.5
6150,716,572.2,592.5
