id	what	value_computed	value_verified	lo	hi	n	n_spk	file	two_dp	vs_half	agree_4dp
P20_4b_q3o_noinv_overall	Qwen3-Omni zero-shot AUC, Pitt, interviewer-free cut (this pod), overall	0.7802	0.7802	0.7265	0.8270	468	228	scores/part20/POD4b/P20_4b_q3o_noinv_overall.perclip.csv	0.78 [0.73, 0.83]	above 0.5	yes
P20_4b_q3o_noinv_conflict	Qwen3-Omni zero-shot AUC, Pitt, interviewer-free cut (this pod), conflict	0.6187	0.6187	0.5145	0.7219	146	100	scores/part20/POD4b/P20_4b_q3o_noinv_conflict.perclip.csv	0.62 [0.51, 0.72]	above 0.5	yes
P20_4b_q3o_noinv_agreement	Qwen3-Omni zero-shot AUC, Pitt, interviewer-free cut (this pod), agreement	0.8439	0.8439	0.7958	0.8880	322	175	scores/part20/POD4b/P20_4b_q3o_noinv_agreement.perclip.csv	0.84 [0.80, 0.89]	above 0.5	yes
P20_4b_q3o_orig_shipped_overall	Qwen3-Omni zero-shot AUC, Pitt, original windows, shipped paper file, overall	0.7619	0.7619	0.7054	0.8130	468	228	scores/part20/POD4b/P20_4b_q3o_orig_shipped_overall.perclip.csv	0.76 [0.71, 0.81]	above 0.5	yes
P20_4b_q3o_orig_shipped_conflict	Qwen3-Omni zero-shot AUC, Pitt, original windows, shipped paper file, conflict	0.6066	0.6066	0.4956	0.7123	146	100	scores/part20/POD4b/P20_4b_q3o_orig_shipped_conflict.perclip.csv	0.61 [0.50, 0.71]	interval includes 0.5	yes
P20_4b_q3o_orig_shipped_agreement	Qwen3-Omni zero-shot AUC, Pitt, original windows, shipped paper file, agreement	0.8231	0.8231	0.7664	0.8720	322	175	scores/part20/POD4b/P20_4b_q3o_orig_shipped_agreement.perclip.csv	0.82 [0.77, 0.87]	above 0.5	yes
P20_4b_q3o_orig_rerun_overall	Qwen3-Omni zero-shot AUC, Pitt, original windows, part16 rerun file, overall	0.7673	0.7673	0.7123	0.8200	468	228	scores/part20/POD4b/P20_4b_q3o_orig_rerun_overall.perclip.csv	0.77 [0.71, 0.82]	above 0.5	yes
P20_4b_q3o_orig_rerun_conflict	Qwen3-Omni zero-shot AUC, Pitt, original windows, part16 rerun file, conflict	0.6079	0.6079	0.5012	0.7132	146	100	scores/part20/POD4b/P20_4b_q3o_orig_rerun_conflict.perclip.csv	0.61 [0.50, 0.71]	above 0.5	yes
P20_4b_q3o_orig_rerun_agreement	Qwen3-Omni zero-shot AUC, Pitt, original windows, part16 rerun file, agreement	0.8265	0.8265	0.7729	0.8740	322	175	scores/part20/POD4b/P20_4b_q3o_orig_rerun_agreement.perclip.csv	0.83 [0.77, 0.87]	above 0.5	yes
P20_4b_q3o_diff_orig_shipped_minus_noinv_overall	PAIRED Qwen3-Omni zero-shot AUC, original windows, shipped paper file minus interviewer-free, overall	-0.0182	-0.0182	-0.0455	0.0083	468	228	scores/part20/POD4b/P20_4b_q3o_diff_orig_shipped_minus_noinv_overall.perclip.csv	-0.02 [-0.05, +0.01]	interval includes zero	yes
