id	what	value_computed	value_verified	lo	hi	n	n_spk	file	two_dp	vs_half	agree_4dp
POD1_bal_all	balanced projector fine-tune AUC, all 468, p_yes (Yes/No softmax)	0.7301 [0.6656, 0.7905]	0.7301	0.6656	0.7905	468	228	scores/part20/POD1/balanced_ft_pitt_oof.csv	0.73 [0.67, 0.79]	above 0.5	YES (max abs diff 0.0e+00)
POD1_bal_conflict	balanced projector fine-tune AUC, conflict 146, p_yes (Yes/No softmax)	0.4693 [0.3686, 0.5854]	0.4693	0.3686	0.5854	146	100	scores/part20/POD1/balanced_ft_pitt_oof.csv	0.47 [0.37, 0.59]	includes 0.5 (point below 0.5)	YES (max abs diff 0.0e+00)
POD1_bal_agreement	balanced projector fine-tune AUC, agreement 322, p_yes (Yes/No softmax)	0.8279 [0.7732, 0.8792]	0.8279	0.7732	0.8792	322	175	scores/part20/POD1/balanced_ft_pitt_oof.csv	0.83 [0.77, 0.88]	above 0.5	YES (max abs diff 0.0e+00)
POD1_std_all	standard projector fine-tune AUC (beside), all 468, p_yes	0.7673 [0.7086, 0.8231]	0.7673	0.7086	0.8231	468	228	<local data dir>/release/omni_final/omnisft_pitt_oof.csv	0.77 [0.71, 0.82]	above 0.5	YES (max abs diff 0.0e+00)
POD1_std_conflict	standard projector fine-tune AUC (beside), conflict 146, p_yes	0.5189 [0.4151, 0.6300]	0.5189	0.4151	0.6300	146	100	<local data dir>/release/omni_final/omnisft_pitt_oof.csv	0.52 [0.42, 0.63]	includes 0.5 (point above 0.5)	YES (max abs diff 0.0e+00)
POD1_std_agreement	standard projector fine-tune AUC (beside), agreement 322, p_yes	0.8593 [0.8063, 0.9069]	0.8593	0.8063	0.9069	322	175	<local data dir>/release/omni_final/omnisft_pitt_oof.csv	0.86 [0.81, 0.91]	above 0.5	YES (max abs diff 0.0e+00)
POD1_paired_conflict	PAIRED balanced minus standard fine-tune AUC, conflict 146, one speaker draw per replicate	-0.0496 [-0.1403, 0.0344]	-0.0496	-0.1403	0.0344	146	100	scores/part20/POD1/balanced_ft_pitt_oof.csv | <local data dir>/release/omni_final/omnisft_pitt_oof.csv	-0.05 [-0.14, +0.03]	difference: includes 0	YES (max abs diff 0.0e+00)
POD1_paired_all	PAIRED balanced minus standard fine-tune AUC, all 468, one speaker draw per replicate	-0.0372 [-0.0720, -0.0018]	-0.0372	-0.0720	-0.0018	468	228	scores/part20/POD1/balanced_ft_pitt_oof.csv | <local data dir>/release/omni_final/omnisft_pitt_oof.csv	-0.04 [-0.07, -0.00]	difference: excludes 0 (below 0)	YES (max abs diff 0.0e+00)
POD1_paired_agreement	PAIRED balanced minus standard fine-tune AUC, agreement 322, one speaker draw per replicate	-0.0314 [-0.0659, 0.0023]	-0.0314	-0.0659	0.0023	322	175	scores/part20/POD1/balanced_ft_pitt_oof.csv | <local data dir>/release/omni_final/omnisft_pitt_oof.csv	-0.03 [-0.07, +0.00]	difference: includes 0	YES (max abs diff 0.0e+00)
POD1_bal_multi_all	balanced fine-tune AUC, all 468, p_yes_multi (Yes/yes/YES vs No/no/NO)	0.7407 [0.6761, 0.7994]	0.7407	0.6761	0.7994	468	228	scores/part20/POD1/balanced_ft_pitt_oof.csv	0.74 [0.68, 0.80]	above 0.5	YES (max abs diff 0.0e+00)
POD1_bal_multi_conflict	balanced fine-tune AUC, conflict 146, p_yes_multi (Yes/yes/YES vs No/no/NO)	0.4671 [0.3641, 0.5818]	0.4671	0.3641	0.5818	146	100	scores/part20/POD1/balanced_ft_pitt_oof.csv	0.47 [0.36, 0.58]	includes 0.5 (point below 0.5)	YES (max abs diff 0.0e+00)
POD1_bal_multi_agreement	balanced fine-tune AUC, agreement 322, p_yes_multi (Yes/yes/YES vs No/no/NO)	0.8433 [0.7925, 0.8924]	0.8433	0.7925	0.8924	322	175	scores/part20/POD1/balanced_ft_pitt_oof.csv	0.84 [0.79, 0.89]	above 0.5	YES (max abs diff 0.0e+00)
POD1_gap_bal	conflict minus agreement AUC gap, balanced fine-tune (one speaker draw over 228 per replicate)	-0.3586 [-0.4671, -0.2461]	-0.3586	-0.4671	-0.2461	468	228	scores/part20/POD1/balanced_ft_pitt_oof.csv	-0.36 [-0.47, -0.25]	difference: excludes 0 (below 0)	YES (max abs diff 0.0e+00)
POD1_gap_std	conflict minus agreement AUC gap, standard fine-tune (one speaker draw over 228 per replicate)	-0.3404 [-0.4468, -0.2262]	-0.3404	-0.4468	-0.2262	468	228	<local data dir>/release/omni_final/omnisft_pitt_oof.csv	-0.34 [-0.45, -0.23]	difference: excludes 0 (below 0)	YES (max abs diff 0.0e+00)
POD1_gap_change	gap change, balanced gap minus standard gap (same draw)	-0.0182 [-0.1116, 0.0756]	-0.0182	-0.1116	0.0756	468	228	scores/part20/POD1/balanced_ft_pitt_oof.csv | <local data dir>/release/omni_final/omnisft_pitt_oof.csv	-0.02 [-0.11, +0.08]	difference: includes 0	YES (max abs diff 0.0e+00)
POD1_f3rerun_all	balanced fine-tune (fold 3 from lone rerun) AUC, all 468, p_yes	0.7603 [0.6967, 0.8174]	0.7603	0.6967	0.8174	468	228	scores/part20/POD1/balanced_ft_pitt_fold3rerun_oof.csv	0.76 [0.70, 0.82]	above 0.5	YES (max abs diff 0.0e+00)
POD1_f3rerun_conflict	balanced fine-tune (fold 3 from lone rerun) AUC, conflict 146, p_yes	0.5003 [0.3936, 0.6170]	0.5003	0.3936	0.6170	146	100	scores/part20/POD1/balanced_ft_pitt_fold3rerun_oof.csv	0.50 [0.39, 0.62]	includes 0.5 (point above 0.5)	YES (max abs diff 0.0e+00)
