id	what	value	lo	hi	n	n_spk	file	two_dp	vs_half
POD5_zs_o25_overall	Qwen2.5-Omni zero-shot p_yes (by-product of extraction; POD4 reports it officially), interviewer-free, overall	0.7231	0.6663	0.7750	468	228	scores/part20/POD5/POD5_zs_o25_noinv.csv	0.72 [0.67, 0.78]	above 0.5, interval excludes 0.5
POD5_zs_o25_paper_overall	Qwen2.5-Omni zero-shot p_yes (by-product of extraction; POD4 reports it officially), paper 468 windows, overall	0.6578	0.6033	0.7125	468	228	scores/part20/POD5/POD5_zs_o25_noinv.csv	0.66 [0.60, 0.71]	above 0.5, interval excludes 0.5
POD5_zs_o25_diff_overall	Qwen2.5-Omni zero-shot p_yes (by-product of extraction; POD4 reports it officially), paired paper minus interviewer-free, overall	-0.0654	-0.1094	-0.0232	468	228	scores/part20/POD5/POD5_zs_o25_noinv.csv	-0.07 [-0.11, -0.02]	interval excludes zero
POD5_zs_o25_conflict	Qwen2.5-Omni zero-shot p_yes (by-product of extraction; POD4 reports it officially), interviewer-free, conflict	0.5426	0.4273	0.6661	146	100	scores/part20/POD5/POD5_zs_o25_noinv.csv	0.54 [0.43, 0.67]	above 0.5, interval includes 0.5
POD5_zs_o25_paper_conflict	Qwen2.5-Omni zero-shot p_yes (by-product of extraction; POD4 reports it officially), paper 468 windows, conflict	0.5322	0.4216	0.6447	146	100	scores/part20/POD5/POD5_zs_o25_noinv.csv	0.53 [0.42, 0.64]	above 0.5, interval includes 0.5
POD5_zs_o25_diff_conflict	Qwen2.5-Omni zero-shot p_yes (by-product of extraction; POD4 reports it officially), paired paper minus interviewer-free, conflict	-0.0103	-0.0928	0.0666	146	100	scores/part20/POD5/POD5_zs_o25_noinv.csv	-0.01 [-0.09, 0.07]	interval includes zero
POD5_zs_o25_agreement	Qwen2.5-Omni zero-shot p_yes (by-product of extraction; POD4 reports it officially), interviewer-free, agreement	0.7999	0.7496	0.8489	322	175	scores/part20/POD5/POD5_zs_o25_noinv.csv	0.80 [0.75, 0.85]	above 0.5, interval excludes 0.5
POD5_zs_o25_paper_agreement	Qwen2.5-Omni zero-shot p_yes (by-product of extraction; POD4 reports it officially), paper 468 windows, agreement	0.7054	0.6431	0.7658	322	175	scores/part20/POD5/POD5_zs_o25_noinv.csv	0.71 [0.64, 0.77]	above 0.5, interval excludes 0.5
POD5_zs_o25_diff_agreement	Qwen2.5-Omni zero-shot p_yes (by-product of extraction; POD4 reports it officially), paired paper minus interviewer-free, agreement	-0.0945	-0.1501	-0.0395	322	175	scores/part20/POD5/POD5_zs_o25_noinv.csv	-0.09 [-0.15, -0.04]	interval excludes zero
POD5_enc_mac_seed_overall	Qwen2.5-Omni nested probe, encoder, 5 renumbered Mac-tie splits pitt_groupkfold5_mac_seed0..4 (paper 0.7706), mean of per-repeat AUCs, interviewer-free, overall	0.7643	0.7135	0.8116	468	228	scores/part20/POD5/POD5_nested_enc_mac_seed.csv	0.76 [0.71, 0.81]	above 0.5, interval excludes 0.5
POD5_enc_mac_seed_paper_overall	Qwen2.5-Omni nested probe, encoder, 5 renumbered Mac-tie splits pitt_groupkfold5_mac_seed0..4 (paper 0.7706), mean of per-repeat AUCs, paper 468 windows, overall	0.7706	0.7157	0.8220	468	228	scores/part20/POD5/POD5_nested_enc_mac_seed.csv	0.77 [0.72, 0.82]	above 0.5, interval excludes 0.5
POD5_enc_mac_seed_diff_overall	Qwen2.5-Omni nested probe, encoder, 5 renumbered Mac-tie splits pitt_groupkfold5_mac_seed0..4 (paper 0.7706), mean of per-repeat AUCs, paired paper minus interviewer-free, overall	0.0063	-0.0232	0.0375	468	228	scores/part20/POD5/POD5_nested_enc_mac_seed.csv	0.01 [-0.02, 0.04]	interval includes zero
POD5_enc_mac_seed_conflict	Qwen2.5-Omni nested probe, encoder, 5 renumbered Mac-tie splits pitt_groupkfold5_mac_seed0..4 (paper 0.7706), mean of per-repeat AUCs, interviewer-free, conflict	0.6071	0.5070	0.7063	146	100	scores/part20/POD5/POD5_nested_enc_mac_seed.csv	0.61 [0.51, 0.71]	above 0.5, interval excludes 0.5
POD5_enc_mac_seed_paper_conflict	Qwen2.5-Omni nested probe, encoder, 5 renumbered Mac-tie splits pitt_groupkfold5_mac_seed0..4 (paper 0.7706), mean of per-repeat AUCs, paper 468 windows, conflict	0.5921	0.4906	0.7024	146	100	scores/part20/POD5/POD5_nested_enc_mac_seed.csv	0.59 [0.49, 0.70]	above 0.5, interval includes 0.5
POD5_enc_mac_seed_diff_conflict	Qwen2.5-Omni nested probe, encoder, 5 renumbered Mac-tie splits pitt_groupkfold5_mac_seed0..4 (paper 0.7706), mean of per-repeat AUCs, paired paper minus interviewer-free, conflict	-0.0150	-0.0804	0.0529	146	100	scores/part20/POD5/POD5_nested_enc_mac_seed.csv	-0.02 [-0.08, 0.05]	interval includes zero
POD5_enc_mac_seed_agreement	Qwen2.5-Omni nested probe, encoder, 5 renumbered Mac-tie splits pitt_groupkfold5_mac_seed0..4 (paper 0.7706), mean of per-repeat AUCs, interviewer-free, agreement	0.8322	0.7843	0.8732	322	175	scores/part20/POD5/POD5_nested_enc_mac_seed.csv	0.83 [0.78, 0.87]	above 0.5, interval excludes 0.5
POD5_enc_mac_seed_paper_agreement	Qwen2.5-Omni nested probe, encoder, 5 renumbered Mac-tie splits pitt_groupkfold5_mac_seed0..4 (paper 0.7706), mean of per-repeat AUCs, paper 468 windows, agreement	0.8437	0.7960	0.8866	322	175	scores/part20/POD5/POD5_nested_enc_mac_seed.csv	0.84 [0.80, 0.89]	above 0.5, interval excludes 0.5
POD5_enc_mac_seed_diff_agreement	Qwen2.5-Omni nested probe, encoder, 5 renumbered Mac-tie splits pitt_groupkfold5_mac_seed0..4 (paper 0.7706), mean of per-repeat AUCs, paired paper minus interviewer-free, agreement	0.0116	-0.0161	0.0408	322	175	scores/part20/POD5/POD5_nested_enc_mac_seed.csv	0.01 [-0.02, 0.04]	interval includes zero
POD5_llm_pod_seed_overall	Qwen2.5-Omni nested probe, LM stages at audio positions, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper 0.8032), mean of per-repeat AUCs, interviewer-free, overall	0.8020	0.7592	0.8455	468	228	scores/part20/POD5/POD5_nested_llm_pod_seed.csv	0.80 [0.76, 0.85]	above 0.5, interval excludes 0.5
POD5_llm_pod_seed_original_rerun_overall	Qwen2.5-Omni nested probe, LM stages at audio positions, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper 0.8032), mean of per-repeat AUCs, original_rerun 468 windows, overall	0.8032	0.7567	0.8496	468	228	scores/part20/POD5/POD5_nested_llm_pod_seed.csv	0.80 [0.76, 0.85]	above 0.5, interval excludes 0.5
POD5_llm_pod_seed_diff_overall	Qwen2.5-Omni nested probe, LM stages at audio positions, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper 0.8032), mean of per-repeat AUCs, paired original_rerun minus interviewer-free, overall	0.0012	-0.0265	0.0307	468	228	scores/part20/POD5/POD5_nested_llm_pod_seed.csv	0.00 [-0.03, 0.03]	interval includes zero
POD5_llm_pod_seed_conflict	Qwen2.5-Omni nested probe, LM stages at audio positions, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper 0.8032), mean of per-repeat AUCs, interviewer-free, conflict	0.5519	0.4555	0.6481	146	100	scores/part20/POD5/POD5_nested_llm_pod_seed.csv	0.55 [0.46, 0.65]	above 0.5, interval includes 0.5
POD5_llm_pod_seed_original_rerun_conflict	Qwen2.5-Omni nested probe, LM stages at audio positions, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper 0.8032), mean of per-repeat AUCs, original_rerun 468 windows, conflict	0.5450	0.4481	0.6519	146	100	scores/part20/POD5/POD5_nested_llm_pod_seed.csv	0.54 [0.45, 0.65]	above 0.5, interval includes 0.5
POD5_llm_pod_seed_diff_conflict	Qwen2.5-Omni nested probe, LM stages at audio positions, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper 0.8032), mean of per-repeat AUCs, paired original_rerun minus interviewer-free, conflict	-0.0070	-0.0733	0.0606	146	100	scores/part20/POD5/POD5_nested_llm_pod_seed.csv	-0.01 [-0.07, 0.06]	interval includes zero
POD5_llm_pod_seed_agreement	Qwen2.5-Omni nested probe, LM stages at audio positions, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper 0.8032), mean of per-repeat AUCs, interviewer-free, agreement	0.8922	0.8578	0.9239	322	175	scores/part20/POD5/POD5_nested_llm_pod_seed.csv	0.89 [0.86, 0.92]	above 0.5, interval excludes 0.5
POD5_llm_pod_seed_original_rerun_agreement	Qwen2.5-Omni nested probe, LM stages at audio positions, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper 0.8032), mean of per-repeat AUCs, original_rerun 468 windows, agreement	0.8935	0.8573	0.9260	322	175	scores/part20/POD5/POD5_nested_llm_pod_seed.csv	0.89 [0.86, 0.93]	above 0.5, interval excludes 0.5
POD5_llm_pod_seed_diff_agreement	Qwen2.5-Omni nested probe, LM stages at audio positions, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper 0.8032), mean of per-repeat AUCs, paired original_rerun minus interviewer-free, agreement	0.0013	-0.0214	0.0246	322	175	scores/part20/POD5/POD5_nested_llm_pod_seed.csv	0.00 [-0.02, 0.02]	interval includes zero
POD5_ans_pod_seed_overall	Qwen2.5-Omni nested probe, answer state, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper 0.7636), mean of per-repeat AUCs, interviewer-free, overall	0.7777	0.7332	0.8188	468	228	scores/part20/POD5/POD5_nested_ans_pod_seed.csv	0.78 [0.73, 0.82]	above 0.5, interval excludes 0.5
POD5_ans_pod_seed_original_rerun_overall	Qwen2.5-Omni nested probe, answer state, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper 0.7636), mean of per-repeat AUCs, original_rerun 468 windows, overall	0.7636	0.7169	0.8117	468	228	scores/part20/POD5/POD5_nested_ans_pod_seed.csv	0.76 [0.72, 0.81]	above 0.5, interval excludes 0.5
POD5_ans_pod_seed_diff_overall	Qwen2.5-Omni nested probe, answer state, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper 0.7636), mean of per-repeat AUCs, paired original_rerun minus interviewer-free, overall	-0.0142	-0.0420	0.0163	468	228	scores/part20/POD5/POD5_nested_ans_pod_seed.csv	-0.01 [-0.04, 0.02]	interval includes zero
POD5_ans_pod_seed_conflict	Qwen2.5-Omni nested probe, answer state, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper 0.7636), mean of per-repeat AUCs, interviewer-free, conflict	0.5628	0.4724	0.6611	146	100	scores/part20/POD5/POD5_nested_ans_pod_seed.csv	0.56 [0.47, 0.66]	above 0.5, interval includes 0.5
POD5_ans_pod_seed_original_rerun_conflict	Qwen2.5-Omni nested probe, answer state, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper 0.7636), mean of per-repeat AUCs, original_rerun 468 windows, conflict	0.5274	0.4343	0.6299	146	100	scores/part20/POD5/POD5_nested_ans_pod_seed.csv	0.53 [0.43, 0.63]	above 0.5, interval includes 0.5
POD5_ans_pod_seed_diff_conflict	Qwen2.5-Omni nested probe, answer state, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper 0.7636), mean of per-repeat AUCs, paired original_rerun minus interviewer-free, conflict	-0.0353	-0.0902	0.0229	146	100	scores/part20/POD5/POD5_nested_ans_pod_seed.csv	-0.04 [-0.09, 0.02]	interval includes zero
POD5_ans_pod_seed_agreement	Qwen2.5-Omni nested probe, answer state, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper 0.7636), mean of per-repeat AUCs, interviewer-free, agreement	0.8601	0.8242	0.8942	322	175	scores/part20/POD5/POD5_nested_ans_pod_seed.csv	0.86 [0.82, 0.89]	above 0.5, interval excludes 0.5
POD5_ans_pod_seed_original_rerun_agreement	Qwen2.5-Omni nested probe, answer state, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper 0.7636), mean of per-repeat AUCs, original_rerun 468 windows, agreement	0.8580	0.8186	0.8947	322	175	scores/part20/POD5/POD5_nested_ans_pod_seed.csv	0.86 [0.82, 0.89]	above 0.5, interval excludes 0.5
POD5_ans_pod_seed_diff_agreement	Qwen2.5-Omni nested probe, answer state, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper 0.7636), mean of per-repeat AUCs, paired original_rerun minus interviewer-free, agreement	-0.0022	-0.0313	0.0251	322	175	scores/part20/POD5/POD5_nested_ans_pod_seed.csv	-0.00 [-0.03, 0.03]	interval includes zero
POD5_enc_pod_seed_overall	Qwen2.5-Omni nested probe, encoder SUPPLEMENT, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper pod json 0.7761), mean of per-repeat AUCs, interviewer-free, overall	0.7568	0.7082	0.8067	468	228	scores/part20/POD5/POD5_nested_enc_pod_seed.csv	0.76 [0.71, 0.81]	above 0.5, interval excludes 0.5
POD5_enc_pod_seed_original_rerun_overall	Qwen2.5-Omni nested probe, encoder SUPPLEMENT, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper pod json 0.7761), mean of per-repeat AUCs, original_rerun 468 windows, overall	0.7761	0.7245	0.8273	468	228	scores/part20/POD5/POD5_nested_enc_pod_seed.csv	0.78 [0.72, 0.83]	above 0.5, interval excludes 0.5
POD5_enc_pod_seed_diff_overall	Qwen2.5-Omni nested probe, encoder SUPPLEMENT, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper pod json 0.7761), mean of per-repeat AUCs, paired original_rerun minus interviewer-free, overall	0.0193	-0.0089	0.0507	468	228	scores/part20/POD5/POD5_nested_enc_pod_seed.csv	0.02 [-0.01, 0.05]	interval includes zero
POD5_enc_pod_seed_conflict	Qwen2.5-Omni nested probe, encoder SUPPLEMENT, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper pod json 0.7761), mean of per-repeat AUCs, interviewer-free, conflict	0.6018	0.5042	0.7001	146	100	scores/part20/POD5/POD5_nested_enc_pod_seed.csv	0.60 [0.50, 0.70]	above 0.5, interval excludes 0.5
POD5_enc_pod_seed_original_rerun_conflict	Qwen2.5-Omni nested probe, encoder SUPPLEMENT, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper pod json 0.7761), mean of per-repeat AUCs, original_rerun 468 windows, conflict	0.5904	0.4839	0.7001	146	100	scores/part20/POD5/POD5_nested_enc_pod_seed.csv	0.59 [0.48, 0.70]	above 0.5, interval includes 0.5
POD5_enc_pod_seed_diff_conflict	Qwen2.5-Omni nested probe, encoder SUPPLEMENT, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper pod json 0.7761), mean of per-repeat AUCs, paired original_rerun minus interviewer-free, conflict	-0.0114	-0.0766	0.0486	146	100	scores/part20/POD5/POD5_nested_enc_pod_seed.csv	-0.01 [-0.08, 0.05]	interval includes zero
POD5_enc_pod_seed_agreement	Qwen2.5-Omni nested probe, encoder SUPPLEMENT, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper pod json 0.7761), mean of per-repeat AUCs, interviewer-free, agreement	0.8234	0.7746	0.8659	322	175	scores/part20/POD5/POD5_nested_enc_pod_seed.csv	0.82 [0.77, 0.87]	above 0.5, interval excludes 0.5
POD5_enc_pod_seed_original_rerun_agreement	Qwen2.5-Omni nested probe, encoder SUPPLEMENT, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper pod json 0.7761), mean of per-repeat AUCs, original_rerun 468 windows, agreement	0.8511	0.8050	0.8919	322	175	scores/part20/POD5/POD5_nested_enc_pod_seed.csv	0.85 [0.81, 0.89]	above 0.5, interval excludes 0.5
POD5_enc_pod_seed_diff_agreement	Qwen2.5-Omni nested probe, encoder SUPPLEMENT, splits pitt_groupkfold5_pod_seed0..4_UNVERIFIED (paper pod json 0.7761), mean of per-repeat AUCs, paired original_rerun minus interviewer-free, agreement	0.0276	-0.0020	0.0578	322	175	scores/part20/POD5/POD5_nested_enc_pod_seed.csv	0.03 [-0.00, 0.06]	interval includes zero
POD5_proj_pod_seed0_overall	Qwen2.5-Omni nested probe, projector SUPPLEMENT (1 point, seed-0 split as nested_repeats_all.py; paper json 0.7507), mean of per-repeat AUCs, interviewer-free, overall	0.7478	0.6928	0.8015	468	228	scores/part20/POD5/POD5_nested_proj_pod_seed0.csv	0.75 [0.69, 0.80]	above 0.5, interval excludes 0.5
