id	what	value	lo	hi	n	n_spk	file	two_dp	vs_half
POD4c_af3_diff_part10_minus_noinv_agreement	AF3 paired AUC difference, original (part10) minus interviewer-free, agreement	-0.0285	-0.0959	0.0404	322	175	scores/part20/POD4c/af3_diff_part10_minus_noinv_agreement.csv	-0.03 [-0.10, 0.04]	interval includes zero
POD4c_af3_diff_part10_minus_noinv_all	AF3 paired AUC difference, original (part10) minus interviewer-free, all	-0.0026	-0.0600	0.0548	468	228	scores/part20/POD4c/af3_diff_part10_minus_noinv_all.csv	-0.00 [-0.06, 0.05]	interval includes zero
POD4c_af3_diff_part10_minus_noinv_conflict	AF3 paired AUC difference, original (part10) minus interviewer-free, conflict	0.0658	-0.0359	0.1653	146	100	scores/part20/POD4c/af3_diff_part10_minus_noinv_conflict.csv	0.07 [-0.04, 0.17]	interval includes zero
POD4c_af3_diff_part3_minus_noinv_agreement	AF3 paired AUC difference, original (part3) minus interviewer-free, agreement	-0.0318	-0.0984	0.0395	322	175	scores/part20/POD4c/af3_diff_part3_minus_noinv_agreement.csv	-0.03 [-0.10, 0.04]	interval includes zero
POD4c_af3_diff_part3_minus_noinv_all	AF3 paired AUC difference, original (part3) minus interviewer-free, all	-0.0034	-0.0611	0.0542	468	228	scores/part20/POD4c/af3_diff_part3_minus_noinv_all.csv	-0.00 [-0.06, 0.05]	interval includes zero
POD4c_af3_diff_part3_minus_noinv_conflict	AF3 paired AUC difference, original (part3) minus interviewer-free, conflict	0.0752	-0.0240	0.1752	146	100	scores/part20/POD4c/af3_diff_part3_minus_noinv_conflict.csv	0.08 [-0.02, 0.18]	interval includes zero
POD4c_af3_noinv_agreement	AF3 zero-shot AUC, Pitt interviewer-free cut, agreement	0.6140	0.5427	0.6798	322	175	scores/part20/POD4c/af3_noinv_agreement.csv	0.61 [0.54, 0.68]	above 0.5
POD4c_af3_noinv_all	AF3 zero-shot AUC, Pitt interviewer-free cut, all	0.5920	0.5293	0.6577	468	228	scores/part20/POD4c/af3_noinv_all.csv	0.59 [0.53, 0.66]	above 0.5
POD4c_af3_noinv_conflict	AF3 zero-shot AUC, Pitt interviewer-free cut, conflict	0.5417	0.4202	0.6621	146	100	scores/part20/POD4c/af3_noinv_conflict.csv	0.54 [0.42, 0.66]	above 0.5
POD4c_af3_orig_part10_agreement	AF3 zero-shot AUC, original 468 windows (part10 file), agreement (recomputed)	0.5855	0.5144	0.6554	322	175	scores/part20/POD4c/af3_orig_part10_agreement.csv	0.59 [0.51, 0.66]	above 0.5
