id	what	value_computed	value_verified	lo	hi	n	n_spk	file	two_dp	vs_half	agree_4dp
POD2.bal.overall.2logit	balanced LoRA out-of-fold AUC, overall, Pitt 468 (column p_yes_2logit)	0.7200	0.7200	0.6494	0.7866	468	228	scores/part20/POD2/balanced_lora_pitt_oof.csv	0.72 [0.65, 0.79]	above	yes
POD2.earlier.overall.2logit	earlier LoRA (part16 POD2) out-of-fold AUC, overall, recomputed (column p_yes)	0.8250	0.8250	0.7735	0.8729	468	228	<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_oof.csv	0.83 [0.77, 0.87]	above	yes
POD2.diff.overall.2logit	PAIRED balanced minus earlier LoRA AUC, overall (2logit; one speaker draw per replicate scores both)	-0.1050	-0.1050	-0.1577	-0.0584	468	228	scores/part20/POD2/balanced_minus_earlier_lora_pitt_perclip.csv	-0.10 [-0.16, -0.06]	interval excludes zero (below 0)	yes
POD2.bal.conflict.2logit	balanced LoRA out-of-fold AUC, conflict, Pitt 468 (column p_yes_2logit)	0.5770	0.5770	0.4586	0.7006	146	100	scores/part20/POD2/balanced_lora_pitt_oof.csv	0.58 [0.46, 0.70]	interval includes 0.5	yes
POD2.earlier.conflict.2logit	earlier LoRA (part16 POD2) out-of-fold AUC, conflict, recomputed (column p_yes)	0.5520	0.5520	0.4348	0.6833	146	100	<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_oof.csv	0.55 [0.43, 0.68]	interval includes 0.5	yes
POD2.diff.conflict.2logit	PAIRED balanced minus earlier LoRA AUC, conflict (2logit; one speaker draw per replicate scores both)	0.0250	0.0250	-0.0675	0.1077	146	100	scores/part20/POD2/balanced_minus_earlier_lora_pitt_perclip.csv	0.02 [-0.07, 0.11]	interval includes zero	yes
POD2.bal.agreement.2logit	balanced LoRA out-of-fold AUC, agreement, Pitt 468 (column p_yes_2logit)	0.7843	0.7843	0.7074	0.8510	322	175	scores/part20/POD2/balanced_lora_pitt_oof.csv	0.78 [0.71, 0.85]	above	yes
POD2.earlier.agreement.2logit	earlier LoRA (part16 POD2) out-of-fold AUC, agreement, recomputed (column p_yes)	0.9199	0.9199	0.8846	0.9513	322	175	<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_oof.csv	0.92 [0.88, 0.95]	above	yes
POD2.diff.agreement.2logit	PAIRED balanced minus earlier LoRA AUC, agreement (2logit; one speaker draw per replicate scores both)	-0.1356	-0.1356	-0.1977	-0.0848	322	175	scores/part20/POD2/balanced_minus_earlier_lora_pitt_perclip.csv	-0.14 [-0.20, -0.08]	interval excludes zero (below 0)	yes
POD2.bal.cma.2logit	balanced LoRA conflict minus agreement AUC, paired over all 228 speakers (2logit)	-0.2073	-0.2073	-0.3389	-0.0778	468	228	scores/part20/POD2/balanced_lora_pitt_oof.csv	-0.21 [-0.34, -0.08]	interval excludes zero (below 0)	yes
POD2.gapchange.2logit	gap change: (conflict minus agreement) balanced minus the same for earlier LoRA, paired (2logit)	0.1605	0.1605	0.0584	0.2604	468	228	scores/part20/POD2/balanced_minus_earlier_lora_pitt_perclip.csv	0.16 [0.06, 0.26]	interval excludes zero (above 0)	yes
POD2.bal.overall.multivariant	balanced LoRA out-of-fold AUC, overall, Pitt 468 (column p_yes (multi-variant))	0.7113	0.7113	0.6368	0.7799	468	228	scores/part20/POD2/balanced_lora_pitt_oof.csv	0.71 [0.64, 0.78]	above	yes
POD2.earlier.overall.multivariant	earlier LoRA (part16 POD2) out-of-fold AUC, overall, recomputed (column p_yes_multivariant)	0.8220	0.8220	0.7702	0.8711	468	228	<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_oof.csv	0.82 [0.77, 0.87]	above	yes
POD2.diff.overall.multivariant	PAIRED balanced minus earlier LoRA AUC, overall (multivariant; one speaker draw per replicate scores both)	-0.1107	-0.1107	-0.1659	-0.0624	468	228	scores/part20/POD2/balanced_minus_earlier_lora_pitt_perclip.csv	-0.11 [-0.17, -0.06]	interval excludes zero (below 0)	yes
POD2.bal.conflict.multivariant	balanced LoRA out-of-fold AUC, conflict, Pitt 468 (column p_yes (multi-variant))	0.5736	0.5736	0.4549	0.6939	146	100	scores/part20/POD2/balanced_lora_pitt_oof.csv	0.57 [0.45, 0.69]	interval includes 0.5	yes
POD2.earlier.conflict.multivariant	earlier LoRA (part16 POD2) out-of-fold AUC, conflict, recomputed (column p_yes_multivariant)	0.5516	0.5516	0.4333	0.6814	146	100	<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_oof.csv	0.55 [0.43, 0.68]	interval includes 0.5	yes
POD2.diff.conflict.multivariant	PAIRED balanced minus earlier LoRA AUC, conflict (multivariant; one speaker draw per replicate scores both)	0.0220	0.0220	-0.0733	0.1054	146	100	scores/part20/POD2/balanced_minus_earlier_lora_pitt_perclip.csv	0.02 [-0.07, 0.11]	interval includes zero	yes
POD2.bal.agreement.multivariant	balanced LoRA out-of-fold AUC, agreement, Pitt 468 (column p_yes (multi-variant))	0.7724	0.7724	0.6938	0.8396	322	175	scores/part20/POD2/balanced_lora_pitt_oof.csv	0.77 [0.69, 0.84]	above	yes
