id	what	value_computed	value_verified	lo	hi	n	n_spk	file	two_dp	vs_half	agree_4dp
kimi_pitt_noinv_overall	Kimi-Audio zero-shot Pitt interviewer-free (PAR-only) overall AUC	0.5981	0.5981	0.5345	0.6617	468	228	scores/part20/POD4d/kimi_pitt_noinv_overall.csv	0.60	above 0.5	yes
kimi_pitt_noinv_conflict	Kimi-Audio zero-shot Pitt interviewer-free (PAR-only) conflict AUC [interval: arm-only speaker pool]	0.6972	0.6972	0.5905	0.7946	146	100	scores/part20/POD4d/kimi_pitt_noinv_conflict.csv	0.70	above 0.5	yes
kimi_pitt_noinv_agreement	Kimi-Audio zero-shot Pitt interviewer-free (PAR-only) agreement AUC [interval: arm-only speaker pool]	0.5612	0.5612	0.4860	0.6364	322	175	scores/part20/POD4d/kimi_pitt_noinv_agreement.csv	0.56	interval includes 0.5	yes
kimi_pitt_orig_canonical_overall	Kimi-Audio zero-shot Pitt original windows overall AUC (canonical paper file, recomputed)	0.7180	0.7180	0.6585	0.7742	468	228	scores/part20/POD4d/kimi_pitt_orig_canonical_overall.csv	0.72	above 0.5	yes
kimi_pitt_orig_canonical_conflict	Kimi-Audio zero-shot Pitt original windows conflict AUC (canonical paper file, recomputed) [interval: arm-only speaker pool]	0.7197	0.7197	0.6201	0.8147	146	100	scores/part20/POD4d/kimi_pitt_orig_canonical_conflict.csv	0.72	above 0.5	yes
kimi_pitt_orig_canonical_agreement	Kimi-Audio zero-shot Pitt original windows agreement AUC (canonical paper file, recomputed) [interval: arm-only speaker pool]	0.7227	0.7227	0.6560	0.7896	322	175	scores/part20/POD4d/kimi_pitt_orig_canonical_agreement.csv	0.72	above 0.5	yes
kimi_pitt_orig_minus_noinv_overall	Kimi-Audio zero-shot Pitt overall: original (canonical file) minus interviewer-free AUC (paired)	0.1199	0.1199	0.0718	0.1665	468	228	scores/part20/POD4d/kimi_pitt_orig_minus_noinv_overall.csv	0.12	interval excludes zero	yes
kimi_pitt_orig_minus_noinv_conflict	Kimi-Audio zero-shot Pitt conflict: original (canonical file) minus interviewer-free AUC (paired) [interval: arm-only speaker pool]	0.0224	0.0224	-0.0495	0.0996	146	100	scores/part20/POD4d/kimi_pitt_orig_minus_noinv_conflict.csv	0.02	interval includes zero	yes
kimi_pitt_orig_minus_noinv_agreement	Kimi-Audio zero-shot Pitt agreement: original (canonical file) minus interviewer-free AUC (paired) [interval: arm-only speaker pool]	0.1615	0.1615	0.1068	0.2168	322	175	scores/part20/POD4d/kimi_pitt_orig_minus_noinv_agreement.csv	0.16	interval excludes zero	yes
kimi_pitt_orig_podrerun_overall	Kimi-Audio zero-shot Pitt original windows overall AUC (this pod's rerun, same env as the cut)	0.7151	0.7151	0.6553	0.7730	468	228	scores/part20/POD4d/kimi_pitt_orig_podrerun_overall.csv	0.72	above 0.5	yes
kimi_pitt_orig_podrerun_conflict	Kimi-Audio zero-shot Pitt original windows conflict AUC (this pod's rerun, same env as the cut) [interval: arm-only speaker pool]	0.7215	0.7215	0.6210	0.8153	146	100	scores/part20/POD4d/kimi_pitt_orig_podrerun_conflict.csv	0.72	above 0.5	yes
kimi_pitt_orig_podrerun_agreement	Kimi-Audio zero-shot Pitt original windows agreement AUC (this pod's rerun, same env as the cut) [interval: arm-only speaker pool]	0.7192	0.7192	0.6528	0.7867	322	175	scores/part20/POD4d/kimi_pitt_orig_podrerun_agreement.csv	0.72	above 0.5	yes
kimi_pitt_podorig_minus_noinv_overall	Kimi-Audio zero-shot Pitt overall: original (pod rerun) minus interviewer-free AUC (paired, same env)	0.1170	0.1170	0.0692	0.1650	468	228	scores/part20/POD4d/kimi_pitt_podorig_minus_noinv_overall.csv	0.12	interval excludes zero	yes
kimi_pitt_podorig_minus_noinv_conflict	Kimi-Audio zero-shot Pitt conflict: original (pod rerun) minus interviewer-free AUC (paired, same env) [interval: arm-only speaker pool]	0.0242	0.0242	-0.0519	0.1016	146	100	scores/part20/POD4d/kimi_pitt_podorig_minus_noinv_conflict.csv	0.02	interval includes zero	yes
kimi_pitt_podorig_minus_noinv_agreement	Kimi-Audio zero-shot Pitt agreement: original (pod rerun) minus interviewer-free AUC (paired, same env) [interval: arm-only speaker pool]	0.1580	0.1580	0.1027	0.2136	322	175	scores/part20/POD4d/kimi_pitt_podorig_minus_noinv_agreement.csv	0.16	interval excludes zero	yes
kimi_pitt_canon_minus_podorig_overall	Kimi-Audio zero-shot Pitt overall: canonical file minus this pod's rerun of the same original windows (paired, environment drift)	0.0029	0.0029	-0.0049	0.0108	468	228	scores/part20/POD4d/kimi_pitt_canon_minus_podorig_overall.csv	0.00	interval includes zero	yes
kimi_pitt_canon_minus_podorig_conflict	Kimi-Audio zero-shot Pitt conflict: canonical file minus this pod's rerun of the same original windows (paired, environment drift) [interval: arm-only speaker pool]	-0.0018	-0.0018	-0.0215	0.0160	146	100	scores/part20/POD4d/kimi_pitt_canon_minus_podorig_conflict.csv	-0.00	interval includes zero	yes
kimi_pitt_canon_minus_podorig_agreement	Kimi-Audio zero-shot Pitt agreement: canonical file minus this pod's rerun of the same original windows (paired, environment drift) [interval: arm-only speaker pool]	0.0035	0.0035	-0.0053	0.0126	322	175	scores/part20/POD4d/kimi_pitt_canon_minus_podorig_agreement.csv	0.00	interval includes zero	yes
kimi_val10_vs_canonical	Validation gate FAIL: max |pod p_yes (reference token set) - canonical p_yes| over the first 10 original windows (tolerance 1e-3); 9 of 10 over 1e-3; 413 of 468 over 1e-3 on the full pod rerun	0.0768	0.0768			10	6	scores/part20/POD4d/kimi_val10_vs_canonical.csv	0.08	FAIL (exceeds 1e-3)	yes
