id	what	value	lo	hi	n	n_spk	file	two_dp	vs_half
P20.POD4.o25_noinv_recording_overall	o25_noinv_recording zero-shot AUC, overall	0.7230	0.6664	0.7753	468	228	scores/part20/POD4/o25_noinv_recording.csv	0.72 [0.67, 0.78]	above 0.5; interval excludes 0.5
P20.POD4.o25_noinv_recording_conflict	o25_noinv_recording zero-shot AUC, conflict	0.5408	0.4245	0.6622	146	100	scores/part20/POD4/o25_noinv_recording.csv	0.54 [0.42, 0.66]	above 0.5; interval includes 0.5
P20.POD4.o25_noinv_recording_agreement	o25_noinv_recording zero-shot AUC, agreement	0.8007	0.7500	0.8501	322	175	scores/part20/POD4/o25_noinv_recording.csv	0.80 [0.75, 0.85]	above 0.5; interval excludes 0.5
P20.POD4.paper_o25_orig_recording_overall	paper o25 zero-shot on the original 468 windows, recording wording, overall (recomputed)	0.6578	0.6033	0.7125	468	228	<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv	0.66 [0.60, 0.71]	above 0.5; interval excludes 0.5
P20.POD4.paper_o25_orig_recording_conflict	paper o25 zero-shot on the original 468 windows, recording wording, conflict (recomputed)	0.5322	0.4216	0.6447	146	100	<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv	0.53 [0.42, 0.64]	above 0.5; interval includes 0.5
P20.POD4.paper_o25_orig_recording_agreement	paper o25 zero-shot on the original 468 windows, recording wording, agreement (recomputed)	0.7054	0.6431	0.7658	322	175	<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv	0.71 [0.64, 0.77]	above 0.5; interval excludes 0.5
P20.POD4.o25_noinv_recording_PAIRED_paperorig_minus_noinv_overall	PAIRED original (paper file) minus interviewer-free, o25, overall	-0.0652	-0.1081	-0.0228	468	228	<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv MINUS scores/part20/POD4/o25_noinv_recording.csv	-0.07 [-0.11, -0.02]	interval excludes zero
P20.POD4.o25_noinv_recording_PAIRED_paperorig_minus_noinv_conflict	PAIRED original (paper file) minus interviewer-free, o25, conflict	-0.0086	-0.0890	0.0679	146	100	<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv MINUS scores/part20/POD4/o25_noinv_recording.csv	-0.01 [-0.09, +0.07]	interval includes zero
P20.POD4.o25_noinv_recording_PAIRED_paperorig_minus_noinv_agreement	PAIRED original (paper file) minus interviewer-free, o25, agreement	-0.0954	-0.1512	-0.0401	322	175	<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv MINUS scores/part20/POD4/o25_noinv_recording.csv	-0.10 [-0.15, -0.04]	interval excludes zero
P20.POD4.o25_noinv_recording_PAIRED_podorig_minus_noinv_overall	PAIRED original (this pod's rerun, same code) minus interviewer-free, o25, overall	-0.0732	-0.1165	-0.0312	468	228	scores/part20/POD4/o25_orig_recording_rerun.csv MINUS scores/part20/POD4/o25_noinv_recording.csv	-0.07 [-0.12, -0.03]	interval excludes zero
