id	what	value	lo	hi	n	n_spk	file	two_dp	vs_half
P20.POD1.balft.all	balanced fine-tune AUC all	0.7301	0.6656	0.7905	468	228	scores/part20/POD1/balanced_ft_pitt_oof.csv	0.73 [0.67, 0.79]	above 0.5
P20.POD1.balft.conflict	balanced fine-tune AUC conflict	0.4693	0.3686	0.5854	146	100	scores/part20/POD1/balanced_ft_pitt_oof.csv	0.47 [0.37, 0.59]	interval includes 0.5 (point below 0.5)
P20.POD1.balft.agreement	balanced fine-tune AUC agreement	0.8279	0.7732	0.8792	322	175	scores/part20/POD1/balanced_ft_pitt_oof.csv	0.83 [0.77, 0.88]	above 0.5
P20.POD1.balft.diff_vs_standard.conflict	PAIRED balanced fine-tune minus standard AUC conflict	-0.0496	-0.1403	0.0344	146	100	scores/part20/POD1/balanced_ft_pitt_oof.csv	-0.05 [-0.14, +0.03]	interval includes zero
P20.POD1.balft.diff_vs_standard.all	PAIRED balanced fine-tune minus standard AUC all	-0.0372	-0.0720	-0.0018	468	228	scores/part20/POD1/balanced_ft_pitt_oof.csv	-0.04 [-0.07, -0.00]	interval excludes zero (below 0)
P20.POD1.balft.diff_vs_standard.agreement	PAIRED balanced fine-tune minus standard AUC agreement	-0.0314	-0.0659	0.0023	322	175	scores/part20/POD1/balanced_ft_pitt_oof.csv	-0.03 [-0.07, +0.00]	interval includes zero
P20.POD1.ctrl.all	CONTROL standard recipe rerun on POD1 AUC all	0.7720	0.7166	0.8280	468	228	scores/part20/POD1/standard_rerun_ft_pitt_oof.csv	0.77 [0.72, 0.83]	above 0.5
P20.POD1.ctrl.conflict	CONTROL standard recipe rerun on POD1 AUC conflict	0.4697	0.3613	0.5906	146	100	scores/part20/POD1/standard_rerun_ft_pitt_oof.csv	0.47 [0.36, 0.59]	interval includes 0.5 (point below 0.5)
P20.POD1.ctrl.agreement	CONTROL standard recipe rerun on POD1 AUC agreement	0.8895	0.8456	0.9286	322	175	scores/part20/POD1/standard_rerun_ft_pitt_oof.csv	0.89 [0.85, 0.93]	above 0.5
P20.POD1.ctrl.diff_vs_standard.conflict	PAIRED CONTROL standard recipe rerun on POD1 minus standard AUC conflict	-0.0492	-0.1526	0.0537	146	100	scores/part20/POD1/standard_rerun_ft_pitt_oof.csv	-0.05 [-0.15, +0.05]	interval includes zero
P20.POD1.ctrl.diff_vs_standard.all	PAIRED CONTROL standard recipe rerun on POD1 minus standard AUC all	0.0047	-0.0349	0.0460	468	228	scores/part20/POD1/standard_rerun_ft_pitt_oof.csv	+0.00 [-0.03, +0.05]	interval includes zero
P20.POD1.ctrl.diff_vs_standard.agreement	PAIRED CONTROL standard recipe rerun on POD1 minus standard AUC agreement	0.0302	-0.0022	0.0679	322	175	scores/part20/POD1/standard_rerun_ft_pitt_oof.csv	+0.03 [-0.00, +0.07]	interval includes zero
P20.POD1.balft_f3rerun.all	balanced fine-tune, fold 3 from lone rerun AUC all	0.7603	0.6967	0.8174	468	228	scores/part20/POD1/balanced_ft_pitt_fold3rerun_oof.csv	0.76 [0.70, 0.82]	above 0.5
P20.POD1.balft_f3rerun.conflict	balanced fine-tune, fold 3 from lone rerun AUC conflict	0.5003	0.3936	0.6170	146	100	scores/part20/POD1/balanced_ft_pitt_fold3rerun_oof.csv	0.50 [0.39, 0.62]	interval includes 0.5 (point above 0.5)
P20.POD1.balft_f3rerun.agreement	balanced fine-tune, fold 3 from lone rerun AUC agreement	0.8573	0.8063	0.9053	322	175	scores/part20/POD1/balanced_ft_pitt_fold3rerun_oof.csv	0.86 [0.81, 0.91]	above 0.5
P20.POD1.balft_f3rerun.diff_vs_standard.conflict	PAIRED balanced fine-tune, fold 3 from lone rerun minus standard AUC conflict	-0.0186	-0.1223	0.0725	146	100	scores/part20/POD1/balanced_ft_pitt_fold3rerun_oof.csv	-0.02 [-0.12, +0.07]	interval includes zero
P20.POD1.balft_f3rerun.diff_vs_standard.all	PAIRED balanced fine-tune, fold 3 from lone rerun minus standard AUC all	-0.0070	-0.0428	0.0313	468	228	scores/part20/POD1/balanced_ft_pitt_fold3rerun_oof.csv	-0.01 [-0.04, +0.03]	interval includes zero
P20.POD1.balft_f3rerun.diff_vs_standard.agreement	PAIRED balanced fine-tune, fold 3 from lone rerun minus standard AUC agreement	-0.0020	-0.0345	0.0310	322	175	scores/part20/POD1/balanced_ft_pitt_fold3rerun_oof.csv	-0.00 [-0.03, +0.03]	interval includes zero
P20.POD1.balft.diff_vs_POD1_standard_rerun.conflict	PAIRED balanced fine-tune minus POD1 standard rerun AUC conflict	-0.0004	-0.0742	0.0757	146	100	scores/part20/POD1/balanced_vs_podstd_paired.csv	-0.00 [-0.07, +0.08]	interval includes zero
P20.POD1.balft.diff_vs_POD1_standard_rerun.all	PAIRED balanced fine-tune minus POD1 standard rerun AUC all	-0.0420	-0.0803	-0.0028	468	228	scores/part20/POD1/balanced_vs_podstd_paired.csv	-0.04 [-0.08, -0.00]	interval excludes zero (below 0)
P20.POD1.balft.diff_vs_POD1_standard_rerun.agreement	PAIRED balanced fine-tune minus POD1 standard rerun AUC agreement	-0.0615	-0.1005	-0.0234	322	175	scores/part20/POD1/balanced_vs_podstd_paired.csv	-0.06 [-0.10, -0.02]	interval excludes zero (below 0)
P20.POD1.balft_r2.all	balanced fine-tune repeat 2 AUC all	0.7360	0.6726	0.7966	468	228	scores/part20/POD1/balanced_ft_pitt_r2_oof.csv	0.74 [0.67, 0.80]	above 0.5
P20.POD1.balft_r2.conflict	balanced fine-tune repeat 2 AUC conflict	0.4810	0.3775	0.5991	146	100	scores/part20/POD1/balanced_ft_pitt_r2_oof.csv	0.48 [0.38, 0.60]	interval includes 0.5 (point below 0.5)
P20.POD1.balft_r2.agreement	balanced fine-tune repeat 2 AUC agreement	0.8379	0.7847	0.8894	322	175	scores/part20/POD1/balanced_ft_pitt_r2_oof.csv	0.84 [0.78, 0.89]	above 0.5
P20.POD1.balft_r2.diff_vs_standard.conflict	PAIRED balanced fine-tune repeat 2 minus standard AUC conflict	-0.0380	-0.1562	0.0666	146	100	scores/part20/POD1/balanced_ft_pitt_r2_oof.csv	-0.04 [-0.16, +0.07]	interval includes zero
P20.POD1.balft_r2.diff_vs_standard.all	PAIRED balanced fine-tune repeat 2 minus standard AUC all	-0.0313	-0.0748	0.0104	468	228	scores/part20/POD1/balanced_ft_pitt_r2_oof.csv	-0.03 [-0.07, +0.01]	interval includes zero
P20.POD1.balft_r2.diff_vs_standard.agreement	PAIRED balanced fine-tune repeat 2 minus standard AUC agreement	-0.0214	-0.0615	0.0209	322	175	scores/part20/POD1/balanced_ft_pitt_r2_oof.csv	-0.02 [-0.06, +0.02]	interval includes zero
P20.POD1.ctrl_r2.all	CONTROL standard recipe rerun on POD1 repeat 2 AUC all	0.7734	0.7172	0.8286	468	228	scores/part20/POD1/standard_rerun_ft_pitt_r2_oof.csv	0.77 [0.72, 0.83]	above 0.5
P20.POD1.ctrl_r2.conflict	CONTROL standard recipe rerun on POD1 repeat 2 AUC conflict	0.4490	0.3385	0.5682	146	100	scores/part20/POD1/standard_rerun_ft_pitt_r2_oof.csv	0.45 [0.34, 0.57]	interval includes 0.5 (point below 0.5)
P20.POD1.ctrl_r2.agreement	CONTROL standard recipe rerun on POD1 repeat 2 AUC agreement	0.8967	0.8592	0.9322	322	175	scores/part20/POD1/standard_rerun_ft_pitt_r2_oof.csv	0.90 [0.86, 0.93]	above 0.5
P20.POD1.ctrl_r2.diff_vs_standard.conflict	PAIRED CONTROL standard recipe rerun on POD1 repeat 2 minus standard AUC conflict	-0.0700	-0.1678	0.0142	146	100	scores/part20/POD1/standard_rerun_ft_pitt_r2_oof.csv	-0.07 [-0.17, +0.01]	interval includes zero
P20.POD1.ctrl_r2.diff_vs_standard.all	PAIRED CONTROL standard recipe rerun on POD1 repeat 2 minus standard AUC all	0.0061	-0.0337	0.0493	468	228	scores/part20/POD1/standard_rerun_ft_pitt_r2_oof.csv	+0.01 [-0.03, +0.05]	interval includes zero
P20.POD1.ctrl_r2.diff_vs_standard.agreement	PAIRED CONTROL standard recipe rerun on POD1 repeat 2 minus standard AUC agreement	0.0374	0.0025	0.0786	322	175	scores/part20/POD1/standard_rerun_ft_pitt_r2_oof.csv	+0.04 [+0.00, +0.08]	interval excludes zero (above 0)
P20.POD1.balft_r2.diff_vs_POD1_standard_rerun_repeat_2.conflict	PAIRED balanced fine-tune repeat 2 minus POD1 standard rerun repeat 2 AUC conflict	0.0320	-0.0564	0.1211	146	100	scores/part20/POD1/balanced_r2_vs_podstd_r2_paired.csv	+0.03 [-0.06, +0.12]	interval includes zero
P20.POD1.balft_r2.diff_vs_POD1_standard_rerun_repeat_2.all	PAIRED balanced fine-tune repeat 2 minus POD1 standard rerun repeat 2 AUC all	-0.0374	-0.0760	-0.0012	468	228	scores/part20/POD1/balanced_r2_vs_podstd_r2_paired.csv	-0.04 [-0.08, -0.00]	interval excludes zero (below 0)
P20.POD1.balft_r2.diff_vs_POD1_standard_rerun_repeat_2.agreement	PAIRED balanced fine-tune repeat 2 minus POD1 standard rerun repeat 2 AUC agreement	-0.0588	-0.1016	-0.0204	322	175	scores/part20/POD1/balanced_r2_vs_podstd_r2_paired.csv	-0.06 [-0.10, -0.02]	interval excludes zero (below 0)
