id	what	value_computed	value_verified	lo	hi	n	n_spk	file	two_dp	vs_half	agree_4dp
POD1b_seed1_p_yes_overall	Qwen2.5-Omni-7B standard Pitt projector fine-tune seed 1, score p_yes: overall OOF AUC	0.739636	0.739636	0.6891	0.7921	468	228	scores/part20/POD1b/std_ft_seed1_pitt_oof.csv	0.74	above 0.5	yes
POD1b_seed1_p_yes_conflict	Qwen2.5-Omni-7B standard Pitt projector fine-tune seed 1, score p_yes: conflict arm OOF AUC (interval: conflict-arm speakers resampled)	0.536414	0.536414	0.4306	0.6426	146	100	scores/part20/POD1b/std_ft_seed1_pitt_oof.csv	0.54	includes 0.5	yes
POD1b_seed1_p_yes_agreement	Qwen2.5-Omni-7B standard Pitt projector fine-tune seed 1, score p_yes: agreement arm OOF AUC (interval: agreement-arm speakers resampled)	0.821259	0.821259	0.7716	0.8689	322	175	scores/part20/POD1b/std_ft_seed1_pitt_oof.csv	0.82	above 0.5	yes
POD1b_seed1_p_yes_conflict_minus_agreement	Qwen2.5-Omni-7B standard Pitt projector fine-tune seed 1, score p_yes: paired conflict minus agreement AUC (one speaker draw per replicate, all 228)	-0.284846	-0.284846	-0.3962	-0.1671	468	228	scores/part20/POD1b/std_ft_seed1_pitt_oof.csv	-0.28	below 0	yes
POD1b_seed1_p_yes_multivariant_overall	Qwen2.5-Omni-7B standard Pitt projector fine-tune seed 1, score p_yes_multivariant: overall OOF AUC	0.738396	0.738396	0.6854	0.7903	468	228	scores/part20/POD1b/std_ft_seed1_pitt_oof.csv	0.74	above 0.5	yes
POD1b_seed1_p_yes_multivariant_conflict	Qwen2.5-Omni-7B standard Pitt projector fine-tune seed 1, score p_yes_multivariant: conflict arm OOF AUC (interval: conflict-arm speakers resampled)	0.545875	0.545875	0.4411	0.6500	146	100	scores/part20/POD1b/std_ft_seed1_pitt_oof.csv	0.55	includes 0.5	yes
POD1b_seed1_p_yes_multivariant_agreement	Qwen2.5-Omni-7B standard Pitt projector fine-tune seed 1, score p_yes_multivariant: agreement arm OOF AUC (interval: agreement-arm speakers resampled)	0.816764	0.816764	0.7649	0.8650	322	175	scores/part20/POD1b/std_ft_seed1_pitt_oof.csv	0.82	above 0.5	yes
POD1b_seed1_p_yes_multivariant_conflict_minus_agreement	Qwen2.5-Omni-7B standard Pitt projector fine-tune seed 1, score p_yes_multivariant: paired conflict minus agreement AUC (one speaker draw per replicate, all 228)	-0.270890	-0.270890	-0.3839	-0.1562	468	228	scores/part20/POD1b/std_ft_seed1_pitt_oof.csv	-0.27	below 0	yes
POD1b_seed2_p_yes_overall	Qwen2.5-Omni-7B standard Pitt projector fine-tune seed 2, score p_yes: overall OOF AUC	0.808456	0.808456	0.7560	0.8572	468	228	scores/part20/POD1b/std_ft_seed2_pitt_oof.csv	0.81	above 0.5	yes
POD1b_seed2_p_yes_conflict	Qwen2.5-Omni-7B standard Pitt projector fine-tune seed 2, score p_yes: conflict arm OOF AUC (interval: conflict-arm speakers resampled)	0.563586	0.563586	0.4593	0.6779	146	100	scores/part20/POD1b/std_ft_seed2_pitt_oof.csv	0.56	includes 0.5	yes
POD1b_seed2_p_yes_agreement	Qwen2.5-Omni-7B standard Pitt projector fine-tune seed 2, score p_yes: agreement arm OOF AUC (interval: agreement-arm speakers resampled)	0.902196	0.902196	0.8648	0.9361	322	175	scores/part20/POD1b/std_ft_seed2_pitt_oof.csv	0.90	above 0.5	yes
POD1b_seed2_p_yes_conflict_minus_agreement	Qwen2.5-Omni-7B standard Pitt projector fine-tune seed 2, score p_yes: paired conflict minus agreement AUC (one speaker draw per replicate, all 228)	-0.338610	-0.338610	-0.4461	-0.2271	468	228	scores/part20/POD1b/std_ft_seed2_pitt_oof.csv	-0.34	below 0	yes
POD1b_seed2_p_yes_multivariant_overall	Qwen2.5-Omni-7B standard Pitt projector fine-tune seed 2, score p_yes_multivariant: overall OOF AUC	0.802886	0.802886	0.7499	0.8521	468	228	scores/part20/POD1b/std_ft_seed2_pitt_oof.csv	0.80	above 0.5	yes
POD1b_seed2_p_yes_multivariant_conflict	Qwen2.5-Omni-7B standard Pitt projector fine-tune seed 2, score p_yes_multivariant: conflict arm OOF AUC (interval: conflict-arm speakers resampled)	0.569857	0.569857	0.4645	0.6833	146	100	scores/part20/POD1b/std_ft_seed2_pitt_oof.csv	0.57	includes 0.5	yes
POD1b_seed2_p_yes_multivariant_agreement	Qwen2.5-Omni-7B standard Pitt projector fine-tune seed 2, score p_yes_multivariant: agreement arm OOF AUC (interval: agreement-arm speakers resampled)	0.893663	0.893663	0.8549	0.9294	322	175	scores/part20/POD1b/std_ft_seed2_pitt_oof.csv	0.89	above 0.5	yes
POD1b_seed2_p_yes_multivariant_conflict_minus_agreement	Qwen2.5-Omni-7B standard Pitt projector fine-tune seed 2, score p_yes_multivariant: paired conflict minus agreement AUC (one speaker draw per replicate, all 228)	-0.323806	-0.323806	-0.4284	-0.2144	468	228	scores/part20/POD1b/std_ft_seed2_pitt_oof.csv	-0.32	below 0	yes
POD1b_seed3_p_yes_overall	Qwen2.5-Omni-7B standard Pitt projector fine-tune seed 3, score p_yes: overall OOF AUC	0.797540	0.797540	0.7456	0.8479	468	228	scores/part20/POD1b/std_ft_seed3_pitt_oof.csv	0.80	above 0.5	yes
POD1b_seed3_p_yes_conflict	Qwen2.5-Omni-7B standard Pitt projector fine-tune seed 3, score p_yes: conflict arm OOF AUC (interval: conflict-arm speakers resampled)	0.566557	0.566557	0.4660	0.6746	146	100	scores/part20/POD1b/std_ft_seed3_pitt_oof.csv	0.57	includes 0.5	yes
POD1b_seed3_p_yes_agreement	Qwen2.5-Omni-7B standard Pitt projector fine-tune seed 3, score p_yes: agreement arm OOF AUC (interval: agreement-arm speakers resampled)	0.884374	0.884374	0.8424	0.9225	322	175	scores/part20/POD1b/std_ft_seed3_pitt_oof.csv	0.88	above 0.5	yes
POD1b_seed3_p_yes_conflict_minus_agreement	Qwen2.5-Omni-7B standard Pitt projector fine-tune seed 3, score p_yes: paired conflict minus agreement AUC (one speaker draw per replicate, all 228)	-0.317817	-0.317817	-0.4204	-0.2060	468	228	scores/part20/POD1b/std_ft_seed3_pitt_oof.csv	-0.32	below 0	yes
POD1b_seed3_p_yes_multivariant_overall	Qwen2.5-Omni-7B standard Pitt projector fine-tune seed 3, score p_yes_multivariant: overall OOF AUC	0.794033	0.794033	0.7408	0.8450	468	228	scores/part20/POD1b/std_ft_seed3_pitt_oof.csv	0.79	above 0.5	yes
POD1b_seed3_p_yes_multivariant_conflict	Qwen2.5-Omni-7B standard Pitt projector fine-tune seed 3, score p_yes_multivariant: conflict arm OOF AUC (interval: conflict-arm speakers resampled)	0.569417	0.569417	0.4692	0.6769	146	100	scores/part20/POD1b/std_ft_seed3_pitt_oof.csv	0.57	includes 0.5	yes
POD1b_seed3_p_yes_multivariant_agreement	Qwen2.5-Omni-7B standard Pitt projector fine-tune seed 3, score p_yes_multivariant: agreement arm OOF AUC (interval: agreement-arm speakers resampled)	0.879142	0.879142	0.8363	0.9184	322	175	scores/part20/POD1b/std_ft_seed3_pitt_oof.csv	0.88	above 0.5	yes
POD1b_seed3_p_yes_multivariant_conflict_minus_agreement	Qwen2.5-Omni-7B standard Pitt projector fine-tune seed 3, score p_yes_multivariant: paired conflict minus agreement AUC (one speaker draw per replicate, all 228)	-0.309725	-0.309725	-0.4128	-0.1970	468	228	scores/part20/POD1b/std_ft_seed3_pitt_oof.csv	-0.31	below 0	yes
POD1b_range_overall_seeds_1_2_3	range (lo=min, hi=max, value=max minus min) of overall p_yes OOF AUC over seeds 1,2,3	0.068820	0.068820	0.7396	0.8085	468	228	scores/part20/POD1b/std_ft_seed_range_pitt.json	0.74 to 0.81	n/a (range)	yes
