id	what	value_computed	value_verified	lo	hi	n	n_spk	file	two_dp	vs_half	agree_4dp
A_tfidf_pcgita	TF-IDF transcript LR, out-of-fold AUC, PC-GITA (asr_pcgita.csv, _mac folds)	0.6196	0.6196	0.5700	0.6681	1100	100	scores/part20/POD6/A_language_saliency/A_tfidf_pcgita_oof.csv	0.62 [0.57, 0.67]	above	yes
A_tfidf_neurovoz	TF-IDF transcript LR, out-of-fold AUC, NeuroVoz (asr_neurovoz.csv, _mac folds)	0.5814	0.5814	0.5422	0.6206	1270	107	scores/part20/POD6/A_language_saliency/A_tfidf_neurovoz_oof.csv	0.58 [0.54, 0.62]	above	yes
A_tfidf_kcl	TF-IDF transcript LR, out-of-fold AUC, MDVR-KCL (asr_kcl.csv, _mac folds)	0.4315	0.4315	0.2560	0.6287	37	37	scores/part20/POD6/A_language_saliency/A_tfidf_kcl_oof.csv	0.43 [0.26, 0.63]	spans	yes
A_tfidf_edaic30	TF-IDF transcript LR, out-of-fold AUC, E-DAIC first 30 s (edaic30_text.csv, _mac folds)	0.4844	0.4844	0.4028	0.5624	275	275	scores/part20/POD6/A_language_saliency/A_tfidf_edaic30_oof.csv	0.48 [0.40, 0.56]	spans	yes
A_tfidf_edaicfull	TF-IDF transcript LR, out-of-fold AUC, E-DAIC full interview (edaicfull_text.csv, _mac folds)	0.6778	0.6778	0.5973	0.7549	275	275	scores/part20/POD6/A_language_saliency/A_tfidf_edaicfull_oof.csv	0.68 [0.60, 0.75]	above	yes
A_tfidf_pitt	TF-IDF transcript LR, out-of-fold AUC, Pitt 468 (pitt_text.csv, _mac folds)	0.8353	0.8353	0.7865	0.8862	468	228	scores/part20/POD6/A_language_saliency/A_tfidf_pitt_oof.csv	0.84 [0.79, 0.89]	above	yes
A_tfidf_adresso	TF-IDF transcript LR, out-of-fold AUC, ADReSSo (adresso_text.csv, _mac folds)	0.8471	0.8471	0.7961	0.8922	237	237	scores/part20/POD6/A_language_saliency/A_tfidf_adresso_oof.csv	0.85 [0.80, 0.89]	above	yes
A_tfidf_adress2020	TF-IDF transcript LR, out-of-fold AUC, ADReSS-2020 (adress2020_text.csv, _mac folds)	0.9254	0.9254	0.8866	0.9587	156	156	scores/part20/POD6/A_language_saliency/A_tfidf_adress2020_oof.csv	0.93 [0.89, 0.96]	above	yes
C_af3_part10_conflict	Pitt AF3 zero-shot answer AUC, conflict arm (alternative copy overnight2/part10; matches paper Table 2)	0.6075	0.6075	0.5063	0.7129	146	100	release/overnight2/part10/af3_pitt.csv (collected as scores/part20/POD6/C_landed/C_af3_pitt_part10_arms.csv)	0.61 [0.51, 0.71]	above	yes
C_af3_part10_agreement	Pitt AF3 zero-shot answer AUC, agreement arm (alternative copy overnight2/part10; matches paper Table 2)	0.5855	0.5855	0.5144	0.6554	322	175	release/overnight2/part10/af3_pitt.csv (collected as scores/part20/POD6/C_landed/C_af3_pitt_part10_arms.csv)	0.59 [0.51, 0.66]	above	yes
C_af3_part10_conflict_minus_agreement	Pitt AF3 conflict minus agreement AUC, one speaker draw per replicate (overnight2/part10 copy)	0.0220	0.0220	-0.0846	0.1357	468	228	release/overnight2/part10/af3_pitt.csv (collected as scores/part20/POD6/C_landed/C_af3_pitt_part10_arms.csv)	0.02 [-0.08, 0.14]	spans 0	yes
C_M8_Qwen2.5-Omni_primary_conflict	Pitt Qwen2.5-Omni (primary) zero-shot answer AUC, conflict	0.5322	0.5322	0.4216	0.6447	146	100	<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv	0.53 [0.42, 0.64]	spans	yes
C_M8_Qwen2.5-Omni_primary_agreement	Pitt Qwen2.5-Omni (primary) zero-shot answer AUC, agreement	0.7054	0.7054	0.6431	0.7658	322	175	<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv	0.71 [0.64, 0.77]	above	yes
C_M8_Qwen2.5-Omni_primary_conflict_minus_agreement	Pitt Qwen2.5-Omni (primary) zero-shot answer AUC, conflict minus agreement	-0.1731	-0.1731	-0.2958	-0.0392	468	228	<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv	-0.17 [-0.30, -0.04]	below 0	yes
C_M8_Qwen2-Audio_primary_conflict	Pitt Qwen2-Audio (primary) zero-shot answer AUC, conflict	0.4132	0.4132	0.3005	0.5423	146	100	<local data dir>/paper work/paper1_local_runs/probe2/pitt_zeroshot_scores.csv	0.41 [0.30, 0.54]	spans	yes
C_M8_Qwen2-Audio_primary_agreement	Pitt Qwen2-Audio (primary) zero-shot answer AUC, agreement	0.6985	0.6985	0.6372	0.7597	322	175	<local data dir>/paper work/paper1_local_runs/probe2/pitt_zeroshot_scores.csv	0.70 [0.64, 0.76]	above	yes
C_M8_Qwen2-Audio_primary_conflict_minus_agreement	Pitt Qwen2-Audio (primary) zero-shot answer AUC, conflict minus agreement	-0.2853	-0.2853	-0.3950	-0.1485	468	228	<local data dir>/paper work/paper1_local_runs/probe2/pitt_zeroshot_scores.csv	-0.29 [-0.39, -0.15]	below 0	yes
C_M8_Qwen3-Omni-30B-A3B_primary_conflict	Pitt Qwen3-Omni-30B-A3B (primary) zero-shot answer AUC, conflict	0.6066	0.6066	0.4956	0.7123	146	100	<local data dir>/release/overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv	0.61 [0.50, 0.71]	spans	yes
C_M8_Qwen3-Omni-30B-A3B_primary_agreement	Pitt Qwen3-Omni-30B-A3B (primary) zero-shot answer AUC, agreement	0.8231	0.8231	0.7664	0.8720	322	175	<local data dir>/release/overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv	0.82 [0.77, 0.87]	above	yes
C_M8_Qwen3-Omni-30B-A3B_primary_conflict_minus_agreement	Pitt Qwen3-Omni-30B-A3B (primary) zero-shot answer AUC, conflict minus agreement	-0.2165	-0.2165	-0.3242	-0.1052	468	228	<local data dir>/release/overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv	-0.22 [-0.32, -0.11]	below 0	yes
C_M8_AudioFlamingo2_af2_pitt468_conflict	Pitt Audio Flamingo 2 (af2_pitt468) zero-shot answer AUC, conflict	0.6310	0.6310	0.5336	0.7260	146	100	<local data dir>/paper work/paper1_local_runs/af2_results/af2_pitt468.csv	0.63 [0.53, 0.73]	above	yes
C_M8_AudioFlamingo2_af2_pitt468_agreement	Pitt Audio Flamingo 2 (af2_pitt468) zero-shot answer AUC, agreement	0.5544	0.5544	0.4760	0.6296	322	175	<local data dir>/paper work/paper1_local_runs/af2_results/af2_pitt468.csv	0.55 [0.48, 0.63]	spans	yes
C_M8_AudioFlamingo2_af2_pitt468_conflict_minus_agreement	Pitt Audio Flamingo 2 (af2_pitt468) zero-shot answer AUC, conflict minus agreement	0.0766	0.0766	-0.0307	0.1869	468	228	<local data dir>/paper work/paper1_local_runs/af2_results/af2_pitt468.csv	0.08 [-0.03, 0.19]	spans 0	yes
C_M8_AudioFlamingo2_af2_pitt_audio_conflict	Pitt Audio Flamingo 2 (af2_pitt_audio) zero-shot answer AUC, conflict	0.6691	0.6691	0.5650	0.7654	146	100	<local data dir>/paper work/paper1_local_runs/af2_pitt_audio.csv	0.67 [0.57, 0.77]	above	yes
