clip,file_sha256,int16_samples_sha256,n_samples
agreement_Con_002-1_3044.wav,371753bfb23127638892298834621dcb46ffa5543cff089bac5cceaaba438bf5,49d5db9135e9d72ff480a9b97d60f4ec054156c39895fb845096190a5cb95e93,592320
agreement_Con_002-2_11623.wav,beb67b77d59f1e39691c2918f8a356e64649219938843b60aeadb14fecc260c7,1ada83d6990c92aa7799a86b71daa122b59087e4df33ad255c412b22fd41d61f,543040
agreement_Con_002-3_12270.wav,87323bc6ae817cfd56dcdccc479487cd14f36223ba583948dd434211b4fd93bf,6e163ec356cdbbf65f2b31a9887a486d26b846e837976638cf8312ad852b6b9e,606560
agreement_Con_002-3_50179.wav,54aca623e9d07a355a6b53ada8e3ea1c696ecb1e9c4aa309ec313b5c7b0ada80,395d9761a98bea598b1e982c8ccb07397195a781da78fbd68b373b0079a39beb,485600
agreement_Con_006-4_37223.wav,a8c3596581bdbea025f07b6a39efbc68e375d6e1feabf0c141d2e4b415ed56a1,9cca1fa4110c3b9c1c759bc3c9d471cc8dbba99738f44f6def7640e184ec10c5,585280
agreement_Con_013-0_6039.wav,9ff925167dde7ebf697d53afd58d3f43bc6f45c92e2bcff2577fa71ab85b9ddb,7f0104b0613282c86fb20749a6c82194123cb1de36a51cca6a43a75c05f2b128,698720
agreement_Con_013-2_3373.wav,09aa223ad9b2466b5e99c86ddc4fb7ec3520de3912b2c2d265413a16640e80db,f3b9234cf97932aaf992ff1645852bce2f51728e648d84647c8cb9bbb3504caf,517760
agreement_Con_013-3_5680.wav,5ed5f496886a4a925627a974082b47d155e63347c9595f4549b05cd7c467523b,94cd7697667611ef6dbb43f2f1ea6dedb54c55953c673a3005efa5c1c035e0f5,616160
agreement_Con_013-4_8853.wav,dba32ae0b062519552096f4b6dae64aa3833e7a1dc2b695054b356188aea9355,dda06dda115f7fcd292faeac50b2e6bb82369fad8f7c860969349ac6425aabe9,518240
agreement_Con_015-0_2695.wav,3ff9f7ff456843a48872e33f0d3ccd269e9e8ddce324ace877368742f8ddb3a6,cc0fc51846defacd09c1d85f9e59413defad02dc28f588d00cffb15868f2ff02,505120
agreement_Con_015-2_49054.wav,84bf9c22479eef2af591d21384bb5dc6d1707ebe23fcd8bb3c55e6257337c716,fe7c702d6d74de19fd7b9f18e15b0d846a4e3747848c3c3158dd4759ef404dd7,535680
agreement_Con_017-4_41988.wav,0d39e693f1ba224fcbedb753a40f626263cd08ab6bba077fb125abaed26e3c15,2ca968d61de9033b0a5c85466bccf586f6f2d229e1f320d3836588972cc39b22,647680
